Setup title,I_V_sweep_0_3V_light
Classic test name,"I/V Sweep"
Test date,3/22/2023
Test time,18:14:59
Device ID,3
Count,3
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,3
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,8.93E-12
0.01,7.465E-11
0.02,1.3279E-10
0.03,1.8458E-10
0.04,2.4249E-10
0.05,2.7419E-10
0.06,3.0226E-10
0.07,3.2788E-10
0.08,3.7036E-10
0.09,3.798E-10
0.1,4.1608E-10
0.11,4.1358E-10
0.12,4.3331E-10
0.13,4.3033E-10
0.14,4.4298E-10
0.15,4.42E-10
0.16,4.7443E-10
0.17,4.8443E-10
0.18,5.7368E-10
0.19,5.4836E-10
0.2,5.3884E-10
0.21,5.3734E-10
0.22,5.8191E-10
0.23,5.7844E-10
0.24,6.8286E-10
0.25,6.8051E-10
0.26,6.7548E-10
0.27,6.9621E-10
0.28,7.1686E-10
0.29,7.97E-10
0.3,7.2327E-10
0.31,7.6794E-10
0.32,7.9389E-10
0.33,7.8911E-10
0.34,7.9403E-10
0.35,7.9867E-10
0.36,8.4653E-10
0.37,8.4047E-10
0.38,8.9177E-10
0.39,8.5134E-10
0.4,8.8086E-10
0.41,8.6138E-10
0.42,8.1647E-10
0.43,8.4552E-10
0.44,8.6869E-10
0.45,8.5899E-10
0.46,8.9558E-10
0.47,9.7601E-10
0.48,1.00657E-09
0.49,9.8152E-10
0.5,1.06897E-09
0.51,1.05955E-09
0.52,1.05887E-09
0.53,1.11537E-09
0.54,1.18849E-09
0.55,1.2314E-09
0.56,1.23952E-09
0.57,1.18723E-09
0.58,1.08254E-09
0.59,1.1308E-09
0.6,1.12773E-09
0.61,1.16234E-09
0.62,1.15645E-09
0.63,1.31046E-09
0.64,1.25077E-09
0.65,1.24044E-09
0.66,1.16289E-09
0.67,1.1446E-09
0.68,1.21205E-09
0.69,1.19956E-09
0.7,1.24411E-09
0.71,1.14911E-09
0.72,1.25374E-09
0.73,1.22257E-09
0.74,1.20337E-09
0.75,1.23266E-09
0.76,1.23468E-09
0.77,1.14609E-09
0.78,1.10331E-09
0.79,1.10945E-09
0.8,1.11614E-09
0.81,1.08374E-09
0.82,1.17938E-09
0.83,1.23739E-09
0.84,1.17812E-09
0.85,1.32108E-09
0.86,1.37401E-09
0.87,1.23577E-09
0.88,1.21465E-09
0.89,1.15188E-09
0.9,1.04958E-09
0.91,1.10675E-09
0.92,1.19373E-09
0.93,1.12177E-09
0.94,1.25379E-09
0.95,1.27468E-09
0.96,1.26459E-09
0.97,1.18482E-09
0.98,1.20935E-09
0.99,1.19886E-09
1,1.25393E-09
1.01,1.25192E-09
1.02,1.21006E-09
1.03,1.17053E-09
1.04,1.09141E-09
1.05,1.06479E-09
1.06,1.09513E-09
1.07,1.05907E-09
1.08,1.06076E-09
1.09,1.11384E-09
1.1,1.09317E-09
1.11,1.1401E-09
1.12,1.13148E-09
1.13,1.01858E-09
1.14,1.10053E-09
