Setup title,I_V_sweep_0_4V_light
Classic test name,"I/V Sweep"
Test date,3/22/2023
Test time,18:18:21
Device ID,3
Count,4
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,4
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-1.63E-12
0.01,4.6E-11
0.02,8.043E-11
0.03,1.1391E-10
0.04,1.3877E-10
0.05,1.5285E-10
0.06,1.9013E-10
0.07,2.0834E-10
0.08,2.2049E-10
0.09,2.3415E-10
0.1,2.4473E-10
0.11,2.4435E-10
0.12,2.2384E-10
0.13,2.6339E-10
0.14,2.7596E-10
0.15,3.108E-10
0.16,2.9443E-10
0.17,2.7459E-10
0.18,3.6394E-10
0.19,3.5898E-10
0.2,4.147E-10
0.21,3.8601E-10
0.22,3.5888E-10
0.23,3.808E-10
0.24,3.6324E-10
0.25,4.2079E-10
0.26,4.2515E-10
0.27,4.5228E-10
0.28,4.0418E-10
0.29,4.7423E-10
0.3,5.2047E-10
0.31,4.5175E-10
0.32,4.6314E-10
0.33,4.5063E-10
0.34,4.8598E-10
0.35,5.185E-10
0.36,5.5279E-10
0.37,5.2534E-10
0.38,5.3416E-10
0.39,4.416E-10
0.4,4.6904E-10
0.41,4.7943E-10
0.42,4.7344E-10
0.43,5.2161E-10
0.44,5.3976E-10
0.45,4.8172E-10
0.46,5.2486E-10
0.47,5.5078E-10
0.48,5.0592E-10
0.49,6.0376E-10
0.5,5.9896E-10
0.51,5.0879E-10
0.52,5.2628E-10
0.53,5.4062E-10
0.54,5.0094E-10
0.55,5.451E-10
0.56,5.8136E-10
0.57,5.8163E-10
0.58,5.384E-10
0.59,5.9198E-10
0.6,5.7111E-10
0.61,5.3107E-10
0.62,5.4883E-10
0.63,5.4929E-10
0.64,5.3119E-10
0.65,5.8764E-10
0.66,6.4142E-10
0.67,5.7924E-10
0.68,5.8205E-10
0.69,6.402E-10
0.7,6.6891E-10
0.71,7.1428E-10
0.72,6.7787E-10
0.73,7.0278E-10
0.74,7.946E-10
0.75,7.6174E-10
0.76,7.2194E-10
0.77,6.0946E-10
0.78,7.4402E-10
0.79,6.3479E-10
0.8,7.3771E-10
0.81,7.3602E-10
0.82,7.2935E-10
0.83,6.6048E-10
0.84,6.4205E-10
0.85,6.5961E-10
0.86,6.1982E-10
0.87,6.4031E-10
0.88,6.4923E-10
0.89,6.7223E-10
0.9,6.422E-10
0.91,6.1188E-10
0.92,6.2338E-10
0.93,6.0518E-10
0.94,6.171E-10
0.95,5.8606E-10
0.96,5.8767E-10
0.97,6.3914E-10
0.98,5.3906E-10
0.99,5.9669E-10
1,6.2883E-10
1.01,6.482E-10
1.02,6.6811E-10
1.03,6.6975E-10
1.04,6.7244E-10
1.05,6.2004E-10
1.06,6.7292E-10
1.07,6.6499E-10
1.08,6.8789E-10
1.09,6.8165E-10
1.1,6.5897E-10
1.11,6.3752E-10
1.12,7.115E-10
1.13,7.06E-10
1.14,6.7613E-10
