Setup title,I_V_sweep_0_5V_light
Classic test name,"I/V Sweep"
Test date,3/22/2023
Test time,18:22:35
Device ID,3
Count,5
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,5
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-4.29E-12
0.01,3.464E-11
0.02,6.573E-11
0.03,9.616E-11
0.04,1.2006E-10
0.05,1.2749E-10
0.06,1.4326E-10
0.07,1.5337E-10
0.08,1.7762E-10
0.09,1.9341E-10
0.1,1.9754E-10
0.11,2.0789E-10
0.12,2.2018E-10
0.13,2.294E-10
0.14,2.2476E-10
0.15,2.3784E-10
0.16,2.4833E-10
0.17,2.29E-10
0.18,2.4597E-10
0.19,2.4758E-10
0.2,2.4094E-10
0.21,2.7598E-10
0.22,2.9503E-10
0.23,2.795E-10
0.24,2.8579E-10
0.25,2.8043E-10
0.26,2.6969E-10
0.27,2.7946E-10
0.28,3.0142E-10
0.29,3.0765E-10
0.3,3.1511E-10
0.31,3.3034E-10
0.32,3.4667E-10
0.33,3.473E-10
0.34,3.6661E-10
0.35,3.7955E-10
0.36,3.8406E-10
0.37,3.9148E-10
0.38,3.8746E-10
0.39,4.0279E-10
0.4,4.1455E-10
0.41,4.1028E-10
0.42,3.8972E-10
0.43,3.9111E-10
0.44,3.9891E-10
0.45,3.987E-10
0.46,3.9588E-10
0.47,4.2118E-10
0.48,4.2676E-10
0.49,4.0476E-10
0.5,4.0847E-10
0.51,4.0261E-10
0.52,4.0866E-10
0.53,4.6941E-10
0.54,4.4752E-10
0.55,4.4477E-10
0.56,4.3917E-10
0.57,4.515E-10
0.58,4.3409E-10
0.59,4.2851E-10
0.6,4.5304E-10
0.61,4.983E-10
0.62,4.6356E-10
0.63,4.7096E-10
0.64,4.8681E-10
0.65,4.8927E-10
0.66,4.8495E-10
0.67,4.4777E-10
0.68,4.7518E-10
0.69,4.8795E-10
0.7,4.839E-10
0.71,4.5503E-10
0.72,4.456E-10
0.73,4.5448E-10
0.74,4.5426E-10
0.75,4.5481E-10
0.76,4.2852E-10
0.77,4.5631E-10
0.78,4.681E-10
0.79,4.7551E-10
0.8,4.9445E-10
0.81,5.0232E-10
0.82,4.9917E-10
0.83,4.7038E-10
0.84,4.5291E-10
0.85,4.6012E-10
0.86,4.4947E-10
0.87,4.2876E-10
0.88,4.3986E-10
0.89,4.5604E-10
0.9,4.802E-10
0.91,4.7272E-10
0.92,4.8902E-10
0.93,4.6631E-10
0.94,4.8536E-10
0.95,4.5734E-10
0.96,4.484E-10
0.97,4.7168E-10
0.98,4.9116E-10
0.99,4.6969E-10
1,4.5559E-10
1.01,4.4921E-10
1.02,4.4708E-10
1.03,4.3384E-10
1.04,4.3482E-10
1.05,4.1995E-10
1.06,4.0142E-10
1.07,4.407E-10
1.08,4.2914E-10
1.09,4.3518E-10
1.1,4.1014E-10
1.11,4.2355E-10
1.12,4.5147E-10
1.13,4.3534E-10
1.14,4.3856E-10
