Setup title,I_V_sweep_0_7V_light
Classic test name,"I/V Sweep"
Test date,3/22/2023
Test time,18:37:37
Device ID,3
Count,7
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,7
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-7.6E-12
0.01,2.735E-11
0.02,5.754E-11
0.03,8.289E-11
0.04,1.0188E-10
0.05,1.097E-10
0.06,1.2369E-10
0.07,1.4351E-10
0.08,1.4628E-10
0.09,1.4713E-10
0.1,1.5784E-10
0.11,1.6496E-10
0.12,1.6273E-10
0.13,1.5792E-10
0.14,1.8381E-10
0.15,1.9423E-10
0.16,2.0865E-10
0.17,2.1345E-10
0.18,2.1421E-10
0.19,2.2198E-10
0.2,2.2618E-10
0.21,2.3253E-10
0.22,2.1204E-10
0.23,2.3037E-10
0.24,2.2743E-10
0.25,2.2397E-10
0.26,2.3797E-10
0.27,2.458E-10
0.28,2.5029E-10
0.29,2.6089E-10
0.3,2.664E-10
0.31,2.661E-10
0.32,2.6034E-10
0.33,2.7637E-10
0.34,2.6369E-10
0.35,2.7838E-10
0.36,3.0065E-10
0.37,2.945E-10
0.38,3.0795E-10
0.39,3.1088E-10
0.4,3.09E-10
0.41,3.2691E-10
0.42,3.484E-10
0.43,3.3148E-10
0.44,3.3297E-10
0.45,3.3135E-10
0.46,3.6417E-10
0.47,3.6628E-10
0.48,3.372E-10
0.49,3.5606E-10
0.5,3.835E-10
0.51,3.8842E-10
0.52,3.7639E-10
0.53,3.3947E-10
0.54,3.6628E-10
0.55,3.8682E-10
0.56,3.9709E-10
0.57,3.857E-10
0.58,4.0116E-10
0.59,4.0477E-10
0.6,4.2969E-10
0.61,4.5429E-10
0.62,4.1577E-10
0.63,4.097E-10
0.64,3.9946E-10
0.65,4.0982E-10
0.66,4.0867E-10
0.67,4.4039E-10
0.68,4.4162E-10
0.69,4.1111E-10
0.7,4.1116E-10
0.71,4.1752E-10
0.72,4.2165E-10
0.73,4.7732E-10
0.74,4.779E-10
0.75,4.2662E-10
0.76,4.2917E-10
0.77,4.2008E-10
0.78,4.1195E-10
0.79,4.0338E-10
0.8,3.9236E-10
0.81,3.8188E-10
0.82,4.3578E-10
0.83,4.4948E-10
0.84,4.474E-10
0.85,4.2027E-10
0.86,3.7369E-10
0.87,3.8299E-10
0.88,3.5646E-10
0.89,3.8973E-10
0.9,4.3481E-10
0.91,4.1913E-10
0.92,4.2342E-10
0.93,4.4123E-10
0.94,4.3385E-10
0.95,3.9947E-10
0.96,4.1966E-10
0.97,4.1034E-10
0.98,3.9128E-10
0.99,4.1026E-10
1,4.4036E-10
1.01,4.6342E-10
1.02,4.546E-10
1.03,4.1767E-10
1.04,4.6544E-10
1.05,4.8216E-10
1.06,4.6101E-10
1.07,4.5777E-10
1.08,4.2482E-10
1.09,4.5351E-10
1.1,4.6352E-10
1.11,4.3796E-10
1.12,4.0919E-10
1.13,4.1186E-10
1.14,4.8839E-10
1.15,4.9716E-10
