Setup title,"I/V Sweep_device3_0-1_dark_1/2/23"
Classic test name,"I/V Sweep"
Test date,2/1/2023
Test time,16:52:28
Device ID,
Count,1
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,1
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,0.0005
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0005,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,6
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,6
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-2.2E-13
0.01,9E-14
0.02,1E-14
0.03,-1.1E-13
0.04,5E-14
0.05,-4.8E-13
0.06,-1.3E-13
0.07,-1.7E-13
0.08,-5E-14
0.09,-8E-14
0.1,1.7E-13
0.11,1.2E-13
0.12,-7E-14
0.13,-6E-14
0.14,-1.1E-13
0.15,-9E-14
0.16,-3E-14
0.17,4E-14
0.18,-3E-13
0.19,1.3E-13
0.2,-1E-14
0.21,2E-14
0.22,-2.8E-13
0.23,2.4E-13
0.24,1E-14
0.25,7E-14
0.26,-2.1E-13
0.27,1E-14
0.28,-7E-14
0.29,-3E-14
0.3,-1.2E-13
0.31,-1.9E-13
0.32,1E-13
0.33,-9E-14
0.34,-1.4E-13
0.35,-2.2E-13
0.36,-5E-14
0.37,8E-14
0.38,0
0.39,1E-14
0.4,2E-14
0.41,-1.9E-13
0.42,-8E-14
0.43,8E-14
0.44,7E-14
0.45,-4E-14
0.46,1.1E-13
0.47,1E-14
0.48,7E-14
0.49,-1.2E-13
0.5,-8E-14
0.51,1.8E-13
0.52,-1.5E-13
0.53,2E-13
0.54,-1.6E-13
0.55,2.8E-13
0.56,-1.1E-13
0.57,-1.4E-13
0.58,-1.1E-13
0.59,0
0.6,3E-14
0.61,2E-14
0.62,-8E-14
0.63,-2.4E-13
0.64,1.3E-13
0.65,0
0.66,0
0.67,8E-14
0.68,-3E-14
0.69,-3E-14
0.7,-6E-14
0.71,-9E-14
0.72,-1.2E-13
0.73,-9E-14
0.74,3E-14
0.75,-5E-14
0.76,-1.5E-13
0.77,-3.3E-13
0.78,3.4E-13
0.79,-1.4E-13
0.8,-8E-14
0.81,-1.1E-13
0.82,-1E-14
0.83,1E-13
0.84,2.7E-13
0.85,-5E-14
0.86,-1.1E-13
0.87,-1E-13
0.88,-5E-14
0.89,-5E-14
0.9,6E-14
0.91,-3E-14
0.92,-2E-14
0.93,-1.1E-13
0.94,-6E-14
0.95,-6E-14
0.96,-1.2E-13
0.97,-1E-13
0.98,5E-14
0.99,-2.5E-13
1,-3E-14
1,1.1E-13
