Setup title,I_V_Dark_0-4
Classic test name,"I/V Sweep"
Test date,2/1/2023
Test time,17:31:22
Device ID,
Count,4
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU2:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU2:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,4
Measurement.Primary.Step,0.02
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU2:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,50
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,50
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-7E-13
0.02,-1.2E-12
0.04,-6E-13
0.06,-1.3E-12
0.08,-1.3E-12
0.1,-1.3E-12
0.12,-9E-13
0.14,-1E-12
0.16,-4E-13
0.18,-1.1E-12
0.2,-7E-13
0.22,-1E-12
0.24,-5E-13
0.26,-1.1E-12
0.28,-1.1E-12
0.3,-1.3E-12
0.32,-9E-13
0.34,-9E-13
0.36,-4E-13
0.38,-6E-13
0.4,-1.4E-12
0.42,-1.2E-12
0.44,-1.1E-12
0.46,-9E-13
0.48,-9E-13
0.5,-4E-13
0.52,-9E-13
0.54,-5E-13
0.56,-1E-12
0.58,-2E-13
0.6,-1E-12
0.62,-7E-13
0.64,-1.3E-12
0.66,-9E-13
0.68,-1.3E-12
0.7,-7E-13
0.72,-9E-13
0.74,-8E-13
0.76,-1.6E-12
0.78,-1.4E-12
0.8,-1.3E-12
0.82,-1E-12
0.84,-6E-13
0.86,-1.1E-12
0.88,-6E-13
0.9,-1.6E-12
0.92,-4E-13
0.94,-1.6E-12
0.96,-5E-13
0.98,-1.7E-12
1,-1E-13
1.02,-1E-12
1.04,-4E-13
1.06,-1.4E-12
1.08,-1E-12
1.1,-1.2E-12
1.12,-2E-13
1.14,-1.4E-12
1.16,-9E-13
1.18,-1E-12
1.2,-4E-13
1.22,-1.2E-12
1.24,-4E-13
1.26,-1.2E-12
1.28,-1E-13
1.3,-1.1E-12
1.32,-9E-13
1.34,-1.3E-12
1.36,-6E-13
1.38,-1.9E-12
1.4,-6E-13
1.42,-1E-12
1.44,-1E-12
1.46,-1.6E-12
1.48,-8E-13
1.5,-1.4E-12
1.52,-8E-13
1.54,-1.2E-12
1.56,-8E-13
1.58,-1.4E-12
1.6,-7E-13
1.62,-1E-12
1.64,-3E-13
1.66,-9E-13
1.68,0
1.7,-1E-12
1.72,-1.2E-12
1.74,-1.8E-12
1.76,-1.4E-12
1.78,-1.5E-12
1.8,-1.2E-12
1.82,-2E-12
1.84,-1.2E-12
1.86,-2.1E-12
1.88,-1.6E-12
1.9,-1.4E-12
1.92,-1.2E-12
1.94,-1.5E-12
