Setup title,I_V_Dark_0-4
Classic test name,"I/V Sweep"
Test date,2/1/2023
Test time,17:40:43
Device ID,
Count,7
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU2:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU2:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,7
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU2:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,5
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,5
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-2.4E-12
0.01,-5.5E-12
0.02,-2.9E-12
0.03,3.7E-12
0.04,-7.3E-12
0.05,-5.2E-12
0.06,1.6E-12
0.07,2E-13
0.08,-3.4E-12
0.09,-2.3E-12
0.1,-8E-13
0.11,-4.3E-12
0.12,-5.8E-12
0.13,1.2E-12
0.14,1.2E-12
0.15,-3.7E-12
0.16,-4.3E-12
0.17,-4E-12
0.18,-3E-13
0.19,4.2E-12
0.2,-7.4E-12
0.21,-5E-12
0.22,-6E-13
0.23,0
0.24,-3.5E-12
0.25,-1.6E-12
0.26,1.4E-12
0.27,-6.1E-12
0.28,-4.6E-12
0.29,1.8E-12
0.3,2.3E-12
0.31,-6.6E-12
0.32,-4.4E-12
0.33,9E-13
0.34,-1.2E-12
0.35,-3E-12
0.36,-3.7E-12
0.37,-1E-12
0.38,3.3E-12
0.39,-4.2E-12
0.4,5E-13
0.41,-2.3E-12
0.42,-4.5E-12
0.43,-4.4E-12
0.44,-4E-13
0.45,4.5E-12
0.46,-6.5E-12
0.47,3.3E-12
0.48,-5E-12
0.49,-4.1E-12
0.5,9E-13
0.51,5E-12
0.52,-4.7E-12
0.53,-3.6E-12
0.54,6E-13
0.55,1E-13
0.56,-4.7E-12
0.57,2.1E-12
0.58,-5.2E-12
0.59,-3.5E-12
0.6,-4E-12
0.61,2.3E-12
0.62,3.5E-12
0.63,-4.6E-12
0.64,1.9E-12
0.65,-4.8E-12
0.66,-5.4E-12
0.67,-4E-12
0.68,3E-12
0.69,4E-12
0.7,-5.9E-12
0.71,-1.7E-12
0.72,-4E-12
0.73,5.4E-12
0.74,-8E-12
0.75,-3E-12
0.76,-2.4E-12
0.77,-1E-13
0.78,-4.2E-12
0.79,-4.4E-12
0.8,7E-13
0.81,3.5E-12
0.82,-7E-13
0.83,-1.03E-11
0.84,-4.8E-12
0.85,7E-13
0.86,2.6E-12
0.87,5.1E-12
0.88,-6.1E-12
0.89,-3.3E-12
0.9,-1.3E-12
0.91,-6.9E-12
0.92,-2.7E-12
0.93,4.6E-12
0.94,-2E-13
0.95,-8E-13
