Setup title,I_V_Dark_0-3
Classic test name,"I/V Sweep"
Test date,2/1/2023
Test time,17:23:44
Device ID,
Count,3
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU2:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU2:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,3
Measurement.Primary.Step,0.015
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU2:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,20
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,20
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-3.5E-12
0.015,-5.5E-12
0.03,-5.9E-12
0.045,-6.3E-12
0.06,-5.9E-12
0.075,-5.5E-12
0.09,-4.9E-12
0.105,-4.3E-12
0.12,-1.4E-12
0.135,0
0.15,1E-12
0.165,4E-13
0.18,-6E-13
0.195,1.4E-12
0.21,9E-13
0.225,1.7E-12
0.24,4E-13
0.255,-5.2E-12
0.27,-5.5E-12
0.285,-5.6E-12
0.3,-5.2E-12
0.315,-5.3E-12
0.33,-5.9E-12
0.345,-5.2E-12
0.36,-4.7E-12
0.375,-4.7E-12
0.39,-5.5E-12
0.405,-4.8E-12
0.42,-5.4E-12
0.435,-5.7E-12
0.45,-4.6E-12
0.465,-5.8E-12
0.48,-5.2E-12
0.495,-4.2E-12
0.51,-3E-12
0.525,0
0.54,8E-13
0.555,9E-13
0.57,9E-13
0.585,1.5E-12
0.6,-1.3E-12
0.615,4E-13
0.63,6E-13
0.645,1.2E-12
0.66,1.4E-12
0.675,1.2E-12
0.69,1.8E-12
0.705,1.9E-12
0.72,9E-13
0.735,-2E-12
0.75,-2.2E-12
0.765,-4E-12
0.78,-4E-12
0.795,-4.4E-12
0.81,-3.6E-12
0.825,-2.9E-12
0.84,-4E-13
0.855,1.2E-12
0.87,2E-12
0.885,1.2E-12
0.9,1.3E-12
0.915,1.5E-12
0.93,1.4E-12
0.945,2.3E-12
0.96,-2E-13
0.975,-2.5E-12
0.99,-3.1E-12
1.005,-3.2E-12
1.02,-2.6E-12
1.035,-2.9E-12
1.05,-2.9E-12
1.065,4E-13
1.08,4E-13
1.095,8E-13
1.11,1E-12
1.125,8E-13
1.14,1.1E-12
1.155,1.1E-12
1.17,-1.1E-12
1.185,-2.6E-12
1.2,-2.2E-12
1.215,-7E-13
1.23,1.3E-12
1.245,6E-13
1.26,9E-13
1.275,-1E-13
1.29,1.1E-12
1.305,-1.9E-12
1.32,-2E-12
1.335,-2.2E-12
1.35,-2E-12
1.365,-1.9E-12
1.38,8E-13
1.395,8E-13
1.41,1.1E-12
1.425,4E-13
1.44,6E-13
1.455,-1.3E-12
