Setup title,"I/V Sweep_check"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,18:15:28
Device ID,3
Count,23
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU3:HR,SMU4:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU3:HR,SMU4:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,2
Measurement.Primary.Step,0.02
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU3:HR,SMU4:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-2.77055E-07
0.02,4.99934E-05
0.04,4.99931E-05
0.06,4.99932E-05
0.08,4.99932E-05
0.1,4.99931E-05
0.12,4.99931E-05
0.14,4.99931E-05
0.16,4.99931E-05
0.18,4.99932E-05
0.2,4.99931E-05
0.22,4.99931E-05
0.24,4.99931E-05
0.26,4.99931E-05
0.28,4.99931E-05
0.3,4.99931E-05
0.32,4.99931E-05
0.34,4.99931E-05
0.36,4.99931E-05
0.38,4.9993E-05
0.4,4.99931E-05
0.42,4.99931E-05
0.44,4.99931E-05
0.46,4.99931E-05
0.48,4.99931E-05
0.5,4.99931E-05
0.52,4.99931E-05
0.54,4.9993E-05
0.56,4.99931E-05
0.58,4.99931E-05
0.6,4.99931E-05
0.62,4.99931E-05
0.64,4.99932E-05
0.66,4.99931E-05
0.68,4.99932E-05
0.7,4.9993E-05
0.72,4.99931E-05
0.74,4.99931E-05
0.76,4.99932E-05
0.78,4.99932E-05
0.8,4.99931E-05
0.82,4.99932E-05
0.84,4.99931E-05
0.86,4.99931E-05
0.88,4.99932E-05
0.9,4.99931E-05
0.92,4.99931E-05
0.94,4.99931E-05
0.96,4.99932E-05
0.98,4.99932E-05
1,4.99932E-05
1.02,4.99932E-05
1.04,4.99931E-05
1.06,4.99931E-05
1.08,4.99932E-05
1.1,4.99932E-05
1.12,2.3E-13
1.14,1.5E-13
1.16,-1.1E-13
1.18,1.6E-13
1.2,9E-14
1.22,8E-14
1.24,3E-14
1.26,3.2E-13
1.28,4E-14
1.3,5E-13
1.32,2E-14
1.34,-6E-14
1.36,-6E-14
1.38,1.6E-13
1.4,1E-13
1.42,-2E-14
1.44,-4E-14
1.46,1.5E-13
1.48,1.5E-13
1.5,-3.8E-13
1.52,-1.3E-13
1.54,1.8E-13
1.56,1E-13
1.58,-8E-14
1.6,3E-14
1.62,1.1E-13
1.64,1E-14
1.66,7E-14
1.68,6E-14
1.7,6E-14
1.72,-7E-14
1.74,5E-14
1.76,4E-14
1.78,1E-14
1.8,7E-14
1.82,1.7E-13
1.84,1.4E-13
1.86,-3E-14
1.88,6E-14
1.9,1E-14
1.92,1.5E-13
1.94,6E-14
1.96,1.4E-13
1.98,2E-14
2,1E-13
2,7E-14
1.98,6E-14
1.96,7E-14
1.94,-6E-14
1.92,2.6E-13
1.9,-8E-14
1.88,4E-14
1.86,-2E-14
1.84,1E-13
1.82,1E-14
1.8,-6E-14
1.78,1.8E-13
1.76,2E-14
1.74,6E-14
1.72,1E-14
1.7,8E-14
1.68,5E-14
1.66,1E-14
1.64,5E-14
1.62,1E-13
1.6,-2E-14
1.58,2.5E-13
1.56,7E-14
1.54,-2E-14
1.52,-5E-14
1.5,-5E-14
1.48,2E-13
1.46,5E-14
1.44,8E-14
1.42,6E-14
1.4,9E-14
1.38,4E-14
1.36,8E-14
1.34,5E-14
1.32,8E-14
1.3,6E-14
1.28,1E-13
1.26,1.1E-13
1.24,1.4E-13
1.22,1.8E-13
1.2,1E-14
1.18,2E-14
1.16,6E-14
1.14,3E-14
1.12,-7E-14
1.1,4E-14
1.08,4E-14
1.06,2E-14
1.04,8E-14
1.02,4E-14
1,2E-14
0.98,1E-14
0.96,1.23E-12
0.94,4.6E-13
0.92,3.9E-13
0.9,1.8E-13
0.88,7E-14
0.86,0
0.84,-3E-14
0.82,1.1E-13
0.8,0
0.78,1.6E-13
0.76,1.2E-13
0.74,-1E-14
0.72,1.7E-13
0.7,8E-14
0.68,3E-14
0.66,1.3E-13
0.64,0
0.62,0
0.6,8E-14
0.58,-2E-14
0.56,6E-14
0.54,3E-14
0.52,1.3E-13
0.5,0
0.48,4E-14
0.46,7E-14
0.44,4E-14
0.42,-3E-14
0.4,8E-14
0.38,8E-14
0.36,-8E-14
0.34,1E-14
0.32,1.4E-13
0.3,-1E-14
0.28,1E-13
0.26,4E-14
0.24,1.1E-13
0.22,-6E-14
0.2,7E-14
0.18,1.4E-13
0.16,-1E-14
0.14,8E-14
0.12,7E-14
0.1,2E-14
0.08,1.2E-13
0.06,1.4E-13
0.04,2E-14
0.02,7E-14
0,8E-14
