Setup title,"I/V Sweep_dark"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,18:37:04
Device ID,3
Count,38
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU3:HR,SMU4:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU3:HR,SMU4:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-1
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,0.001
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.001,0.1
Measurement.Monitor.Unit,SMU3:HR,SMU4:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-2.02353E-07
-0.01,-2.92165E-05
-0.02,-5.88411E-05
-0.03,-8.90796E-05
-0.04,-0.000119555
-0.05,-0.000151315
-0.06,-0.000183352
-0.07,-0.000216516
-0.08,-0.000249749
-0.09,-0.000283937
-0.1,-0.000320008
-0.11,-0.000357168
-0.12,-0.000395318
-0.13,-0.000434766
-0.14,-0.000474877
-0.15,-0.00051634
-0.16,-0.000559719
-0.17,-0.000603769
-0.18,-0.000647529
-0.19,-0.000695206
-0.2,-0.000742533
-0.21,-0.000790344
-0.22,-0.000841857
-0.23,-0.000893863
-0.24,-0.000947487
-0.25,-0.001000025
-0.26,-0.001000027
-0.27,-0.001000026
-0.28,-0.001000026
-0.29,-0.001000026
-0.3,-0.001000026
-0.31,-0.001000026
-0.32,-0.001000025
-0.33,-0.001000025
-0.34,-0.001000026
-0.35,-0.001000026
-0.36,-0.001000026
-0.37,-0.001000026
-0.38,-0.001000026
-0.39,-0.001000026
-0.4,-0.001000026
-0.41,-0.001000026
-0.42,-0.001000026
-0.43,-0.001000026
-0.44,-0.001000027
-0.45,-0.001000026
-0.46,-0.001000026
-0.47,-0.001000026
-0.48,-0.001000027
-0.49,-0.001000026
-0.5,-0.001000025
-0.51,-0.001000026
-0.52,-0.001000025
-0.53,-0.001000026
-0.54,-0.001000026
-0.55,-0.001000025
-0.56,-0.001000026
-0.57,-0.001000026
-0.58,-0.001000026
-0.59,-0.001000026
-0.6,-0.001000026
-0.61,-0.001000026
-0.62,-0.001000026
-0.63,-0.001000026
-0.64,-0.001000027
-0.65,-0.001000026
-0.66,-0.001000027
-0.67,-0.001000026
-0.68,-0.001000026
-0.69,-0.001000026
-0.7,-0.001000026
-0.71,-0.001000026
-0.72,-0.001000027
-0.73,-0.001000026
-0.74,-0.001000026
-0.75,-0.001000026
-0.76,-0.001000026
-0.77,-0.001000027
-0.78,-0.001000026
-0.79,-0.001000026
-0.8,-0.001000026
-0.81,-0.001000026
-0.82,-0.001000025
-0.83,-0.001000026
-0.84,-0.001000026
-0.85,-0.001000026
-0.86,-0.001000026
-0.87,-0.001000026
-0.88,-0.001000026
-0.89,-0.001000027
-0.9,-0.001000026
-0.91,-0.001000026
-0.92,-0.001000025
-0.93,-0.001000025
-0.94,-0.001000025
-0.95,-0.001000026
-0.96,-0.001000025
-0.97,-0.001000026
-0.98,-0.001000027
-0.99,-0.001000026
-1,-0.001000026
-1,-0.001000025
-0.99,-0.001000026
-0.98,-0.001000025
-0.97,-0.001000026
-0.96,-0.001000025
-0.95,-0.001000026
-0.94,-0.001000026
-0.93,-0.001000026
-0.92,-0.001000026
-0.91,-0.001000026
-0.9,-0.001000026
-0.89,-0.001000026
-0.88,-0.001000026
-0.87,-0.001000026
-0.86,-0.001000027
-0.85,-0.001000027
-0.84,-0.001000026
-0.83,-0.001000026
-0.82,-0.001000026
-0.81,-0.001000027
-0.8,-0.001000026
-0.79,-0.001000026
-0.78,-0.001000026
-0.77,-0.001000027
-0.76,-0.001000027
-0.75,-0.001000026
-0.74,-0.001000026
-0.73,-0.001000026
-0.72,-0.001000026
-0.71,-0.001000026
-0.7,-0.001000026
-0.69,-0.001000026
-0.68,-0.001000027
-0.67,-0.001000027
-0.66,-0.001000027
-0.65,-0.001000027
-0.64,-0.001000026
-0.63,-0.001000027
-0.62,-0.001000027
-0.61,-0.001000026
-0.6,-0.001000027
-0.59,-0.001000026
-0.58,-0.001000026
-0.57,-0.001000026
-0.56,-0.001000027
-0.55,-0.001000027
-0.54,-0.001000026
-0.53,-0.001000026
-0.52,-0.001000026
-0.51,-0.001000026
-0.5,-0.001000026
-0.49,-0.001000026
-0.48,-0.001000026
-0.47,-0.001000026
-0.46,-0.001000026
-0.45,-0.001000026
-0.44,-0.001000026
-0.43,-0.001000026
-0.42,-0.001000026
-0.41,-0.001000025
-0.4,-0.001000025
-0.39,-0.001000026
-0.38,-0.001000026
-0.37,-0.001000025
-0.36,-0.001000026
-0.35,-0.001000026
-0.34,-0.001000026
-0.33,-0.001000026
-0.32,-0.001000026
-0.31,-0.001000026
-0.3,-0.001000026
-0.29,-0.001000027
-0.28,-0.001000026
-0.27,-0.001000025
-0.26,-0.001000026
-0.25,-0.000977447
-0.24,-0.000924468
-0.23,-0.000872428
-0.22,-0.000820797
-0.21,-0.000771226
-0.2,-0.000721691
-0.19,-0.000674249
-0.18,-0.000630076
-0.17,-0.000586024
-0.16,-0.000542828
-0.15,-0.000501118
-0.14,-0.000460741
-0.13,-0.00042216
-0.12,-0.000383474
-0.11,-0.000346489
-0.1,-0.000311264
-0.09,-0.000276196
-0.08,-0.000242105
-0.07,-0.00020974
-0.06,-0.000177823
-0.05,-0.000146854
-0.04,-0.000116158
-0.03,-8.63032E-05
-0.02,-5.7039E-05
-0.01,-2.83151E-05
0,-2.22885E-07
