Setup title,"I/V dark_-0.2 to 0.2V"
Classic test name,"I/V Sweep"
Test date,4/26/2023
Test time,17:33:34
Device ID,"FTO_Contact check"
Count,66
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU3:HR,SMU4:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU3:HR,SMU4:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,-0.4
Measurement.Primary.Stop,0.4
Measurement.Primary.Step,0.001
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,-0.4,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU3:HR,SMU4:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
-0.4,-4.32453E-06
-0.399,-4.31648E-06
-0.398,-4.30687E-06
-0.397,-4.29781E-06
-0.396,-4.28835E-06
-0.395,-4.28035E-06
-0.394,-4.27156E-06
-0.393,-4.26333E-06
-0.392,-4.25482E-06
-0.391,-4.24611E-06
-0.39,-4.23792E-06
-0.389,-4.22837E-06
-0.388,-4.21938E-06
-0.387,-4.21082E-06
-0.386,-4.20263E-06
-0.385,-4.19486E-06
-0.384,-4.18525E-06
-0.383,-4.17632E-06
-0.382,-4.16787E-06
-0.381,-4.1589E-06
-0.38,-4.15045E-06
-0.379,-4.1421E-06
-0.378,-4.13421E-06
-0.377,-4.12527E-06
-0.376,-4.11481E-06
-0.375,-4.10618E-06
-0.374,-4.09909E-06
-0.373,-4.0898E-06
-0.372,-4.08124E-06
-0.371,-4.07288E-06
-0.37,-4.065E-06
-0.369,-4.05537E-06
-0.368,-4.04675E-06
-0.367,-4.03811E-06
-0.366,-4.02955E-06
-0.365,-4.02073E-06
-0.364,-4.01232E-06
-0.363,-4.00372E-06
-0.362,-3.99466E-06
-0.361,-3.9855E-06
-0.36,-3.97654E-06
-0.359,-3.96846E-06
-0.358,-3.96075E-06
-0.357,-3.95126E-06
-0.356,-3.94114E-06
-0.355,-3.93231E-06
-0.354,-3.92432E-06
-0.353,-3.91519E-06
-0.352,-3.90677E-06
-0.351,-3.89698E-06
-0.35,-3.88868E-06
-0.349,-3.87954E-06
-0.348,-3.87135E-06
-0.347,-3.86263E-06
-0.346,-3.85366E-06
-0.345,-3.84447E-06
-0.344,-3.83474E-06
-0.343,-3.82602E-06
-0.342,-3.81719E-06
-0.341,-3.80833E-06
-0.34,-3.79922E-06
-0.339,-3.79094E-06
-0.338,-3.78271E-06
-0.337,-3.77408E-06
-0.336,-3.76515E-06
-0.335,-3.75602E-06
-0.334,-3.74711E-06
-0.333,-3.73835E-06
-0.332,-3.72996E-06
-0.331,-3.72099E-06
-0.33,-3.71128E-06
-0.329,-3.70284E-06
-0.328,-3.69412E-06
-0.327,-3.6858E-06
-0.326,-3.67625E-06
-0.325,-3.66675E-06
-0.324,-3.65803E-06
-0.323,-3.64934E-06
-0.322,-3.64045E-06
-0.321,-3.63159E-06
-0.32,-3.62283E-06
-0.319,-3.61442E-06
-0.318,-3.605E-06
-0.317,-3.5965E-06
-0.316,-3.58728E-06
-0.315,-3.57729E-06
-0.314,-3.56841E-06
-0.313,-3.55962E-06
-0.312,-3.55145E-06
-0.311,-3.54218E-06
-0.31,-3.53394E-06
-0.309,-3.5249E-06
-0.308,-3.51511E-06
-0.307,-3.50644E-06
-0.306,-3.49777E-06
-0.305,-3.48704E-06
-0.304,-3.47881E-06
-0.303,-3.47024E-06
-0.302,-3.46108E-06
-0.301,-3.45118E-06
-0.3,-3.44176E-06
-0.299,-3.43178E-06
-0.298,-3.42398E-06
-0.297,-3.4154E-06
-0.296,-3.40616E-06
-0.295,-3.39611E-06
-0.294,-3.38722E-06
-0.293,-3.3781E-06
-0.292,-3.36957E-06
-0.291,-3.36074E-06
-0.29,-3.35171E-06
-0.289,-3.34223E-06
-0.288,-3.3329E-06
-0.287,-3.32372E-06
-0.286,-3.31462E-06
-0.285,-3.30582E-06
-0.284,-3.29706E-06
-0.283,-3.28698E-06
-0.282,-3.27766E-06
-0.281,-3.26788E-06
-0.28,-3.25952E-06
-0.279,-3.25075E-06
-0.278,-3.24129E-06
-0.277,-3.23193E-06
-0.276,-3.22319E-06
-0.275,-3.21391E-06
-0.274,-3.20539E-06
-0.273,-3.19596E-06
-0.272,-3.18638E-06
-0.271,-3.17753E-06
-0.27,-3.16808E-06
-0.269,-3.15924E-06
-0.268,-3.14992E-06
-0.267,-3.14029E-06
-0.266,-3.13056E-06
-0.265,-3.12093E-06
-0.264,-3.11144E-06
-0.263,-3.10306E-06
-0.262,-3.09385E-06
-0.261,-3.08393E-06
-0.26,-3.07455E-06
-0.259,-3.06542E-06
-0.258,-3.05601E-06
-0.257,-3.04722E-06
-0.256,-3.03805E-06
-0.255,-3.02799E-06
-0.254,-3.01888E-06
-0.253,-3.00796E-06
-0.252,-2.9991E-06
-0.251,-2.99025E-06
-0.25,-2.98077E-06
-0.249,-2.97118E-06
-0.248,-2.96186E-06
-0.247,-2.95192E-06
-0.246,-2.94191E-06
-0.245,-2.93191E-06
-0.244,-2.92279E-06
-0.243,-2.91335E-06
-0.242,-2.90411E-06
-0.241,-2.89457E-06
-0.24,-2.88517E-06
-0.239,-2.87614E-06
-0.238,-2.86617E-06
-0.237,-2.85729E-06
-0.236,-2.84749E-06
-0.235,-2.83891E-06
-0.234,-2.82918E-06
-0.233,-2.8194E-06
-0.232,-2.80961E-06
-0.231,-2.80086E-06
-0.23,-2.79117E-06
-0.229,-2.78082E-06
-0.228,-2.77164E-06
