Setup title,"I/V dark_-0.2 to 0.2V"
Classic test name,"I/V Sweep"
Test date,4/26/2023
Test time,17:28:08
Device ID,"FTO_Contact check"
Count,65
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU3:HR,SMU4:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU3:HR,SMU4:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,-0.4
Measurement.Primary.Stop,0.4
Measurement.Primary.Step,0.001
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,-0.4,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU3:HR,SMU4:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
-0.4,-2.20465E-05
-0.399,-2.20431E-05
-0.398,-2.20517E-05
-0.397,-2.20469E-05
-0.396,-2.20225E-05
-0.395,-2.20181E-05
-0.394,-2.20229E-05
-0.393,-2.2036E-05
-0.392,-2.20277E-05
-0.391,-2.20369E-05
-0.39,-2.20565E-05
-0.389,-2.2074E-05
-0.388,-2.20926E-05
-0.387,-2.20963E-05
-0.386,-2.2012E-05
-0.385,-2.21593E-05
-0.384,-2.25203E-05
-0.383,-2.29325E-05
-0.382,-2.30548E-05
-0.381,-2.31188E-05
-0.38,-2.33002E-05
-0.379,-2.3313E-05
-0.378,-2.33302E-05
-0.377,-2.33515E-05
-0.376,-2.32951E-05
-0.375,-2.32571E-05
-0.374,-2.32479E-05
-0.373,-2.32625E-05
-0.372,-2.31666E-05
-0.371,-2.31546E-05
-0.37,-2.30891E-05
-0.369,-2.3092E-05
-0.368,-2.29802E-05
-0.367,-2.27904E-05
-0.366,-2.27422E-05
-0.365,-2.26939E-05
-0.364,-2.24995E-05
-0.363,-2.23513E-05
-0.362,-2.22238E-05
-0.361,-2.19569E-05
-0.36,-2.12442E-05
-0.359,-2.02471E-05
-0.358,-1.90725E-05
-0.357,-1.7762E-05
-0.356,-1.64708E-05
-0.355,-1.52803E-05
-0.354,-1.41844E-05
-0.353,-1.3312E-05
-0.352,-1.29312E-05
-0.351,-1.30932E-05
-0.35,-1.34377E-05
-0.349,-1.36349E-05
-0.348,-1.3668E-05
-0.347,-1.358E-05
-0.346,-1.35926E-05
-0.345,-1.35919E-05
-0.344,-1.35577E-05
-0.343,-1.34864E-05
-0.342,-1.34624E-05
-0.341,-1.34294E-05
-0.34,-1.33879E-05
-0.339,-1.33689E-05
-0.338,-1.33524E-05
-0.337,-1.33474E-05
-0.336,-1.33611E-05
-0.335,-1.3625E-05
-0.334,-1.4341E-05
-0.333,-1.50035E-05
-0.332,-1.53436E-05
-0.331,-1.54514E-05
-0.33,-1.53757E-05
-0.329,-1.51449E-05
-0.328,-1.42761E-05
-0.327,-1.26799E-05
-0.326,-1.07949E-05
-0.325,-8.83642E-06
-0.324,-7.14383E-06
-0.323,-6.1007E-06
-0.322,-5.64378E-06
-0.321,-5.22015E-06
-0.32,-4.69064E-06
-0.319,-3.96581E-06
-0.318,-3.71057E-06
-0.317,-3.65473E-06
-0.316,-3.61525E-06
-0.315,-3.59023E-06
-0.314,-3.57225E-06
-0.313,-3.56055E-06
-0.312,-3.55127E-06
-0.311,-3.54183E-06
-0.31,-3.53427E-06
-0.309,-3.52497E-06
-0.308,-3.51634E-06
-0.307,-3.50731E-06
-0.306,-3.49804E-06
-0.305,-3.4888E-06
-0.304,-3.47971E-06
-0.303,-3.47052E-06
-0.302,-3.46095E-06
-0.301,-3.45291E-06
-0.3,-3.44347E-06
-0.299,-3.43505E-06
-0.298,-3.42607E-06
-0.297,-3.41655E-06
-0.296,-3.40691E-06
-0.295,-3.39813E-06
-0.294,-3.38928E-06
-0.293,-3.38057E-06
-0.292,-3.37043E-06
-0.291,-3.36223E-06
-0.29,-3.35339E-06
-0.289,-3.34447E-06
-0.288,-3.33529E-06
-0.287,-3.32584E-06
-0.286,-3.31652E-06
-0.285,-3.3067E-06
-0.284,-3.2978E-06
-0.283,-3.28867E-06
