Setup title,"I/V dark_-0.2 to 0.2V"
Classic test name,"I/V Sweep"
Test date,4/26/2023
Test time,17:24:40
Device ID,"FTO_Contact check"
Count,62
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU3:HR,SMU4:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU3:HR,SMU4:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,-0.4
Measurement.Primary.Stop,0.4
Measurement.Primary.Step,0.001
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,-0.4,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU3:HR,SMU4:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
-0.4,-1.13821E-06
-0.399,-1.15744E-06
-0.398,-1.10516E-06
-0.397,-1.03055E-06
-0.396,-1.42129E-06
-0.395,-1.44726E-06
-0.394,-1.46675E-06
-0.393,-1.20881E-06
-0.392,-1.22784E-06
-0.391,-1.22928E-06
-0.39,-1.17243E-06
-0.389,-9.1383E-07
-0.388,-4.9442E-07
-0.387,-8.36422E-07
-0.386,-7.84078E-07
-0.385,-7.05766E-07
-0.384,-7.58402E-07
-0.383,-7.65428E-07
-0.382,-7.50108E-07
-0.381,-2.29249E-07
-0.38,-2.27447E-07
-0.379,-3.63217E-07
-0.378,-7.50818E-07
-0.377,-7.65233E-07
-0.376,-7.44872E-07
-0.375,-7.80498E-07
-0.374,-7.75186E-07
-0.373,-7.46542E-07
-0.372,-7.55028E-07
-0.371,-8.11659E-07
-0.37,-8.64946E-07
-0.369,-9.40828E-07
-0.368,-9.67697E-07
-0.367,-9.24414E-07
-0.366,-9.17809E-07
-0.365,-9.12407E-07
-0.364,-9.04739E-07
-0.363,-9.05259E-07
-0.362,-9.12484E-07
-0.361,-8.91311E-07
-0.36,-9.04405E-07
-0.359,-8.94752E-07
-0.358,-9.06747E-07
-0.357,-8.83527E-07
-0.356,-8.60735E-07
-0.355,-8.2422E-07
-0.354,-7.80744E-07
-0.353,-8.22023E-07
-0.352,-8.23106E-07
-0.351,-8.15865E-07
-0.35,-7.97543E-07
-0.349,-7.8856E-07
-0.348,-8.81858E-07
-0.347,-8.47886E-07
-0.346,-8.50826E-07
-0.345,-8.6503E-07
-0.344,-9.50855E-07
-0.343,-1.08476E-06
-0.342,-1.02662E-06
-0.341,-1.79017E-06
-0.34,-2.40668E-06
-0.339,-2.52891E-06
-0.338,-3.8748E-06
-0.337,-2.57269E-06
-0.336,-2.99393E-06
-0.335,-2.86247E-06
-0.334,-2.63975E-06
-0.333,-2.50527E-06
-0.332,-1.89406E-06
-0.331,-1.63098E-06
-0.33,-1.87622E-06
-0.329,-1.70458E-06
-0.328,-1.3786E-06
-0.327,-1.60629E-06
-0.326,-1.82537E-06
-0.325,-2.16844E-06
-0.324,-2.27725E-06
-0.323,-2.31971E-06
-0.322,-3.34546E-06
-0.321,-7.057E-06
-0.32,-6.65792E-06
-0.319,-5.70027E-06
-0.318,-6.26791E-06
-0.317,-6.44074E-06
-0.316,-6.2018E-06
-0.315,-6.72986E-06
-0.314,-6.22783E-06
-0.313,-6.30797E-06
-0.312,-6.05951E-06
-0.311,-5.7512E-06
-0.31,-4.62767E-06
-0.309,-4.56241E-06
-0.308,-4.40058E-06
-0.307,-4.69646E-06
-0.306,-4.53388E-06
-0.305,-4.47367E-06
-0.304,-4.217E-06
-0.303,-4.38596E-06
-0.302,-4.59304E-06
-0.301,-4.76061E-06
-0.3,-5.16776E-06
-0.299,-5.24794E-06
-0.298,-5.22714E-06
-0.297,-4.89925E-06
-0.296,-4.96655E-06
-0.295,-5.04824E-06
-0.294,-4.87881E-06
-0.293,-4.73827E-06
-0.292,-4.70766E-06
-0.291,-4.7156E-06
-0.29,-4.61367E-06
-0.289,-5.00934E-06
-0.288,-5.04257E-06
-0.287,-4.8242E-06
-0.286,-4.71581E-06
-0.285,-4.74132E-06
-0.284,-4.61949E-06
-0.283,-5.05027E-06
-0.282,-4.94757E-06
-0.281,-3.20935E-06
-0.28,-4.49631E-06
-0.279,-3.20836E-06
-0.278,-2.86548E-06
-0.277,-2.98948E-06
-0.276,-3.0012E-06
-0.275,-5.3373E-06
-0.274,-2.66996E-06
-0.273,-2.12003E-06
-0.272,-2.09324E-06
-0.271,-2.44997E-06
-0.27,-2.22815E-06
-0.269,-2.3297E-06
-0.268,-1.61208E-06
-0.267,-1.75773E-06
-0.266,-1.79983E-06
-0.265,-1.63573E-06
-0.264,-1.72994E-06
-0.263,-1.75759E-06
-0.262,-1.73267E-06
-0.261,-1.7302E-06
-0.26,-2.96817E-06
-0.259,-4.06965E-06
-0.258,-3.35948E-06
-0.257,-3.51173E-06
-0.256,-3.63177E-06
-0.255,-3.12472E-06
-0.254,-2.54514E-06
-0.253,-2.72411E-06
-0.252,-2.53823E-06
-0.251,-3.01389E-06
-0.25,-2.74842E-06
-0.249,-3.68108E-06
-0.248,-3.59207E-06
-0.247,-2.10929E-06
-0.246,-6.17842E-07
-0.245,-6.1406E-07
-0.244,-6.03972E-07
-0.243,-5.46061E-07
-0.242,-5.37215E-07
-0.241,-5.28808E-07
-0.24,-5.40474E-07
-0.239,-5.43835E-07
-0.238,-5.28603E-07
-0.237,-5.23574E-07
-0.236,-5.00134E-07
-0.235,-4.68174E-07
-0.234,-4.78356E-07
-0.233,-4.84858E-07
-0.232,-4.99063E-07
-0.231,-4.69039E-07
-0.23,-4.79373E-07
-0.229,-4.80251E-07
-0.228,-4.91738E-07
