Setup title,"I/V Sweep_0_-2_light"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,16:58:00
Device ID,
Count,22
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-2
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,1.3889E-09
-0.01,-3.04571E-07
-0.02,-6.15549E-07
-0.03,-9.36308E-07
-0.04,-1.26428E-06
-0.05,-1.62417E-06
-0.06,-1.98412E-06
-0.07,-2.36891E-06
-0.08,-2.76168E-06
-0.09,-3.22624E-06
-0.1,-3.69792E-06
-0.11,-4.16238E-06
-0.12,-4.66667E-06
-0.13,-5.23291E-06
-0.14,-5.87331E-06
-0.15,-6.43721E-06
-0.16,-7.07817E-06
-0.17,-7.80117E-06
-0.18,-8.50752E-06
-0.19,-9.33347E-06
-0.2,-1.008015E-05
-0.21,-1.099895E-05
-0.22,-1.18859E-05
-0.23,-1.28627E-05
-0.24,-1.38585E-05
-0.25,-1.48847E-05
-0.26,-1.60986E-05
-0.27,-1.74045E-05
-0.28,-1.84473E-05
-0.29,-1.97722E-05
-0.3,-2.121E-05
-0.31,-2.27667E-05
-0.32,-2.41924E-05
-0.33,-2.55536E-05
-0.34,-2.71248E-05
-0.35,-2.89376E-05
-0.36,-3.07135E-05
-0.37,-3.26256E-05
-0.38,-3.44817E-05
-0.39,-3.66248E-05
-0.4,-3.86215E-05
-0.41,-4.05072E-05
-0.42,-4.27276E-05
-0.43,-4.54784E-05
-0.44,-4.7939E-05
-0.45,-5.04629E-05
-0.46,-5.31328E-05
-0.47,-5.63797E-05
-0.48,-5.90192E-05
-0.49,-6.19739E-05
-0.5,-6.47333E-05
-0.51,-6.73554E-05
-0.52,-7.17128E-05
-0.53,-7.52624E-05
-0.54,-8.00712E-05
-0.55,-8.43448E-05
-0.56,-8.8234E-05
-0.57,-9.27211E-05
-0.58,-9.6658E-05
-0.59,-0.0001013964
-0.6,-0.0001053282
-0.61,-0.00011005
-0.62,-0.000114933
-0.63,-0.000118477
-0.64,-0.000122796
-0.65,-0.00013023
-0.66,-0.00013884
-0.67,-0.000143157
-0.68,-0.000150035
-0.69,-0.000156973
-0.7,-0.000160835
-0.71,-0.000167451
-0.72,-0.000178718
-0.73,-0.000185327
-0.74,-0.000190165
-0.75,-0.00019985
-0.76,-0.000200041
-0.77,-0.00020004
-0.78,-0.000200041
-0.79,-0.000200042
-0.8,-0.000200041
-0.81,-0.000200041
-0.82,-0.000200041
-0.83,-0.000200041
-0.84,-0.000200041
-0.85,-0.000200041
-0.86,-0.000200042
-0.87,-0.000200041
-0.88,-0.000200041
-0.89,-0.00020004
-0.9,-0.000200041
-0.91,-0.00020004
-0.92,-0.000200042
-0.93,-0.00020004
-0.94,-0.000200041
-0.95,-0.000200041
-0.96,-0.000200042
-0.97,-0.000200042
-0.98,-0.000200041
-0.99,-0.000200042
-1,-0.000200041
-1.01,-0.000200041
-1.02,-0.000200041
-1.03,-0.000200041
-1.04,-0.000200042
-1.05,-0.000200041
-1.06,-0.000200041
-1.07,-0.000200041
-1.08,-0.000200041
-1.09,-0.000200041
-1.1,-0.000200041
-1.11,-0.000200041
-1.12,-0.000200041
-1.13,-0.000200041
-1.14,-0.000200041
-1.15,-0.000200041
-1.16,-0.00020004
-1.17,-0.000200042
-1.18,-0.000200041
-1.19,-0.000200041
-1.2,-0.000200041
-1.21,-0.000200042
-1.22,-0.000200041
-1.23,-0.000200041
-1.24,-0.000200041
-1.25,-0.000200041
-1.26,-0.00020004
-1.27,-0.00020004
-1.28,-0.00020004
-1.29,-0.00020004
-1.3,-0.00020004
-1.31,-0.00020004
-1.32,-0.00020004
-1.33,-0.00020004
-1.34,-0.000200041
-1.35,-0.000200041
-1.36,-0.000200041
-1.37,-0.000200041
-1.38,-0.000200041
-1.39,-0.00020004
-1.4,-0.00020004
-1.41,-0.00020004
-1.42,-0.000200041
-1.43,-0.000200041
-1.44,-0.00020004
-1.45,-0.000200041
-1.46,-0.000200041
-1.47,-0.000200041
-1.48,-0.00020004
-1.49,-0.000200041
-1.5,-0.000200041
-1.51,-0.00020004
-1.52,-0.00020004
-1.53,-0.00020004
-1.54,-0.000200041
-1.55,-0.00020004
-1.56,-0.00020004
-1.57,-0.00020004
-1.58,-0.000200041
-1.59,-0.00020004
-1.6,-0.00020004
-1.61,-0.00020004
-1.62,-0.00020004
-1.63,-0.00020004
-1.64,-0.00020004
-1.65,-0.00020004
-1.66,-0.000200041
-1.67,-0.000200041
-1.68,-0.00020004
-1.69,-0.00020004
-1.7,-0.00020004
-1.71,-0.000200041
-1.72,-0.00020004
-1.73,-0.000200041
-1.74,-0.000200041
-1.75,-0.000200041
-1.76,-0.00020004
-1.77,-0.000200041
-1.78,-0.00020004
-1.79,-0.000200041
-1.8,-0.00020004
-1.81,-0.000200041
-1.82,-0.00020004
-1.83,-0.000200041
-1.84,-0.000200041
-1.85,-0.000200041
-1.86,-0.00020004
-1.87,-0.00020004
-1.88,-0.000200041
-1.89,-0.00020004
-1.9,-0.00020004
-1.91,-0.000200041
-1.92,-0.00020004
-1.93,-0.000200041
-1.94,-0.000200041
-1.95,-0.000200039
-1.96,-0.00020004
-1.97,-0.00020004
-1.98,-0.000200041
-1.99,-0.00020004
-2,-0.00020004
-2,-0.000200039
-1.99,-0.00020004
-1.98,-0.00020004
-1.97,-0.000200041
-1.96,-0.00020004
-1.95,-0.000200041
-1.94,-0.00020004
-1.93,-0.00020004
-1.92,-0.000200041
-1.91,-0.000200041
-1.9,-0.00020004
-1.89,-0.00020004
-1.88,-0.000200039
-1.87,-0.00020004
-1.86,-0.00020004
-1.85,-0.00020004
-1.84,-0.00020004
-1.83,-0.000200039
-1.82,-0.00020004
-1.81,-0.000200039
-1.8,-0.00020004
-1.79,-0.00020004
-1.78,-0.000200041
-1.77,-0.000200041
-1.76,-0.00020004
-1.75,-0.00020004
-1.74,-0.00020004
-1.73,-0.00020004
-1.72,-0.00020004
-1.71,-0.00020004
-1.7,-0.00020004
-1.69,-0.00020004
-1.68,-0.00020004
-1.67,-0.00020004
-1.66,-0.00020004
-1.65,-0.00020004
-1.64,-0.000200041
-1.63,-0.000200041
-1.62,-0.000200041
-1.61,-0.000200041
-1.6,-0.00020004
-1.59,-0.00020004
-1.58,-0.000200041
-1.57,-0.000200041
-1.56,-0.000200041
-1.55,-0.00020004
-1.54,-0.00020004
-1.53,-0.00020004
-1.52,-0.00020004
-1.51,-0.00020004
-1.5,-0.00020004
-1.49,-0.00020004
-1.48,-0.000200041
-1.47,-0.000200041
-1.46,-0.00020004
-1.45,-0.000200041
-1.44,-0.000200041
-1.43,-0.00020004
-1.42,-0.00020004
-1.41,-0.000200039
-1.4,-0.00020004
-1.39,-0.00020004
-1.38,-0.00020004
-1.37,-0.00020004
-1.36,-0.000200041
-1.35,-0.00020004
-1.34,-0.000200039
-1.33,-0.00020004
-1.32,-0.000200039
-1.31,-0.00020004
-1.3,-0.000200039
-1.29,-0.000200039
-1.28,-0.000200039
-1.27,-0.00020004
-1.26,-0.00020004
-1.25,-0.000200039
-1.24,-0.00020004
-1.23,-0.00020004
-1.22,-0.000200039
-1.21,-0.00020004
-1.2,-0.00020004
-1.19,-0.00020004
-1.18,-0.000200039
-1.17,-0.00020004
-1.16,-0.00020004
-1.15,-0.00020004
-1.14,-0.00020004
-1.13,-0.000200039
-1.12,-0.00020004
-1.11,-0.00020004
-1.1,-0.00020004
-1.09,-0.00020004
-1.08,-0.00020004
-1.07,-0.00020004
-1.06,-0.00020004
-1.05,-0.00020004
-1.04,-0.000200041
-1.03,-0.000200041
-1.02,-0.00020004
-1.01,-0.00020004
-1,-0.000200039
-0.99,-0.00020004
-0.98,-0.000200041
-0.97,-0.00020004
-0.96,-0.00020004
-0.95,-0.00020004
-0.94,-0.00020004
-0.93,-0.000200041
-0.92,-0.00020004
-0.91,-0.00020004
-0.9,-0.000200041
-0.89,-0.00020004
-0.88,-0.00020004
-0.87,-0.000200041
