Setup title,"I/V Sweep_0_-2_light"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,17:01:24
Device ID,
Count,24
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-2
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,1.4429E-09
-0.01,-3.09971E-07
-0.02,-6.27013E-07
-0.03,-9.57157E-07
-0.04,-1.29276E-06
-0.05,-1.63724E-06
-0.06,-2.00854E-06
-0.07,-2.40961E-06
-0.08,-2.86689E-06
-0.09,-3.32696E-06
-0.1,-3.79107E-06
-0.11,-4.32175E-06
-0.12,-4.88586E-06
-0.13,-5.45674E-06
-0.14,-6.02869E-06
-0.15,-6.64746E-06
-0.16,-7.38816E-06
-0.17,-8.15172E-06
-0.18,-8.97769E-06
-0.19,-9.7435E-06
-0.2,-1.063964E-05
-0.21,-1.15323E-05
-0.22,-1.25169E-05
-0.23,-1.33949E-05
-0.24,-1.46316E-05
-0.25,-1.61051E-05
-0.26,-1.72965E-05
-0.27,-1.8794E-05
-0.28,-2.00922E-05
-0.29,-2.14325E-05
-0.3,-2.23476E-05
-0.31,-2.4145E-05
-0.32,-2.60331E-05
-0.33,-2.77371E-05
-0.34,-2.95104E-05
-0.35,-3.08704E-05
-0.36,-3.23877E-05
-0.37,-3.46415E-05
-0.38,-3.65173E-05
-0.39,-3.77555E-05
-0.4,-3.99883E-05
-0.41,-4.28352E-05
-0.42,-4.47648E-05
-0.43,-4.74282E-05
-0.44,-4.91784E-05
-0.45,-5.13333E-05
-0.46,-5.34268E-05
-0.47,-5.67638E-05
-0.48,-5.95318E-05
-0.49,-6.18293E-05
-0.5,-6.61021E-05
-0.51,-6.97407E-05
-0.52,-7.39932E-05
-0.53,-7.84055E-05
-0.54,-8.25887E-05
-0.55,-8.71902E-05
-0.56,-9.20915E-05
-0.57,-9.60969E-05
-0.58,-0.0001009408
-0.59,-0.0001067156
-0.6,-0.0001118415
-0.61,-0.000117078
-0.62,-0.000120254
-0.63,-0.000128083
-0.64,-0.000134703
-0.65,-0.000143409
-0.66,-0.000150593
-0.67,-0.000154178
-0.68,-0.000160981
-0.69,-0.000165097
-0.7,-0.000172881
-0.71,-0.000179495
-0.72,-0.000189089
-0.73,-0.000198398
-0.74,-0.00020004
-0.75,-0.000200041
-0.76,-0.00020004
-0.77,-0.00020004
-0.78,-0.00020004
-0.79,-0.000200041
-0.8,-0.00020004
-0.81,-0.000200041
-0.82,-0.000200041
-0.83,-0.000200041
-0.84,-0.00020004
-0.85,-0.00020004
-0.86,-0.00020004
-0.87,-0.000200041
-0.88,-0.000200041
-0.89,-0.000200041
-0.9,-0.000200041
-0.91,-0.000200041
-0.92,-0.000200041
-0.93,-0.00020004
-0.94,-0.000200041
-0.95,-0.000200041
-0.96,-0.000200041
-0.97,-0.000200041
-0.98,-0.00020004
-0.99,-0.00020004
-1,-0.00020004
-1.01,-0.000200041
-1.02,-0.000200041
-1.03,-0.000200041
-1.04,-0.00020004
-1.05,-0.00020004
-1.06,-0.00020004
-1.07,-0.00020004
-1.08,-0.000200041
-1.09,-0.00020004
-1.1,-0.00020004
-1.11,-0.00020004
-1.12,-0.000200041
-1.13,-0.00020004
-1.14,-0.00020004
-1.15,-0.00020004
-1.16,-0.00020004
-1.17,-0.000200041
-1.18,-0.000200041
-1.19,-0.000200041
-1.2,-0.000200041
-1.21,-0.000200041
-1.22,-0.00020004
-1.23,-0.000200041
-1.24,-0.000200041
-1.25,-0.00020004
-1.26,-0.00020004
-1.27,-0.00020004
-1.28,-0.00020004
-1.29,-0.00020004
-1.3,-0.000200041
-1.31,-0.00020004
-1.32,-0.000200041
-1.33,-0.00020004
-1.34,-0.00020004
-1.35,-0.00020004
-1.36,-0.00020004
-1.37,-0.00020004
-1.38,-0.00020004
-1.39,-0.000200041
-1.4,-0.00020004
-1.41,-0.000200041
-1.42,-0.00020004
-1.43,-0.000200041
-1.44,-0.00020004
-1.45,-0.00020004
-1.46,-0.000200041
-1.47,-0.000200041
-1.48,-0.00020004
-1.49,-0.00020004
-1.5,-0.00020004
-1.51,-0.00020004
-1.52,-0.000200041
-1.53,-0.00020004
-1.54,-0.000200041
-1.55,-0.00020004
-1.56,-0.00020004
-1.57,-0.00020004
-1.58,-0.00020004
-1.59,-0.00020004
-1.6,-0.000200039
-1.61,-0.00020004
-1.62,-0.00020004
-1.63,-0.000200039
-1.64,-0.00020004
-1.65,-0.000200041
-1.66,-0.000200039
-1.67,-0.00020004
-1.68,-0.000200039
-1.69,-0.000200039
-1.7,-0.00020004
-1.71,-0.00020004
-1.72,-0.00020004
-1.73,-0.00020004
-1.74,-0.00020004
-1.75,-0.00020004
-1.76,-0.00020004
-1.77,-0.00020004
-1.78,-0.00020004
-1.79,-0.00020004
-1.8,-0.00020004
-1.81,-0.00020004
-1.82,-0.00020004
-1.83,-0.00020004
-1.84,-0.00020004
-1.85,-0.00020004
-1.86,-0.00020004
-1.87,-0.00020004
-1.88,-0.00020004
-1.89,-0.00020004
-1.9,-0.000200039
-1.91,-0.000200039
-1.92,-0.00020004
-1.93,-0.00020004
-1.94,-0.00020004
-1.95,-0.00020004
-1.96,-0.000200039
-1.97,-0.000200039
-1.98,-0.00020004
-1.99,-0.000200039
-2,-0.00020004
-2,-0.00020004
-1.99,-0.00020004
-1.98,-0.00020004
-1.97,-0.00020004
-1.96,-0.000200039
-1.95,-0.00020004
-1.94,-0.00020004
-1.93,-0.00020004
-1.92,-0.000200039
-1.91,-0.00020004
-1.9,-0.00020004
-1.89,-0.00020004
-1.88,-0.00020004
-1.87,-0.00020004
-1.86,-0.00020004
-1.85,-0.00020004
-1.84,-0.00020004
-1.83,-0.000200039
-1.82,-0.000200039
-1.81,-0.00020004
-1.8,-0.00020004
-1.79,-0.00020004
-1.78,-0.00020004
-1.77,-0.00020004
-1.76,-0.00020004
-1.75,-0.00020004
-1.74,-0.00020004
-1.73,-0.00020004
-1.72,-0.00020004
-1.71,-0.00020004
-1.7,-0.00020004
-1.69,-0.000200041
-1.68,-0.00020004
-1.67,-0.00020004
-1.66,-0.00020004
-1.65,-0.00020004
-1.64,-0.00020004
-1.63,-0.00020004
-1.62,-0.000200041
-1.61,-0.00020004
-1.6,-0.000200041
-1.59,-0.00020004
-1.58,-0.000200041
-1.57,-0.000200041
-1.56,-0.00020004
-1.55,-0.00020004
-1.54,-0.00020004
-1.53,-0.00020004
-1.52,-0.00020004
-1.51,-0.000200041
-1.5,-0.000200039
-1.49,-0.000200039
-1.48,-0.00020004
-1.47,-0.000200039
-1.46,-0.00020004
-1.45,-0.000200039
-1.44,-0.00020004
-1.43,-0.000200041
-1.42,-0.000200039
-1.41,-0.00020004
-1.4,-0.00020004
-1.39,-0.00020004
-1.38,-0.00020004
-1.37,-0.000200041
-1.36,-0.000200041
-1.35,-0.00020004
-1.34,-0.00020004
-1.33,-0.000200041
-1.32,-0.00020004
-1.31,-0.000200041
-1.3,-0.00020004
-1.29,-0.000200041
-1.28,-0.000200042
-1.27,-0.000200041
-1.26,-0.00020004
-1.25,-0.000200041
-1.24,-0.000200041
-1.23,-0.000200041
-1.22,-0.00020004
-1.21,-0.000200041
-1.2,-0.000200041
-1.19,-0.00020004
-1.18,-0.000200041
-1.17,-0.00020004
-1.16,-0.00020004
-1.15,-0.000200041
-1.14,-0.000200041
-1.13,-0.00020004
-1.12,-0.000200041
-1.11,-0.000200041
-1.1,-0.000200041
-1.09,-0.000200041
-1.08,-0.00020004
-1.07,-0.00020004
-1.06,-0.00020004
-1.05,-0.000200041
-1.04,-0.000200041
-1.03,-0.000200041
-1.02,-0.000200041
-1.01,-0.000200041
-1,-0.000200041
-0.99,-0.00020004
-0.98,-0.000200041
-0.97,-0.000200041
-0.96,-0.000200041
-0.95,-0.00020004
-0.94,-0.00020004
-0.93,-0.000200041
-0.92,-0.000200041
-0.91,-0.00020004
-0.9,-0.000200041
-0.89,-0.000200041
-0.88,-0.000200041
-0.87,-0.000200042
