Setup title,"I/V Sweep_dark_0_-0.4V"
Classic test name,"I/V Sweep"
Test date,4/26/2023
Test time,16:43:11
Device ID,"FTO_Contact check"
Count,46
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-0.4
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,0.0005
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0005,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,4.99242E-08
-0.01,-1.58473E-05
-0.02,-3.17475E-05
-0.03,-4.79105E-05
-0.04,-6.40153E-05
-0.05,-8.04342E-05
-0.06,-9.69638E-05
-0.07,-0.0001134393
-0.08,-0.000129449
-0.09,-0.000146916
-0.1,-0.000165758
-0.11,-0.000183595
-0.12,-0.000201655
-0.13,-0.00021991
-0.14,-0.00023917
-0.15,-0.000259543
-0.16,-0.000280401
-0.17,-0.000300423
-0.18,-0.000319071
-0.19,-0.000342559
-0.2,-0.000367741
-0.21,-0.000393552
-0.22,-0.000416655
-0.23,-0.000441646
-0.24,-0.000463905
-0.25,-0.000482911
-0.26,-0.000500085
-0.27,-0.000500085
-0.28,-0.000500085
-0.29,-0.000500085
-0.3,-0.000500085
-0.31,-0.000500085
-0.32,-0.000500085
-0.33,-0.000500086
-0.34,-0.000500085
-0.35,-0.000500085
-0.36,-0.000500085
-0.37,-0.000500085
-0.38,-0.000500085
-0.39,-0.000500085
-0.4,-0.000500085
-0.4,-0.000500085
-0.39,-0.000500085
-0.38,-0.000500085
-0.37,-0.000500085
-0.36,-0.000500085
-0.35,-0.000500085
-0.34,-0.000500086
-0.33,-0.000500085
-0.32,-0.000500086
-0.31,-0.000500085
-0.3,-0.000500086
-0.29,-0.000500085
-0.28,-0.000500085
-0.27,-0.000500086
-0.26,-0.000479157
-0.25,-0.00045315
-0.24,-0.000427491
-0.23,-0.000406792
-0.22,-0.000385141
-0.21,-0.000363214
-0.2,-0.000341629
-0.19,-0.000320875
-0.18,-0.000299883
-0.17,-0.000280733
-0.16,-0.000260698
-0.15,-0.000240079
-0.14,-0.000221456
-0.13,-0.000202265
-0.12,-0.000185975
-0.11,-0.000168428
-0.1,-0.000152645
-0.09,-0.00013474
-0.08,-0.000118426
-0.07,-0.000103059
-0.06,-8.84113E-05
-0.05,-7.25955E-05
-0.04,-5.76124E-05
-0.03,-4.30571E-05
-0.02,-2.86543E-05
-0.01,-1.42123E-05
0,4.68236E-08
