Setup title,"I/V-t Sampling_3V_10S__Dark"
Classic test name,"I/V-t Sampling"
Test date,2/8/2023
Test time,16:43:02
Device ID,
Count,2
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,I2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Index,
Channel.Time,Time
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Sampling.Scale,LINEAR
Measurement.Sampling.Interval,0.01
Measurement.Sampling.Count,1001
Measurement.Sampling.HoldTime,0
Measurement.Sampling.BaseHoldTime,0
Measurement.Sampling.OutputSequence,SEQUENTIAL
Measurement.PostOutput.Value,SOURCE
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,3,0
Measurement.Bias.Compliance,0.1,0.1
Measurement.Bias.Base,0
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,Time
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,0
Output.Graph.XAxis.Right,10
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
Measurement.Sampling.StopCondition.Enabled,false
Measurement.Sampling.StopCondition.EnableDelay,0
Measurement.Sampling.StopCondition.Name,
Measurement.Sampling.StopCondition.Threshold,0
Measurement.Sampling.StopCondition.Event,"Val > Th"
Measurement.Sampling.StopCondition.EventCount,1
Time,I1
0.04398,2.15095E-09
0.25064,1.41405E-09
0.45068,1.03607E-09
0.65068,8.3957E-10
0.85068,7.005E-10
1.05068,6.0096E-10
1.25094,5.2869E-10
1.45094,4.6981E-10
1.65225,4.2084E-10
1.85229,3.8559E-10
2.06229,3.4842E-10
2.26229,3.2171E-10
2.46229,3.0014E-10
2.66229,2.7848E-10
2.86316,2.6081E-10
3.06229,2.4572E-10
3.26225,2.3217E-10
3.46225,2.194E-10
3.66229,2.0464E-10
3.86225,1.9266E-10
4.0609,1.7393E-10
4.2609,1.8375E-10
4.46068,1.7446E-10
4.66068,1.7131E-10
4.86064,1.6277E-10
5.06064,1.5848E-10
5.26068,1.5455E-10
5.46068,1.4751E-10
5.66064,1.4115E-10
5.86085,1.3595E-10
6.06068,1.3312E-10
6.26068,1.2998E-10
