Setup title,C-v_3V_10s_dark
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
VBias,C
-2,1.51716E-10
-1.99,1.51102E-10
-1.98,1.50427E-10
-1.97,1.5001E-10
-1.96,1.49275E-10
-1.95,1.48979E-10
-1.94,1.4851E-10
-1.93,1.48269E-10
-1.92,1.47978E-10
-1.91,1.47838E-10
-1.9,1.4772E-10
-1.89,1.47695E-10
-1.88,1.47638E-10
-1.87,1.47603E-10
-1.86,1.47675E-10
-1.85,1.47595E-10
-1.84,1.47751E-10
-1.83,1.47767E-10
-1.82,1.47941E-10
-1.81,1.47949E-10
-1.8,1.48205E-10
-1.79,1.48253E-10
-1.78,1.48516E-10
-1.77,1.48509E-10
-1.76,1.48793E-10
-1.75,1.48862E-10
-1.74,1.49143E-10
-1.73,1.49216E-10
-1.72,1.49563E-10
-1.71,1.49625E-10
-1.7,1.49998E-10
-1.69,1.50107E-10
-1.68,1.50465E-10
-1.67,1.5057E-10
-1.66,1.5092E-10
-1.65,1.51091E-10
-1.64,1.51464E-10
-1.63,1.51601E-10
-1.62,1.51998E-10
-1.61,1.52144E-10
-1.6,1.52511E-10
-1.59,1.52658E-10
-1.58,1.53031E-10
-1.57,1.53217E-10
-1.56,1.53605E-10
-1.55,1.53751E-10
-1.54,1.54153E-10
-1.53,1.54338E-10
-1.52,1.54743E-10
-1.51,1.549E-10
-1.5,1.55306E-10
-1.49,1.55546E-10
-1.48,1.55938E-10
-1.47,1.56127E-10
-1.46,1.56534E-10
-1.45,1.56742E-10
-1.44,1.57158E-10
-1.43,1.57404E-10
-1.42,1.57768E-10
-1.41,1.58065E-10
-1.4,1.58434E-10
-1.39,1.58728E-10
-1.38,1.59067E-10
-1.37,1.59381E-10
-1.36,1.59733E-10
-1.35,1.60056E-10
-1.34,1.60448E-10
-1.33,1.60742E-10
-1.32,1.61098E-10
-1.31,1.61427E-10
-1.3,1.61754E-10
-1.29,1.62152E-10
-1.28,1.62495E-10
-1.27,1.62908E-10
-1.26,1.63192E-10
-1.25,1.63665E-10
-1.24,1.63886E-10
-1.23,1.64398E-10
-1.22,1.64646E-10
-1.21,1.65154E-10
-1.2,1.6539E-10
-1.19,1.65931E-10
-1.18,1.66175E-10
-1.17,1.66711E-10
-1.16,1.66927E-10
-1.15,1.67387E-10
-1.14,1.67976E-10
-1.13,1.68183E-10
-1.12,1.68752E-10
-1.11,1.69003E-10
-1.1,1.69601E-10
-1.09,1.69872E-10
-1.08,1.70421E-10
-1.07,1.70718E-10
-1.06,1.71319E-10
-1.05,1.71615E-10
-1.04,1.72141E-10
-1.03,1.72473E-10
-1.02,1.72989E-10
-1.01,1.73368E-10
-1,1.73897E-10
-0.99,1.74278E-10
-0.98,1.74804E-10
-0.97,1.75214E-10
-0.96,1.75699E-10
-0.95,1.76179E-10
-0.94,1.766E-10
-0.93,1.77105E-10
-0.92,1.7756E-10
-0.91,1.78127E-10
-0.9,1.7851E-10
-0.89,1.79089E-10
-0.88,1.79511E-10
-0.87,1.80128E-10
-0.86,1.80464E-10
-0.85,1.81199E-10
-0.84,1.81533E-10
-0.83,1.82243E-10
-0.82,1.82589E-10
-0.81,1.83295E-10
-0.8,1.83609E-10
-0.79,1.84349E-10
-0.78,1.84714E-10
-0.77,1.85489E-10
-0.76,1.85793E-10
-0.75,1.86578E-10
-0.74,1.86935E-10
-0.73,1.87766E-10
-0.72,1.88051E-10
-0.71,1.88898E-10
-0.7,1.89214E-10
-0.69,1.90065E-10
-0.68,1.90403E-10
-0.67,1.91301E-10
-0.66,1.91621E-10
-0.65,1.92493E-10
-0.64,1.92871E-10
-0.63,1.93806E-10
-0.62,1.94149E-10
-0.61,1.94991E-10
-0.6,1.95454E-10
-0.59,1.96235E-10
-0.58,1.96708E-10
-0.57,1.97529E-10
-0.56,1.98007E-10
-0.55,1.9889E-10
-0.54,1.99292E-10
-0.53,2.00082E-10
-0.52,2.00595E-10
-0.51,2.01306E-10
-0.5,2.01873E-10
-0.49,2.02517E-10
-0.48,2.03059E-10
-0.47,2.0373E-10
-0.46,2.04226E-10
-0.45,2.04809E-10
-0.44,2.05338E-10
-0.43,2.05875E-10
-0.42,2.06513E-10
-0.41,2.06915E-10
-0.4,2.07561E-10
-0.39,2.07931E-10
-0.38,2.08564E-10
-0.37,2.08874E-10
-0.36,2.09593E-10
-0.35,2.09984E-10
-0.34,2.10806E-10
-0.33,2.11095E-10
-0.32,2.12037E-10
-0.31,2.12348E-10
-0.3,2.13265E-10
-0.29,2.13719E-10
-0.28,2.14695E-10
-0.27,2.15037E-10
-0.26,2.16128E-10
-0.25,2.16489E-10
-0.24,2.17602E-10
-0.23,2.18075E-10
-0.22,2.19228E-10
-0.21,2.1975E-10
-0.2,2.20922E-10
-0.19,2.21383E-10
-0.18,2.2259E-10
-0.17,2.23139E-10
-0.16,2.2436E-10
-0.15,2.24906E-10
-0.14,2.2629E-10
-0.13,2.26853E-10
-0.12,2.28212E-10
-0.11,2.28808E-10
-0.1,2.30237E-10
-0.09,2.30822E-10
-0.08,2.32323E-10
-0.07,2.32998E-10
-0.06,2.34501E-10
-0.05,2.35212E-10
-0.04,2.36773E-10
-0.03,2.37538E-10
-0.02,2.39062E-10
-0.01,2.39912E-10
0,2.41451E-10
0.01,2.42333E-10
0.02,2.43946E-10
0.03,2.44888E-10
0.04,2.46542E-10
0.05,2.47491E-10
0.06,2.49148E-10
0.07,2.50206E-10
0.08,2.51922E-10
0.09,2.53141E-10
0.1,2.54871E-10
0.11,2.56015E-10
0.12,2.57789E-10
0.13,2.59154E-10
0.14,2.60802E-10
0.15,2.62229E-10
0.16,2.64043E-10
0.17,2.65608E-10
0.18,2.67397E-10
0.19,2.69077E-10
0.2,2.70767E-10
0.21,2.72676E-10
0.22,2.74396E-10
0.23,2.76475E-10
0.24,2.78041E-10
0.25,2.80411E-10
0.26,2.82101E-10
0.27,2.84376E-10
0.28,2.85961E-10
0.29,2.8845E-10
0.3,2.90306E-10
0.31,2.92867E-10
0.32,2.94499E-10
0.33,2.97326E-10
0.34,2.99099E-10
0.35,3.01915E-10
0.36,3.03435E-10
0.37,3.06546E-10
0.38,3.08211E-10
0.39,3.11347E-10
0.4,3.12905E-10
0.41,3.16108E-10
0.42,3.17862E-10
0.43,3.21186E-10
0.44,3.22695E-10
0.45,3.2599E-10
0.46,3.27519E-10
0.47,3.30816E-10
0.48,3.32455E-10
0.49,3.35639E-10
0.5,3.3726E-10
0.51,3.40415E-10
0.52,3.41883E-10
0.53,3.45025E-10
0.54,3.46529E-10
0.55,3.49342E-10
0.56,3.51129E-10
0.57,3.53622E-10
0.58,3.55443E-10
0.59,3.57998E-10
0.6,3.59741E-10
0.61,3.62028E-10
0.62,3.63713E-10
0.63,3.65758E-10
0.64,3.67491E-10
0.65,3.69415E-10
0.66,3.7117E-10
0.67,3.72941E-10
0.68,3.74543E-10
0.69,3.76247E-10
0.7,3.77744E-10
0.71,3.79166E-10
0.72,3.80652E-10
0.73,3.81956E-10
0.74,3.83381E-10
0.75,3.84604E-10
0.76,3.86035E-10
0.77,3.87134E-10
0.78,3.8841E-10
0.79,3.89318E-10
0.8,3.90678E-10
0.81,3.91525E-10
0.82,3.92874E-10
0.83,3.93574E-10
0.84,3.94827E-10
0.85,3.95456E-10
0.86,3.9682E-10
0.87,3.97299E-10
0.88,3.98546E-10
0.89,3.99048E-10
0.9,4.00207E-10
0.91,4.00669E-10
0.92,4.01692E-10
0.93,4.02156E-10
0.94,4.03159E-10
0.95,4.03538E-10
0.96,4.04462E-10
0.97,4.0495E-10
0.98,4.05768E-10
0.99,4.06127E-10
1,4.06906E-10
1.01,4.07362E-10
1.02,4.08011E-10
1.03,4.08413E-10
1.04,4.09071E-10
1.05,4.09468E-10
1.06,4.10027E-10
1.07,4.10493E-10
1.08,4.10943E-10
1.09,4.11438E-10
1.1,4.11854E-10
1.11,4.12278E-10
1.12,4.12763E-10
1.13,4.13253E-10
1.14,4.13605E-10
1.15,4.14078E-10
1.16,4.14314E-10
1.17,4.14819E-10
1.18,4.15168E-10
1.19,4.15613E-10
1.2,4.15857E-10
1.21,4.16318E-10
1.22,4.16507E-10
1.23,4.17096E-10
1.24,4.17219E-10
1.25,4.17748E-10
1.26,4.17871E-10
1.27,4.18378E-10
1.28,4.18479E-10
1.29,4.1892E-10
1.3,4.19077E-10
1.31,4.19456E-10
1.32,4.19591E-10
1.33,4.20037E-10
1.34,4.2014E-10
1.35,4.20507E-10
1.36,4.20665E-10
1.37,4.20966E-10
1.38,4.21162E-10
1.39,4.21431E-10
1.4,4.21532E-10
1.41,4.21891E-10
1.42,4.21934E-10
1.43,4.22294E-10
1.44,4.22446E-10
1.45,4.22689E-10
1.46,4.22803E-10
1.47,4.23001E-10
1.48,4.23235E-10
1.49,4.2345E-10
1.5,4.23588E-10
1.51,4.23756E-10
1.52,4.23978E-10
1.53,4.24029E-10
1.54,4.24305E-10
1.55,4.24393E-10
1.56,4.24618E-10
1.57,4.24727E-10
1.58,4.24871E-10
1.59,4.24921E-10
1.6,4.25237E-10
1.61,4.2527E-10
1.62,4.25546E-10
1.63,4.25612E-10
1.64,4.25788E-10
1.65,4.25835E-10
1.66,4.26081E-10
1.67,4.26091E-10
1.68,4.26308E-10
1.69,4.26329E-10
1.7,4.26604E-10
1.71,4.26553E-10
1.72,4.26803E-10
1.73,4.26757E-10
1.74,4.27008E-10
1.75,4.27074E-10
1.76,4.27217E-10
1.77,4.27256E-10
1.78,4.27398E-10
1.79,4.27501E-10
1.8,4.2765E-10
1.81,4.27654E-10
1.82,4.27878E-10
1.83,4.27906E-10
1.84,4.28026E-10
1.85,4.2806E-10
1.86,4.2818E-10
1.87,4.28255E-10
1.88,4.28311E-10
1.89,4.28492E-10
1.9,4.28507E-10
1.91,4.2868E-10
1.92,4.28735E-10
1.93,4.28864E-10
1.94,4.28894E-10
1.95,4.29002E-10
1.96,4.28969E-10
1.97,4.29148E-10
1.98,4.29191E-10
1.99,4.29271E-10
2,4.29311E-10
2,4.29449E-10
1.99,4.29298E-10
1.98,4.29392E-10
1.97,4.29356E-10
1.96,4.29529E-10
1.95,4.29381E-10
1.94,4.29536E-10
1.93,4.29332E-10
1.92,4.29523E-10
1.91,4.29412E-10
1.9,4.29575E-10
1.89,4.29428E-10
1.88,4.29549E-10
1.87,4.29472E-10
1.86,4.29497E-10
1.85,4.29469E-10
1.84,4.29478E-10
1.83,4.29461E-10
1.82,4.29479E-10
1.81,4.29452E-10
1.8,4.294E-10
1.79,4.29514E-10
1.78,4.29344E-10
1.77,4.29498E-10
1.76,4.29374E-10
1.75,4.29467E-10
1.74,4.29337E-10
1.73,4.2946E-10
1.72,4.29348E-10
1.71,4.29453E-10
1.7,4.2931E-10
1.69,4.29429E-10
1.68,4.29275E-10
1.67,4.29396E-10
1.66,4.29256E-10
1.65,4.29335E-10
1.64,4.29286E-10
1.63,4.29319E-10
1.62,4.29225E-10
1.61,4.29382E-10
1.6,4.29199E-10
1.59,4.29199E-10
1.58,4.29203E-10
1.57,4.29158E-10
1.56,4.29186E-10
1.55,4.29132E-10
1.54,4.29152E-10
1.53,4.29127E-10
1.52,4.29139E-10
1.51,4.29046E-10
1.5,4.29094E-10
1.49,4.29015E-10
1.48,4.29088E-10
1.47,4.28973E-10
1.46,4.29057E-10
1.45,4.28941E-10
1.44,4.29033E-10
1.43,4.28875E-10
1.42,4.28944E-10
1.41,4.28825E-10
1.4,4.28883E-10
1.39,4.28767E-10
1.38,4.288E-10
1.37,4.28767E-10
1.36,4.28851E-10
1.35,4.28716E-10
1.34,4.28796E-10
1.33,4.28627E-10
1.32,4.2875E-10
1.31,4.28575E-10
1.3,4.28657E-10
1.29,4.28462E-10
1.28,4.28572E-10
1.27,4.28481E-10
1.26,4.28572E-10
1.25,4.28395E-10
1.24,4.28489E-10
1.23,4.28358E-10
1.22,4.28442E-10
1.21,4.28254E-10
1.2,4.2838E-10
1.19,4.28266E-10
1.18,4.28275E-10
1.17,4.28171E-10
1.16,4.28239E-10
1.15,4.28116E-10
1.14,4.28254E-10
1.13,4.28044E-10
1.12,4.28063E-10
1.11,4.28004E-10
1.1,4.27969E-10
1.09,4.27948E-10
1.08,4.27962E-10
1.07,4.27855E-10
1.06,4.27887E-10
1.05,4.27809E-10
1.04,4.27744E-10
1.03,4.27684E-10
1.02,4.27652E-10
1.01,4.27586E-10
1,4.2759E-10
0.99,4.27635E-10
0.98,4.27508E-10
0.97,4.27522E-10
0.96,4.27375E-10
0.95,4.27514E-10
0.94,4.27339E-10
0.93,4.27363E-10
0.92,4.27262E-10
0.91,4.27321E-10
0.9,4.2714E-10
0.89,4.27168E-10
0.88,4.27047E-10
0.87,4.27132E-10
0.86,4.26986E-10
0.85,4.2698E-10
0.84,4.26859E-10
0.83,4.26918E-10
0.82,4.26716E-10
0.81,4.26794E-10
0.8,4.26636E-10
0.79,4.26742E-10
0.78,4.26554E-10
0.77,4.26622E-10
0.76,4.2645E-10
0.75,4.26538E-10
0.74,4.26285E-10
0.73,4.26419E-10
0.72,4.2624E-10
0.71,4.26292E-10
0.7,4.26065E-10
0.69,4.262E-10
0.68,4.25912E-10
0.67,4.2599E-10
0.66,4.25804E-10
0.65,4.25896E-10
0.64,4.25774E-10
0.63,4.25758E-10
0.62,4.25593E-10
0.61,4.2563E-10
0.6,4.25444E-10
0.59,4.25436E-10
0.58,4.25357E-10
0.57,4.25313E-10
0.56,4.25139E-10
0.55,4.25177E-10
0.54,4.25144E-10
0.53,4.24951E-10
0.52,4.24908E-10
0.51,4.2484E-10
0.5,4.24759E-10
0.49,4.24623E-10
0.48,4.24658E-10
0.47,4.24474E-10
0.46,4.245E-10
0.45,4.24357E-10
0.44,4.24366E-10
0.43,4.24117E-10
0.42,4.24214E-10
0.41,4.23959E-10
0.4,4.23979E-10
0.39,4.23732E-10
0.38,4.23821E-10
0.37,4.23554E-10
0.36,4.23636E-10
0.35,4.23405E-10
0.34,4.2341E-10
0.33,4.23206E-10
0.32,4.23206E-10
0.31,4.22922E-10
0.3,4.22982E-10
0.29,4.22757E-10
0.28,4.22759E-10
0.27,4.22478E-10
0.26,4.22312E-10
0.25,4.22019E-10
0.24,4.21928E-10
0.23,4.21599E-10
0.22,4.21492E-10
0.21,4.2107E-10
0.2,4.20996E-10
0.19,4.20683E-10
0.18,4.20602E-10
0.17,4.2013E-10
0.16,4.20052E-10
0.15,4.19673E-10
0.14,4.19448E-10
0.13,4.19129E-10
0.12,4.18965E-10
0.11,4.18545E-10
0.1,4.18362E-10
0.09,4.17951E-10
0.08,4.17732E-10
0.07,4.17434E-10
0.06,4.17118E-10
0.05,4.16772E-10
0.04,4.16424E-10
0.03,4.16019E-10
0.02,4.15738E-10
0.01,4.15291E-10
0,4.14918E-10
-0.01,4.14576E-10
-0.02,4.1405E-10
-0.03,4.13743E-10
-0.04,4.13213E-10
-0.05,4.12759E-10
-0.06,4.12171E-10
-0.07,4.11747E-10
-0.08,4.11043E-10
-0.09,4.106E-10
-0.1,4.09714E-10
-0.11,4.09191E-10
-0.12,4.08167E-10
-0.13,4.07616E-10
-0.14,4.06575E-10
-0.15,4.05822E-10
-0.16,4.04873E-10
-0.17,4.04187E-10
-0.18,4.02946E-10
-0.19,4.02201E-10
-0.2,4.00872E-10
-0.21,4.00072E-10
-0.22,3.98559E-10
-0.23,3.97599E-10
-0.24,3.96003E-10
-0.25,3.9503E-10
-0.26,3.93257E-10
-0.27,3.92241E-10
-0.28,3.90233E-10
-0.29,3.89027E-10
-0.3,3.86939E-10
-0.31,3.85516E-10
-0.32,3.83183E-10
-0.33,3.8169E-10
-0.34,3.79198E-10
-0.35,3.77424E-10
-0.36,3.74497E-10
-0.37,3.72672E-10
-0.38,3.69891E-10
-0.39,3.6742E-10
-0.4,3.64395E-10
-0.41,3.61828E-10
-0.42,3.58707E-10
-0.43,3.55718E-10
-0.44,3.52172E-10
-0.45,3.49169E-10
-0.46,3.46004E-10
-0.47,3.42538E-10
-0.48,3.3914E-10
-0.49,3.35693E-10
-0.5,3.32413E-10
-0.51,3.28598E-10
-0.52,3.25027E-10
-0.53,3.21383E-10
-0.54,3.18352E-10
-0.55,3.14289E-10
-0.56,3.1136E-10
-0.57,3.07448E-10
-0.58,3.04818E-10
-0.59,3.00873E-10
-0.6,2.98185E-10
-0.61,2.94504E-10
-0.62,2.92262E-10
-0.63,2.8861E-10
-0.64,2.86562E-10
-0.65,2.83126E-10
-0.66,2.81318E-10
-0.67,2.78126E-10
-0.68,2.7586E-10
-0.69,2.72508E-10
-0.7,2.70624E-10
-0.71,2.67277E-10
-0.72,2.6546E-10
-0.73,2.62402E-10
-0.74,2.60517E-10
-0.75,2.57679E-10
-0.76,2.55694E-10
-0.77,2.52865E-10
-0.78,2.51175E-10
-0.79,2.48408E-10
-0.8,2.46804E-10
-0.81,2.4438E-10
-0.82,2.42659E-10
-0.83,2.4061E-10
-0.84,2.38793E-10
-0.85,2.36762E-10
-0.86,2.35044E-10
-0.87,2.33059E-10
-0.88,2.31585E-10
-0.89,2.29918E-10
-0.9,2.28299E-10
-0.91,2.26782E-10
-0.92,2.25147E-10
-0.93,2.23706E-10
-0.94,2.2222E-10
-0.95,2.20815E-10
-0.96,2.19403E-10
-0.97,2.18219E-10
-0.98,2.16776E-10
-0.99,2.15787E-10
-1,2.14178E-10
-1.01,2.13217E-10
-1.02,2.11748E-10
-1.03,2.10808E-10
-1.04,2.0938E-10
-1.05,2.08519E-10
-1.06,2.07169E-10
-1.07,2.06226E-10
-1.08,2.04814E-10
-1.09,2.0406E-10
-1.1,2.02735E-10
-1.11,2.01984E-10
-1.12,2.00743E-10
-1.13,2.00076E-10
-1.14,1.98767E-10
-1.15,1.98091E-10
-1.16,1.9691E-10
-1.17,1.96264E-10
-1.18,1.95128E-10
-1.19,1.94567E-10
-1.2,1.93423E-10
-1.21,1.92901E-10
-1.22,1.91781E-10
-1.23,1.91251E-10
-1.24,1.90222E-10
-1.25,1.89674E-10
-1.26,1.88698E-10
-1.27,1.88066E-10
-1.28,1.87132E-10
-1.29,1.86494E-10
-1.3,1.85627E-10
-1.31,1.85067E-10
-1.32,1.84247E-10
-1.33,1.83619E-10
-1.34,1.82943E-10
-1.35,1.82291E-10
-1.36,1.81567E-10
-1.37,1.80975E-10
-1.38,1.80246E-10
-1.39,1.79652E-10
-1.4,1.79104E-10
-1.41,1.78414E-10
-1.42,1.77914E-10
-1.43,1.77215E-10
-1.44,1.76671E-10
-1.45,1.75991E-10
-1.46,1.75516E-10
-1.47,1.7488E-10
-1.48,1.7447E-10
-1.49,1.73786E-10
-1.5,1.73366E-10
-1.51,1.72583E-10
-1.52,1.72212E-10
-1.53,1.71504E-10
-1.54,1.71154E-10
-1.55,1.70526E-10
-1.56,1.70149E-10
-1.57,1.69526E-10
-1.58,1.69166E-10
-1.59,1.68434E-10
-1.6,1.68203E-10
-1.61,1.67522E-10
-1.62,1.67186E-10
-1.63,1.66551E-10
-1.64,1.66302E-10
-1.65,1.65677E-10
-1.66,1.6535E-10
-1.67,1.64725E-10
-1.68,1.64417E-10
-1.69,1.63852E-10
-1.7,1.63553E-10
-1.71,1.62913E-10
-1.72,1.62661E-10
-1.73,1.62126E-10
-1.74,1.61783E-10
-1.75,1.61201E-10
-1.76,1.60897E-10
-1.77,1.60435E-10
-1.78,1.60134E-10
-1.79,1.5964E-10
-1.8,1.59183E-10
-1.81,1.58712E-10
-1.82,1.5841E-10
-1.83,1.57924E-10
-1.84,1.57671E-10
-1.85,1.57144E-10
-1.86,1.56917E-10
-1.87,1.56382E-10
-1.88,1.56153E-10
-1.89,1.55642E-10
-1.9,1.55442E-10
-1.91,1.54932E-10
-1.92,1.54733E-10
-1.93,1.54203E-10
-1.94,1.53997E-10
-1.95,1.53474E-10
-1.96,1.5326E-10
-1.97,1.52802E-10
-1.98,1.526E-10
-1.99,1.52132E-10
-2,1.51899E-10
-2,1.49751E-10
-1.99,1.50005E-10
-1.98,1.50399E-10
-1.97,1.50514E-10
-1.96,1.50863E-10
-1.95,1.51195E-10
-1.94,1.51364E-10
-1.93,1.5182E-10
-1.92,1.52019E-10
-1.91,1.52234E-10
-1.9,1.52544E-10
-1.89,1.52671E-10
-1.88,1.53059E-10
-1.87,1.53526E-10
-1.86,1.53735E-10
-1.85,1.53938E-10
-1.84,1.54173E-10
-1.83,1.54655E-10
-1.82,1.54796E-10
-1.81,1.55318E-10
-1.8,1.55518E-10
-1.79,1.5576E-10
-1.78,1.56276E-10
-1.77,1.5636E-10
-1.76,1.57037E-10
-1.75,1.57142E-10
-1.74,1.57265E-10
-1.73,1.57676E-10
-1.72,1.5794E-10
-1.71,1.58224E-10
-1.7,1.58773E-10
-1.69,1.58837E-10
-1.68,1.59344E-10
-1.67,1.59572E-10
-1.66,1.60213E-10
-1.65,1.60422E-10
-1.64,1.60701E-10
-1.63,1.61275E-10
-1.62,1.61324E-10
-1.61,1.61939E-10
-1.6,1.62294E-10
-1.59,1.62412E-10
-1.58,1.62993E-10
-1.57,1.63146E-10
-1.56,1.63604E-10
-1.55,1.63866E-10
-1.54,1.6428E-10
-1.53,1.64838E-10
-1.52,1.64795E-10
-1.51,1.6547E-10
-1.5,1.65714E-10
-1.49,1.66163E-10
-1.48,1.66694E-10
-1.47,1.66952E-10
-1.46,1.67575E-10
-1.45,1.67906E-10
-1.44,1.68247E-10
-1.43,1.68505E-10
-1.42,1.69226E-10
-1.41,1.69568E-10
-1.4,1.69928E-10
-1.39,1.70384E-10
-1.38,1.70744E-10
-1.37,1.71197E-10
-1.36,1.71466E-10
-1.35,1.7204E-10
-1.34,1.72679E-10
-1.33,1.72658E-10
-1.32,1.73517E-10
-1.31,1.73493E-10
-1.3,1.74104E-10
-1.29,1.7479E-10
-1.28,1.75012E-10
-1.27,1.75856E-10
-1.26,1.75977E-10
-1.25,1.76579E-10
-1.24,1.77142E-10
-1.23,1.77417E-10
-1.22,1.78198E-10
-1.21,1.78547E-10
-1.2,1.79147E-10
-1.19,1.79406E-10
-1.18,1.7994E-10
-1.17,1.80558E-10
-1.16,1.80959E-10
-1.15,1.81597E-10
-1.14,1.81885E-10
-1.13,1.82611E-10
-1.12,1.82961E-10
-1.11,1.8358E-10
-1.1,1.84238E-10
-1.09,1.84413E-10
-1.08,1.85283E-10
-1.07,1.85452E-10
-1.06,1.86232E-10
-1.05,1.86762E-10
-1.04,1.87072E-10
-1.03,1.88043E-10
-1.02,1.88018E-10
-1.01,1.88735E-10
-1,1.89586E-10
-0.99,1.89572E-10
-0.98,1.90212E-10
-0.97,1.90629E-10
-0.96,1.90591E-10
-0.95,1.91366E-10
-0.94,1.91253E-10
-0.93,1.92227E-10
-0.92,1.92187E-10
-0.91,1.92218E-10
-0.9,1.92778E-10
-0.89,1.92706E-10
-0.88,1.93057E-10
-0.87,1.93088E-10
-0.86,1.93278E-10
-0.85,1.93432E-10
-0.84,1.93273E-10
-0.83,1.93801E-10
-0.82,1.93664E-10
-0.81,1.93965E-10
-0.8,1.93906E-10
-0.79,1.93909E-10
-0.78,1.94106E-10
