Setup title,"C-V 3v_1000s_dark"
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
VBias,C
-2,1.54605E-10
-1.99,1.53539E-10
-1.98,1.52787E-10
-1.97,1.52246E-10
-1.96,1.51589E-10
-1.95,1.51293E-10
-1.94,1.50964E-10
-1.93,1.50831E-10
-1.92,1.50603E-10
-1.91,1.50525E-10
-1.9,1.50379E-10
-1.89,1.50406E-10
-1.88,1.50227E-10
-1.87,1.50304E-10
-1.86,1.50234E-10
-1.85,1.50382E-10
-1.84,1.50327E-10
-1.83,1.50469E-10
-1.82,1.5038E-10
-1.81,1.50592E-10
-1.8,1.50592E-10
-1.79,1.50835E-10
-1.78,1.5083E-10
-1.77,1.51118E-10
-1.76,1.51137E-10
-1.75,1.51412E-10
-1.74,1.51447E-10
-1.73,1.51749E-10
-1.72,1.51783E-10
-1.71,1.52092E-10
-1.7,1.52187E-10
-1.69,1.52541E-10
-1.68,1.52671E-10
-1.67,1.53E-10
-1.66,1.53129E-10
-1.65,1.53486E-10
-1.64,1.53664E-10
-1.63,1.54051E-10
-1.62,1.54206E-10
-1.61,1.54594E-10
-1.6,1.54768E-10
-1.59,1.55116E-10
-1.58,1.5533E-10
-1.57,1.55651E-10
-1.56,1.55908E-10
-1.55,1.56202E-10
-1.54,1.56509E-10
-1.53,1.56799E-10
-1.52,1.57061E-10
-1.51,1.57342E-10
-1.5,1.57666E-10
-1.49,1.57938E-10
-1.48,1.58293E-10
-1.47,1.58543E-10
-1.46,1.58883E-10
-1.45,1.59137E-10
-1.44,1.59537E-10
-1.43,1.5973E-10
-1.42,1.60141E-10
-1.41,1.6033E-10
-1.4,1.60775E-10
-1.39,1.60956E-10
-1.38,1.61411E-10
-1.37,1.616E-10
-1.36,1.62058E-10
-1.35,1.62234E-10
-1.34,1.62704E-10
-1.33,1.62848E-10
-1.32,1.63366E-10
-1.31,1.63536E-10
-1.3,1.64023E-10
-1.29,1.64208E-10
-1.28,1.64734E-10
-1.27,1.64913E-10
-1.26,1.65419E-10
-1.25,1.65599E-10
-1.24,1.66138E-10
-1.23,1.66298E-10
-1.22,1.66801E-10
-1.21,1.67028E-10
-1.2,1.67458E-10
-1.19,1.67801E-10
-1.18,1.68199E-10
-1.17,1.68603E-10
-1.16,1.68929E-10
-1.15,1.69301E-10
-1.14,1.69693E-10
-1.13,1.70024E-10
-1.12,1.70445E-10
-1.11,1.708E-10
-1.1,1.71246E-10
-1.09,1.71575E-10
-1.08,1.71987E-10
-1.07,1.72297E-10
-1.06,1.72861E-10
-1.05,1.73131E-10
-1.04,1.7368E-10
-1.03,1.73963E-10
-1.02,1.7447E-10
-1.01,1.74759E-10
-1,1.75312E-10
-0.99,1.75586E-10
-0.98,1.76163E-10
-0.97,1.76398E-10
-0.96,1.7702E-10
-0.95,1.77276E-10
-0.94,1.77912E-10
-0.93,1.78144E-10
-0.92,1.78808E-10
-0.91,1.7902E-10
-0.9,1.79707E-10
-0.89,1.7993E-10
-0.88,1.80585E-10
-0.87,1.80858E-10
-0.86,1.81547E-10
-0.85,1.81841E-10
-0.84,1.82526E-10
-0.83,1.82767E-10
-0.82,1.83501E-10
-0.81,1.83731E-10
-0.8,1.84449E-10
-0.79,1.84789E-10
-0.78,1.85503E-10
-0.77,1.85727E-10
-0.76,1.86465E-10
-0.75,1.86784E-10
-0.74,1.87526E-10
-0.73,1.87825E-10
-0.72,1.8856E-10
-0.71,1.8893E-10
-0.7,1.89694E-10
-0.69,1.89983E-10
-0.68,1.90782E-10
-0.67,1.91047E-10
-0.66,1.91915E-10
-0.65,1.92263E-10
-0.64,1.93052E-10
-0.63,1.93391E-10
-0.62,1.94198E-10
-0.61,1.94615E-10
-0.6,1.95354E-10
-0.59,1.95887E-10
-0.58,1.96574E-10
-0.57,1.97009E-10
-0.56,1.97786E-10
-0.55,1.98333E-10
-0.54,1.99012E-10
-0.53,1.99642E-10
-0.52,2.00205E-10
-0.51,2.00972E-10
-0.5,2.01633E-10
-0.49,2.02284E-10
-0.48,2.02855E-10
-0.47,2.03622E-10
-0.46,2.04223E-10
-0.45,2.05052E-10
-0.44,2.05606E-10
-0.43,2.06486E-10
-0.42,2.07078E-10
-0.41,2.0796E-10
-0.4,2.08356E-10
-0.39,2.09332E-10
-0.38,2.09819E-10
-0.37,2.10787E-10
-0.36,2.1125E-10
-0.35,2.12134E-10
-0.34,2.12619E-10
-0.33,2.13557E-10
-0.32,2.13948E-10
-0.31,2.14866E-10
-0.3,2.15287E-10
-0.29,2.16259E-10
-0.28,2.16564E-10
-0.27,2.17589E-10
-0.26,2.17905E-10
-0.25,2.18919E-10
-0.24,2.19199E-10
-0.23,2.20266E-10
-0.22,2.20541E-10
-0.21,2.2174E-10
-0.2,2.22031E-10
-0.19,2.23179E-10
-0.18,2.23577E-10
-0.17,2.24784E-10
-0.16,2.25235E-10
-0.15,2.26602E-10
-0.14,2.27029E-10
-0.13,2.28417E-10
-0.12,2.29028E-10
-0.11,2.30441E-10
-0.1,2.31078E-10
-0.09,2.32507E-10
-0.08,2.33187E-10
-0.07,2.34652E-10
-0.06,2.35421E-10
-0.05,2.36848E-10
-0.04,2.37743E-10
-0.03,2.3917E-10
-0.02,2.40127E-10
-0.01,2.41562E-10
0,2.4268E-10
0.01,2.44103E-10
0.02,2.45221E-10
0.03,2.46519E-10
0.04,2.47782E-10
0.05,2.49338E-10
0.06,2.5065E-10
0.07,2.52006E-10
0.08,2.53646E-10
0.09,2.54937E-10
0.1,2.56596E-10
0.11,2.57786E-10
0.12,2.59712E-10
0.13,2.60975E-10
0.14,2.63001E-10
0.15,2.64156E-10
0.16,2.66369E-10
0.17,2.67603E-10
0.18,2.69897E-10
0.19,2.71014E-10
0.2,2.73502E-10
0.21,2.74798E-10
0.22,2.77455E-10
0.23,2.78816E-10
0.24,2.81392E-10
0.25,2.82736E-10
0.26,2.8547E-10
0.27,2.86804E-10
0.28,2.89755E-10
0.29,2.91182E-10
0.3,2.94216E-10
0.31,2.95741E-10
0.32,2.98751E-10
0.33,3.00238E-10
0.34,3.0347E-10
0.35,3.05015E-10
0.36,3.08354E-10
0.37,3.09889E-10
0.38,3.13236E-10
0.39,3.14961E-10
0.4,3.1828E-10
0.41,3.19969E-10
0.42,3.23232E-10
0.43,3.25276E-10
0.44,3.28623E-10
0.45,3.30374E-10
0.46,3.3349E-10
0.47,3.35517E-10
0.48,3.38483E-10
0.49,3.40617E-10
0.5,3.43321E-10
0.51,3.45521E-10
0.52,3.48198E-10
0.53,3.50363E-10
0.54,3.52728E-10
0.55,3.55094E-10
0.56,3.57421E-10
0.57,3.59618E-10
0.58,3.61649E-10
0.59,3.6402E-10
0.6,3.65918E-10
0.61,3.68135E-10
0.62,3.69828E-10
0.63,3.72021E-10
0.64,3.73531E-10
0.65,3.7582E-10
0.66,3.77131E-10
0.67,3.79289E-10
0.68,3.80551E-10
0.69,3.82551E-10
0.7,3.83617E-10
0.71,3.85492E-10
0.72,3.86615E-10
0.73,3.88351E-10
0.74,3.89325E-10
0.75,3.91019E-10
0.76,3.9186E-10
0.77,3.93428E-10
0.78,3.94252E-10
0.79,3.95792E-10
0.8,3.96568E-10
0.81,3.97878E-10
0.82,3.98605E-10
0.83,3.99925E-10
0.84,4.00596E-10
0.85,4.01832E-10
0.86,4.02421E-10
0.87,4.03635E-10
0.88,4.04153E-10
0.89,4.05224E-10
0.9,4.05793E-10
0.91,4.06739E-10
0.92,4.07267E-10
0.93,4.08142E-10
0.94,4.08646E-10
0.95,4.09594E-10
0.96,4.09995E-10
0.97,4.10748E-10
0.98,4.11263E-10
0.99,4.11895E-10
1,4.12402E-10
1.01,4.12937E-10
1.02,4.13491E-10
1.03,4.14079E-10
1.04,4.14512E-10
1.05,4.1498E-10
1.06,4.15537E-10
1.07,4.15938E-10
1.08,4.16442E-10
1.09,4.16782E-10
1.1,4.17293E-10
1.11,4.17643E-10
1.12,4.18125E-10
1.13,4.1838E-10
1.14,4.18889E-10
1.15,4.1914E-10
1.16,4.19612E-10
1.17,4.19781E-10
1.18,4.20245E-10
1.19,4.20506E-10
1.2,4.20951E-10
1.21,4.21104E-10
1.22,4.21518E-10
1.23,4.21749E-10
1.24,4.22152E-10
1.25,4.22228E-10
1.26,4.22675E-10
1.27,4.22797E-10
1.28,4.23211E-10
1.29,4.23292E-10
1.3,4.23743E-10
1.31,4.2379E-10
1.32,4.24164E-10
1.33,4.24302E-10
1.34,4.24665E-10
1.35,4.24738E-10
1.36,4.25054E-10
1.37,4.25112E-10
1.38,4.25509E-10
1.39,4.25527E-10
1.4,4.25909E-10
1.41,4.25933E-10
1.42,4.26211E-10
1.43,4.26315E-10
1.44,4.26552E-10
1.45,4.26721E-10
1.46,4.26925E-10
1.47,4.26977E-10
1.48,4.27166E-10
1.49,4.27345E-10
1.5,4.27606E-10
1.51,4.27715E-10
1.52,4.27851E-10
1.53,4.27984E-10
1.54,4.28086E-10
1.55,4.28275E-10
1.56,4.28336E-10
1.57,4.28517E-10
1.58,4.28668E-10
1.59,4.28795E-10
1.6,4.28878E-10
1.61,4.29024E-10
1.62,4.29164E-10
1.63,4.29292E-10
1.64,4.29352E-10
1.65,4.29565E-10
1.66,4.29553E-10
1.67,4.29695E-10
1.68,4.29787E-10
1.69,4.29906E-10
1.7,4.29975E-10
1.71,4.30212E-10
1.72,4.30112E-10
1.73,4.30413E-10
1.74,4.30358E-10
1.75,4.30606E-10
1.76,4.30554E-10
1.77,4.30746E-10
1.78,4.30709E-10
1.79,4.30951E-10
1.8,4.30884E-10
1.81,4.31133E-10
1.82,4.31078E-10
1.83,4.313E-10
1.84,4.31194E-10
1.85,4.31404E-10
1.86,4.31347E-10
1.87,4.31576E-10
1.88,4.31501E-10
1.89,4.31745E-10
1.9,4.31658E-10
1.91,4.31821E-10
1.92,4.3178E-10
1.93,4.31945E-10
1.94,4.3193E-10
1.95,4.32124E-10
1.96,4.3211E-10
1.97,4.32205E-10
1.98,4.32204E-10
1.99,4.32362E-10
2,4.3235E-10
2,4.32423E-10
1.99,4.32404E-10
1.98,4.3242E-10
1.97,4.32502E-10
1.96,4.32481E-10
1.95,4.32556E-10
1.94,4.32423E-10
1.93,4.32586E-10
1.92,4.32473E-10
1.91,4.32562E-10
1.9,4.32486E-10
1.89,4.32581E-10
1.88,4.32493E-10
1.87,4.32612E-10
1.86,4.32539E-10
1.85,4.32628E-10
1.84,4.32538E-10
1.83,4.32604E-10
1.82,4.32505E-10
1.81,4.32632E-10
1.8,4.32509E-10
1.79,4.32604E-10
1.78,4.32511E-10
1.77,4.32613E-10
1.76,4.32528E-10
1.75,4.32592E-10
1.74,4.32474E-10
1.73,4.32562E-10
1.72,4.32536E-10
1.71,4.32557E-10
1.7,4.325E-10
1.69,4.32557E-10
1.68,4.3244E-10
1.67,4.32532E-10
1.66,4.32457E-10
1.65,4.32501E-10
1.64,4.32414E-10
1.63,4.32463E-10
1.62,4.32405E-10
1.61,4.32398E-10
1.6,4.32449E-10
1.59,4.32404E-10
1.58,4.32404E-10
1.57,4.32399E-10
1.56,4.32352E-10
1.55,4.32304E-10
1.54,4.32375E-10
1.53,4.32238E-10
1.52,4.32314E-10
1.51,4.32279E-10
1.5,4.32276E-10
1.49,4.3222E-10
1.48,4.32277E-10
1.47,4.32166E-10
1.46,4.32274E-10
1.45,4.32095E-10
1.44,4.32276E-10
1.43,4.32088E-10
1.42,4.32159E-10
1.41,4.32067E-10
1.4,4.32177E-10
1.39,4.32077E-10
1.38,4.32156E-10
1.37,4.32026E-10
1.36,4.32141E-10
1.35,4.31908E-10
1.34,4.32052E-10
1.33,4.31957E-10
1.32,4.3203E-10
1.31,4.31881E-10
1.3,4.31928E-10
1.29,4.31821E-10
1.28,4.31903E-10
1.27,4.31754E-10
1.26,4.3189E-10
1.25,4.31785E-10
1.24,4.31826E-10
1.23,4.3173E-10
1.22,4.31791E-10
1.21,4.317E-10
1.2,4.31772E-10
1.19,4.31647E-10
1.18,4.31743E-10
1.17,4.31657E-10
1.16,4.3166E-10
1.15,4.31562E-10
1.14,4.31579E-10
1.13,4.31537E-10
1.12,4.31544E-10
1.11,4.31451E-10
1.1,4.3153E-10
1.09,4.31435E-10
1.08,4.31435E-10
1.07,4.31441E-10
1.06,4.31328E-10
1.05,4.31361E-10
1.04,4.31278E-10
1.03,4.3126E-10
1.02,4.3121E-10
1.01,4.31283E-10
1,4.31122E-10
0.99,4.31253E-10
0.98,4.31104E-10
0.97,4.31212E-10
0.96,4.3099E-10
0.95,4.31088E-10
0.94,4.3097E-10
0.93,4.311E-10
0.92,4.30938E-10
0.91,4.31008E-10
0.9,4.30842E-10
0.89,4.30907E-10
0.88,4.30792E-10
0.87,4.30878E-10
0.86,4.30719E-10
0.85,4.3079E-10
0.84,4.30655E-10
0.83,4.30697E-10
0.82,4.30596E-10
0.81,4.30653E-10
0.8,4.3056E-10
0.79,4.3061E-10
0.78,4.30422E-10
0.77,4.30479E-10
0.76,4.30343E-10
0.75,4.30393E-10
0.74,4.30276E-10
0.73,4.30341E-10
0.72,4.30251E-10
0.71,4.30288E-10
0.7,4.30099E-10
0.69,4.30069E-10
0.68,4.30069E-10
0.67,4.30057E-10
0.66,4.30025E-10
0.65,4.29888E-10
0.64,4.29972E-10
0.63,4.29847E-10
0.62,4.29803E-10
0.61,4.29707E-10
0.6,4.29701E-10
0.59,4.29632E-10
0.58,4.29648E-10
0.57,4.2956E-10
0.56,4.29547E-10
0.55,4.29426E-10
0.54,4.29461E-10
0.53,4.29279E-10
0.52,4.29277E-10
0.51,4.29183E-10
0.5,4.2917E-10
0.49,4.28965E-10
0.48,4.29039E-10
0.47,4.28919E-10
0.46,4.28956E-10
0.45,4.2874E-10
0.44,4.2877E-10
0.43,4.28624E-10
0.42,4.28597E-10
0.41,4.2843E-10
0.4,4.28463E-10
0.39,4.28269E-10
0.38,4.28349E-10
0.37,4.2809E-10
0.36,4.28196E-10
0.35,4.27985E-10
0.34,4.27979E-10
0.33,4.27761E-10
0.32,4.27754E-10
0.31,4.27592E-10
0.3,4.27615E-10
0.29,4.27456E-10
0.28,4.2738E-10
0.27,4.27217E-10
0.26,4.272E-10
0.25,4.26987E-10
0.24,4.26975E-10
0.23,4.26798E-10
0.22,4.26783E-10
0.21,4.26601E-10
0.2,4.2659E-10
0.19,4.26413E-10
0.18,4.26285E-10
0.17,4.26128E-10
0.16,4.26036E-10
0.15,4.25934E-10
0.14,4.25837E-10
0.13,4.25717E-10
0.12,4.25481E-10
0.11,4.25405E-10
0.1,4.25211E-10
0.09,4.25181E-10
0.08,4.24922E-10
0.07,4.24834E-10
0.06,4.24647E-10
0.05,4.24605E-10
0.04,4.24333E-10
0.03,4.24286E-10
0.02,4.24E-10
0.01,4.2393E-10
0,4.23657E-10
-0.01,4.23602E-10
-0.02,4.2332E-10
-0.03,4.2325E-10
-0.04,4.22938E-10
-0.05,4.22917E-10
-0.06,4.22581E-10
-0.07,4.22514E-10
-0.08,4.22138E-10
-0.09,4.22063E-10
-0.1,4.21735E-10
-0.11,4.21618E-10
-0.12,4.21312E-10
-0.13,4.2117E-10
-0.14,4.20834E-10
-0.15,4.20671E-10
-0.16,4.20287E-10
-0.17,4.20209E-10
-0.18,4.19761E-10
-0.19,4.19644E-10
-0.2,4.19262E-10
-0.21,4.19042E-10
-0.22,4.18677E-10
-0.23,4.18432E-10
-0.24,4.18043E-10
-0.25,4.17819E-10
-0.26,4.17356E-10
-0.27,4.17147E-10
-0.28,4.16653E-10
-0.29,4.16391E-10
-0.3,4.15919E-10
-0.31,4.15588E-10
-0.32,4.1519E-10
-0.33,4.14764E-10
-0.34,4.14333E-10
-0.35,4.13914E-10
-0.36,4.13342E-10
-0.37,4.12959E-10
-0.38,4.12487E-10
-0.39,4.11982E-10
-0.4,4.11408E-10
-0.41,4.10793E-10
-0.42,4.10271E-10
-0.43,4.09633E-10
-0.44,4.08997E-10
-0.45,4.08382E-10
-0.46,4.07814E-10
-0.47,4.07025E-10
-0.48,4.06372E-10
-0.49,4.05496E-10
-0.5,4.04876E-10
-0.51,4.03906E-10
-0.52,4.03208E-10
-0.53,4.02187E-10
-0.54,4.01456E-10
-0.55,4.00252E-10
-0.56,3.99451E-10
-0.57,3.98143E-10
-0.58,3.97384E-10
-0.59,3.9596E-10
-0.6,3.94944E-10
-0.61,3.93438E-10
-0.62,3.92446E-10
-0.63,3.90596E-10
-0.64,3.89616E-10
-0.65,3.87621E-10
-0.66,3.86389E-10
-0.67,3.84236E-10
-0.68,3.8272E-10
-0.69,3.80376E-10
-0.7,3.78948E-10
-0.71,3.76191E-10
-0.72,3.74463E-10
-0.73,3.71481E-10
-0.74,3.69468E-10
-0.75,3.66203E-10
-0.76,3.63781E-10
-0.77,3.60275E-10
-0.78,3.57835E-10
-0.79,3.53808E-10
-0.8,3.51211E-10
-0.81,3.47162E-10
-0.82,3.43389E-10
-0.83,3.38194E-10
-0.84,3.32603E-10
-0.85,3.26296E-10
-0.86,3.20937E-10
-0.87,3.14492E-10
-0.88,3.09606E-10
-0.89,3.04185E-10
-0.9,2.98839E-10
-0.91,2.93755E-10
-0.92,2.88367E-10
-0.93,2.8363E-10
-0.94,2.7926E-10
-0.95,2.74781E-10
-0.96,2.70701E-10
-0.97,2.66987E-10
-0.98,2.62911E-10
-0.99,2.59428E-10
-1,2.55172E-10
-1.01,2.52001E-10
-1.02,2.48572E-10
-1.03,2.45682E-10
-1.04,2.42593E-10
-1.05,2.40304E-10
-1.06,2.37272E-10
-1.07,2.35008E-10
-1.08,2.31947E-10
-1.09,2.29972E-10
-1.1,2.27417E-10
-1.11,2.25476E-10
-1.12,2.23075E-10
-1.13,2.21408E-10
-1.14,2.18974E-10
-1.15,2.17168E-10
-1.16,2.14267E-10
-1.17,2.12429E-10
-1.18,2.09717E-10
-1.19,2.0751E-10
-1.2,2.05021E-10
-1.21,2.03234E-10
-1.22,2.01057E-10
-1.23,1.98854E-10
-1.24,1.95417E-10
-1.25,1.92427E-10
-1.26,1.89153E-10
-1.27,1.86399E-10
-1.28,1.8398E-10
-1.29,1.82221E-10
-1.3,1.80316E-10
-1.31,1.79019E-10
-1.32,1.77499E-10
-1.33,1.76477E-10
-1.34,1.7529E-10
-1.35,1.7427E-10
-1.36,1.73225E-10
-1.37,1.7235E-10
-1.38,1.71447E-10
-1.39,1.70606E-10
-1.4,1.69694E-10
-1.41,1.69022E-10
-1.42,1.68259E-10
-1.43,1.67443E-10
-1.44,1.66818E-10
-1.45,1.66168E-10
-1.46,1.65588E-10
-1.47,1.64885E-10
-1.48,1.6432E-10
-1.49,1.63654E-10
-1.5,1.63165E-10
-1.51,1.62436E-10
-1.52,1.61983E-10
-1.53,1.61369E-10
-1.54,1.60931E-10
-1.55,1.60306E-10
-1.56,1.59949E-10
-1.57,1.59297E-10
-1.58,1.58643E-10
-1.59,1.58338E-10
-1.6,1.57778E-10
-1.61,1.57509E-10
-1.62,1.56959E-10
-1.63,1.56683E-10
-1.64,1.56116E-10
-1.65,1.55845E-10
-1.66,1.55288E-10
-1.67,1.55047E-10
-1.68,1.5454E-10
-1.69,1.54262E-10
-1.7,1.53761E-10
-1.71,1.53462E-10
-1.72,1.52979E-10
-1.73,1.52689E-10
-1.74,1.5223E-10
-1.75,1.51975E-10
-1.76,1.51572E-10
-1.77,1.51269E-10
-1.78,1.50921E-10
-1.79,1.50635E-10
-1.8,1.50255E-10
-1.81,1.49952E-10
-1.82,1.49576E-10
-1.83,1.49227E-10
-1.84,1.48893E-10
-1.85,1.48526E-10
-1.86,1.48231E-10
-1.87,1.47853E-10
-1.88,1.47575E-10
-1.89,1.47195E-10
-1.9,1.46938E-10
-1.91,1.46577E-10
-1.92,1.4636E-10
-1.93,1.45999E-10
-1.94,1.45843E-10
-1.95,1.45526E-10
-1.96,1.45384E-10
-1.97,1.45043E-10
-1.98,1.44847E-10
-1.99,1.44514E-10
-2,1.44377E-10
-2,1.4399E-10
-1.99,1.44359E-10
-1.98,1.44749E-10
-1.97,1.44831E-10
-1.96,1.45215E-10
-1.95,1.45142E-10
-1.94,1.45673E-10
-1.93,1.45693E-10
-1.92,1.46055E-10
-1.91,1.46351E-10
-1.9,1.46549E-10
-1.89,1.46683E-10
-1.88,1.46879E-10
-1.87,1.47215E-10
-1.86,1.47614E-10
-1.85,1.47796E-10
-1.84,1.48214E-10
-1.83,1.48215E-10
-1.82,1.48542E-10
-1.81,1.48993E-10
-1.8,1.48959E-10
-1.79,1.4945E-10
-1.78,1.49779E-10
-1.77,1.50008E-10
-1.76,1.50113E-10
-1.75,1.5027E-10
-1.74,1.50814E-10
-1.73,1.5121E-10
-1.72,1.5129E-10
-1.71,1.51519E-10
-1.7,1.51794E-10
-1.69,1.52372E-10
-1.68,1.52408E-10
-1.67,1.52796E-10
-1.66,1.53239E-10
-1.65,1.53406E-10
-1.64,1.5398E-10
-1.63,1.5401E-10
-1.62,1.54471E-10
-1.61,1.5461E-10
-1.6,1.55073E-10
-1.59,1.55356E-10
-1.58,1.55486E-10
-1.57,1.56082E-10
-1.56,1.5627E-10
-1.55,1.56376E-10
-1.54,1.56905E-10
-1.53,1.57259E-10
-1.52,1.57719E-10
-1.51,1.5821E-10
-1.5,1.58362E-10
-1.49,1.58758E-10
-1.48,1.58981E-10
-1.47,1.59502E-10
-1.46,1.59707E-10
-1.45,1.60233E-10
-1.44,1.60455E-10
-1.43,1.60597E-10
-1.42,1.61142E-10
-1.41,1.61455E-10
-1.4,1.61761E-10
-1.39,1.62402E-10
-1.38,1.62567E-10
-1.37,1.6304E-10
-1.36,1.63372E-10
-1.35,1.63919E-10
-1.34,1.64093E-10
-1.33,1.64425E-10
-1.32,1.65007E-10
-1.31,1.65442E-10
-1.3,1.65572E-10
-1.29,1.66058E-10
-1.28,1.66341E-10
-1.27,1.66959E-10
-1.26,1.67528E-10
-1.25,1.67956E-10
-1.24,1.68109E-10
-1.23,1.68978E-10
-1.22,1.69031E-10
-1.21,1.69436E-10
-1.2,1.70245E-10
-1.19,1.70278E-10
-1.18,1.70998E-10
-1.17,1.71229E-10
-1.16,1.71831E-10
-1.15,1.72187E-10
-1.14,1.72666E-10
-1.13,1.73154E-10
-1.12,1.73293E-10
-1.11,1.73897E-10
-1.1,1.74362E-10
-1.09,1.74841E-10
-1.08,1.75309E-10
-1.07,1.7562E-10
-1.06,1.7653E-10
-1.05,1.76693E-10
-1.04,1.77195E-10
-1.03,1.77806E-10
-1.02,1.78083E-10
-1.01,1.78912E-10
-1,1.79435E-10
-0.99,1.79743E-10
-0.98,1.80522E-10
-0.97,1.80576E-10
-0.96,1.81424E-10
-0.95,1.81968E-10
-0.94,1.82339E-10
-0.93,1.8309E-10
-0.92,1.83647E-10
-0.91,1.84318E-10
-0.9,1.84649E-10
-0.89,1.85283E-10
-0.88,1.86201E-10
-0.87,1.86285E-10
-0.86,1.87193E-10
-0.85,1.87325E-10
-0.84,1.88186E-10
-0.83,1.88855E-10
-0.82,1.89289E-10
-0.81,1.89824E-10
-0.8,1.90337E-10
-0.79,1.90855E-10
-0.78,1.91496E-10
