Setup title,"C-V Sweep_0-3_dark_1k_100k_1M"
0.14,-8.33718E-12
0.15,2.89672E-11
0.16,2.37867E-11
0.17,-8.67152E-12
0.18,3.57361E-11
0.19,1.94363E-11
0.2,-8.33137E-12
0.21,-3.19433E-12
0.22,-1.55017E-11
0.23,-5.23471E-12
0.24,-1.42057E-11
0.25,3.00715E-12
0.26,-7.38938E-12
0.27,-3.68123E-12
0.28,8.18428E-12
0.29,-1.90051E-11
0.3,4.96944E-12
0.31,-2.25917E-12
0.32,6.3047E-12
0.33,-4.7063E-11
0.34,-3.96745E-12
0.35,1.78328E-11
0.36,-1.98943E-11
0.37,-4.48269E-11
0.38,-3.59703E-11
0.39,-2.93692E-11
0.4,9.40301E-12
0.41,1.96972E-11
0.42,-8.79361E-11
0.43,5.33282E-11
0.44,-1.937E-11
0.45,-4.63903E-11
0.46,6.96949E-11
0.47,-1.38728E-10
0.48,-8.97749E-11
0.49,-1.84693E-10
0.5,-1.63708E-10
0.51,-1.30128E-10
0.52,-1.84855E-11
0.53,-4.74105E-10
0.54,-3.34494E-11
0.55,-2.16836E-11
0.56,-2.01912E-10
0.57,-1.90293E-10
0.58,4.44732E-11
0.59,8.98087E-11
0.6,-6.19558E-11
0.61,-7.06783E-11
0.62,1.12748E-10
0.63,-2.40002E-10
0.64,4.90215E-11
0.65,-1.75844E-10
0.66,-1.01179E-10
0.67,2.89823E-11
0.68,2.95842E-11
0.69,2.62031E-10
0.7,5.91073E-11
0.71,2.79007E-11
0.72,7.15419E-11
0.73,1.87949E-10
0.74,4.00012E-10
0.75,-4.22565E-10
0.76,8.36164E-10
0.77,2.47632E-10
0.78,-7.72692E-10
0.79,3.06698E-10
0.8,7.42455E-10
0.81,3.20724E-10
0.82,-6.28165E-10
0.83,-4.3226E-10
0.84,3.42903E-10
0.85,-1.40311E-09
0.86,6.27399E-10
0.87,-2.96035E-10
0.88,2.65479E-10
0.89,5.03808E-10
0.9,5.85312E-10
0.91,8.33323E-10
0.92,1.00731E-10
0.93,-2.18281E-10
0.94,-2.82482E-09
0.95,9.39847E-10
0.96,4.51525E-11
0.97,1.13426E-10
0.98,-3.14651E-09
0.99,3.32358E-09
1,-3.93349E-09
1.01,-4.99307E-10
1.02,-3.75203E-09
1.03,-9.34048E-10
1.04,5.93675E-09
1.05,6.31135E-10
1.06,-1.74722E-10
1.07,5.90221E-10
1.08,-1.13045E-10
1.09,1.52538E-10
1.1,-2.04166E-10
1.11,-1.72344E-10
1.12,8.65922E-11
1.13,-2.63771E-09
1.14,2.06873E-11
1.15,-2.56647E-10
1.16,4.80887E-11
1.17,2.46808E-10
1.18,-3.72534E-10
1.19,-1.44328E-10
1.2,-3.28151E-09
1.21,-5.2395E-10
1.22,4.03096E-10
1.23,1.96035E-10
1.24,1.76084E-10
1.25,6.99957E-11
1.26,2.73788E-10
1.27,5.44484E-10
1.28,1.92011E-09
1.29,3.25844E-11
1.3,-5.50984E-12
1.31,-5.67142E-11
1.32,2.68873E-10
1.33,1.62173E-09
1.34,-1.38294E-09
1.35,-2.13137E-10
1.36,4.20538E-11
1.37,-1.49416E-10
1.38,2.96183E-10
1.39,-1.27655E-10
1.4,-1.40257E-10
1.41,1.76137E-10
1.42,4.98502E-10
1.43,-5.17125E-10
1.44,-1.28075E-10
1.45,-1.19339E-09
1.46,1.74453E-09
1.47,1.62935E-10
1.48,-8.94222E-11
1.49,2.18316E-11
1.5,-4.1933E-09
1.51,-2.08317E-10
1.52,1.58952E-10
1.53,4.55527E-10
1.54,-1.0055E-10
1.55,-7.8242E-10
1.56,-8.89666E-10
1.57,-1.11487E-10
1.58,-1.79198E-11
1.59,-8.74391E-12
1.6,-3.98946E-10
1.61,-5.47013E-10
1.62,-1.86807E-10
1.63,2.65785E-10
1.64,1.3424E-10
1.65,-9.73313E-10
1.66,2.68079E-11
1.67,1.10553E-09
1.68,4.10495E-10
1.69,3.21217E-10
1.7,3.74166E-10
1.71,4.27137E-10
1.72,1.67091E-10
1.73,-8.69421E-11
1.74,6.40356E-10
1.75,-1.25929E-10
1.76,-5.27696E-10
1.77,-4.98434E-10
1.78,-1.81272E-10
1.79,1.24469E-09
1.8,-6.39558E-10
1.81,8.76359E-10
1.82,2.88281E-10
1.83,-3.95047E-10
1.84,-6.06555E-10
1.85,7.01622E-10
1.86,-1.93405E-10
1.87,-4.03549E-10
1.88,3.57285E-10
1.89,-6.47541E-11
1.9,8.06174E-12
1.91,-2.39214E-12
1.92,4.80878E-12
1.93,-5.51372E-13
1.94,-3.92768E-11
1.95,-1.33812E-10
1.96,1.17764E-10
1.97,-1.20609E-11
1.98,-1.00042E-12
1.99,1.31655E-12
2,5.77187E-11
2.01,-7.6049E-10
2.02,7.34354E-11
2.03,1.34695E-11
2.04,1.01204E-10
2.05,1.85727E-11
2.06,-1.28554E-10
2.07,-7.05547E-11
2.08,8.66807E-11
2.09,-5.48131E-11
2.1,8.15798E-12
2.11,-3.31701E-11
2.12,-1.26016E-11
2.13,4.5852E-11
2.14,8.56882E-12
2.15,3.14612E-14
2.16,-6.53506E-12
2.17,2.59769E-12
2.18,-5.56123E-12
2.19,-3.76314E-12
2.2,-2.36321E-12
2.21,1.15509E-11
2.22,-1.35052E-11
2.23,1.388E-11
2.24,-1.40065E-12
2.25,1.13307E-11
2.26,2.47082E-11
2.27,1.78336E-11
2.28,-1.62413E-12
2.29,-3.19286E-12
2.3,4.90674E-13
2.31,-3.71787E-12
2.32,-1.79933E-12
2.33,-9.86602E-11
2.34,1.35046E-10
2.35,-7.43051E-12
2.36,-6.86797E-12
2.37,-7.23629E-13
2.38,3.17579E-13
2.39,-1.41587E-11
2.4,1.22983E-11
2.41,-1.32961E-12
2.42,1.18014E-11
2.43,1.0495E-11
2.44,-5.61878E-12
2.45,5.89742E-12
2.46,2.16105E-12
2.47,1.19293E-11
2.48,-1.57356E-11
2.49,-9.86845E-12
2.5,-1.67034E-14
2.51,-4.36849E-12
2.52,-1.21599E-11
2.53,1.25318E-11
2.54,-5.24865E-12
2.55,1.19418E-11
2.56,4.7823E-12
2.57,1.25687E-11
2.58,3.19813E-12
2.59,9.26775E-12
2.6,3.38968E-12
2.61,-1.05643E-11
2.62,-5.95943E-12
2.63,-7.96298E-11
2.64,3.23443E-12
2.65,-1.19445E-11
2.66,2.8556E-12
2.67,-2.32277E-11
2.68,1.16819E-12
2.69,-2.20404E-11
2.7,-1.46636E-11
2.71,8.74447E-12
2.72,1.60934E-11
2.73,7.26062E-12
2.74,-2.28088E-11
2.75,9.24032E-13
2.76,-4.99367E-12
2.77,-3.03373E-11
2.78,-2.92274E-12
2.79,1.58424E-11
2.8,-1.44379E-13
2.81,3.2761E-11
2.82,4.38361E-12
2.83,-2.23838E-12
2.84,2.04598E-12
2.85,-1.88202E-11
2.86,-3.37607E-13
2.87,1.73353E-12
2.88,1.88389E-12
2.89,-6.35311E-12
2.9,-2.20464E-12
2.91,-1.29585E-11
2.92,-4.13707E-13
2.93,4.06062E-12
2.94,-1.7002E-11
2.95,-5.90314E-12
2.96,9.60922E-12
2.97,-3.49391E-12
2.98,5.48203E-12
2.99,6.31771E-12
3,2.12915E-12
0,3.06927E-13
0.01,2.85408E-13
0.02,2.18495E-13
0.03,3.14866E-13
0.04,2.67669E-13
0.05,3.19218E-13
0.06,2.89212E-13
0.07,2.97421E-13
0.08,2.96729E-13
0.09,2.71284E-13
0.1,2.99122E-13
0.11,2.6427E-13
0.12,2.96969E-13
0.13,2.35551E-13
0.14,2.93114E-13
0.15,2.91318E-13
0.16,2.54475E-13
0.17,2.31251E-13
0.18,2.96017E-13
0.19,2.3209E-13
0.2,2.86863E-13
0.21,2.47058E-13
0.22,2.49768E-13
0.23,2.62632E-13
0.24,2.9623E-13
0.25,2.61E-13
0.26,2.98057E-13
0.27,2.74212E-13
0.28,2.5128E-13
0.29,2.78917E-13
0.3,2.75581E-13
0.31,3.03258E-13
0.32,2.68306E-13
0.33,2.84864E-13
0.34,2.98841E-13
0.35,2.86973E-13
0.36,2.93292E-13
0.37,2.7167E-13
0.38,2.90477E-13
0.39,2.83213E-13
0.4,3.31983E-13
0.41,2.56864E-13
0.42,2.40457E-13
0.43,3.05481E-13
0.44,2.8292E-13
0.45,3.07682E-13
0.46,2.67725E-13
0.47,2.6371E-13
0.48,2.64823E-13
0.49,2.44512E-13
0.5,2.81013E-13
0.51,2.7571E-13
0.52,3.02787E-13
0.53,2.52674E-13
0.54,2.51364E-13
0.55,2.7501E-13
0.56,2.62985E-13
0.57,2.77019E-13
0.58,3.26035E-13
0.59,2.66416E-13
0.6,2.30261E-13
0.61,3.05098E-13
0.62,2.49079E-13
0.63,2.7098E-13
0.64,2.91356E-13
0.65,2.94047E-13
0.66,2.66223E-13
0.67,2.50929E-13
0.68,2.77076E-13
0.69,2.48389E-13
0.7,2.91236E-13
0.71,3.03745E-13
0.72,2.88848E-13
0.73,2.50679E-13
0.74,2.84303E-13
0.75,2.51083E-13
0.76,2.80959E-13
0.77,2.50023E-13
0.78,2.91046E-13
0.79,2.60177E-13
0.8,3.076E-13
0.81,2.74265E-13
0.82,2.76588E-13
0.83,2.63348E-13
0.84,2.84118E-13
0.85,2.83659E-13
0.86,2.59345E-13
0.87,2.8526E-13
0.88,2.84683E-13
0.89,2.68326E-13
0.9,2.85167E-13
0.91,2.86242E-13
0.92,2.80155E-13
0.93,3.04668E-13
0.94,3.23461E-13
0.95,2.90176E-13
0.96,2.78745E-13
0.97,2.29502E-13
0.98,2.40104E-13
0.99,2.60503E-13
1,2.72215E-13
1.01,2.82409E-13
1.02,2.91744E-13
1.03,2.96304E-13
1.04,2.78947E-13
1.05,2.71213E-13
1.06,2.62055E-13
1.07,2.60807E-13
1.08,2.15123E-13
1.09,2.82584E-13
1.1,3.0746E-13
1.11,2.80983E-13
1.12,2.38677E-13
1.13,2.53306E-13
1.14,2.84043E-13
1.15,2.96219E-13
1.16,2.5654E-13
1.17,2.57764E-13
1.18,2.9507E-13
1.19,2.89129E-13
1.2,2.48831E-13
1.21,2.97006E-13
1.22,3.08769E-13
1.23,2.72455E-13
1.24,2.51253E-13
1.25,2.61853E-13
1.26,2.54614E-13
1.27,2.99873E-13
1.28,2.7685E-13
1.29,2.73928E-13
1.3,2.77815E-13
1.31,2.957E-13
1.32,3.05075E-13
1.33,2.75538E-13
1.34,2.34683E-13
1.35,2.58193E-13
1.36,2.48774E-13
1.37,2.74792E-13
1.38,2.44688E-13
1.39,2.4478E-13
1.4,2.53409E-13
1.41,3.22362E-13
1.42,2.76711E-13
1.43,3.08708E-13
1.44,2.95273E-13
1.45,2.64159E-13
1.46,2.87417E-13
1.47,3.06732E-13
1.48,2.59237E-13
1.49,2.52736E-13
1.5,2.75209E-13
1.51,2.65191E-13
1.52,2.75503E-13
1.53,2.43967E-13
1.54,2.91642E-13
1.55,3.04414E-13
1.56,2.54576E-13
1.57,3.04218E-13
1.58,2.67047E-13
1.59,2.83125E-13
1.6,2.67566E-13
1.61,2.59182E-13
1.62,3.08702E-13
1.63,2.77346E-13
1.64,2.58358E-13
1.65,2.71366E-13
1.66,3.00973E-13
1.67,2.87269E-13
1.68,3.03183E-13
1.69,2.92205E-13
1.7,2.96056E-13
1.71,2.84515E-13
1.72,3.03635E-13
1.73,2.40238E-13
1.74,2.78996E-13
1.75,2.89706E-13
1.76,2.62297E-13
1.77,2.36621E-13
1.78,2.89587E-13
1.79,3.00164E-13
1.8,2.67274E-13
1.81,2.36719E-13
1.82,2.16785E-13
1.83,2.34721E-13
1.84,2.97403E-13
1.85,2.94187E-13
1.86,2.64493E-13
1.87,2.59059E-13
1.88,2.77479E-13
1.89,2.66056E-13
1.9,2.66742E-13
1.91,2.26172E-13
1.92,2.8864E-13
1.93,2.86342E-13
1.94,2.70193E-13
1.95,3.00128E-13
1.96,2.90231E-13
1.97,2.56902E-13
1.98,2.34517E-13
1.99,2.61526E-13
2,3.20938E-13
2.01,2.53165E-13
2.02,2.95101E-13
2.03,2.99749E-13
2.04,3.16625E-13
2.05,2.52852E-13
2.06,2.94585E-13
2.07,3.00119E-13
2.08,2.9813E-13
2.09,2.78468E-13
2.1,2.72879E-13
2.11,2.61408E-13
2.12,3.09546E-13
2.13,2.77639E-13
2.14,2.55154E-13
2.15,2.68571E-13
2.16,2.28257E-13
2.17,2.98724E-13
2.18,2.56377E-13
2.19,2.88751E-13
2.2,2.82085E-13
2.21,3.00013E-13
2.22,2.60728E-13
2.23,2.50166E-13
2.24,3.02683E-13
2.25,2.5947E-13
2.26,2.45342E-13
2.27,2.91206E-13
2.28,2.52681E-13
2.29,2.86657E-13
2.3,2.61582E-13
2.31,2.73352E-13
2.32,3.3351E-13
2.33,2.67464E-13
2.34,2.81361E-13
2.35,2.45499E-13
2.36,2.62379E-13
2.37,2.61376E-13
2.38,2.47437E-13
2.39,2.92232E-13
2.4,2.72636E-13
2.41,2.73969E-13
2.42,2.49199E-13
2.43,2.76459E-13
2.44,3.06452E-13
2.45,2.41856E-13
2.46,2.76362E-13
2.47,3.05121E-13
2.48,2.49547E-13
2.49,2.73714E-13
2.5,2.44215E-13
2.51,2.90249E-13
2.52,2.32958E-13
2.53,2.77661E-13
2.54,2.83015E-13
2.55,2.85168E-13
2.56,2.75368E-13
2.57,2.74397E-13
2.58,2.54605E-13
2.59,2.84145E-13
2.6,2.80183E-13
2.61,2.61846E-13
2.62,2.82453E-13
2.63,2.13365E-13
2.64,3.0345E-13
2.65,2.64016E-13
2.66,3.09199E-13
2.67,2.45543E-13
2.68,2.81103E-13
2.69,2.76802E-13
2.7,2.86966E-13
2.71,2.52683E-13
2.72,3.10168E-13
2.73,2.67917E-13
2.74,2.80192E-13
2.75,2.56265E-13
2.76,2.29735E-13
2.77,2.81081E-13
2.78,2.81891E-13
2.79,2.81232E-13
2.8,2.74577E-13
2.81,2.78494E-13
2.82,2.67022E-13
2.83,3.06343E-13
2.84,2.98994E-13
2.85,2.80246E-13
2.86,2.44685E-13
2.87,2.59687E-13
2.88,2.79349E-13
2.89,2.62646E-13
2.9,2.68076E-13
2.91,2.58837E-13
2.92,2.66735E-13
2.93,2.54058E-13
2.94,2.6944E-13
2.95,3.00138E-13
2.96,2.38521E-13
2.97,2.40991E-13
2.98,2.62762E-13
2.99,2.18347E-13
3,3.10631E-13
0,2.16863E-13
0.01,2.10058E-13
0.02,2.19588E-13
0.03,2.14042E-13
0.04,2.09337E-13
0.05,2.13326E-13
0.06,2.15396E-13
0.07,2.18002E-13
0.08,2.20952E-13
0.09,2.09194E-13
0.1,2.06786E-13
0.11,2.12322E-13
0.12,2.20823E-13
0.13,2.19879E-13
0.14,2.16025E-13
0.15,2.14589E-13
0.16,2.15981E-13
0.17,2.19946E-13
0.18,2.11639E-13
0.19,2.21739E-13
0.2,2.12627E-13
0.21,2.17384E-13
0.22,2.10579E-13
0.23,2.12018E-13
0.24,2.14903E-13
0.25,2.19033E-13
0.26,2.11181E-13
0.27,2.13255E-13
0.28,2.18173E-13
0.29,2.15478E-13
0.3,2.21422E-13
0.31,2.05645E-13
0.32,2.20528E-13
0.33,2.15648E-13
0.34,2.17659E-13
0.35,2.15196E-13
0.36,2.11702E-13
0.37,2.20191E-13
0.38,2.12281E-13
0.39,2.18621E-13
0.4,2.13827E-13
0.41,2.07999E-13
0.42,2.10981E-13
0.43,2.10688E-13
0.44,2.12278E-13
0.45,2.16922E-13
0.46,2.15161E-13
0.47,2.22343E-13
0.48,2.05785E-13
0.49,2.09267E-13
0.5,2.23502E-13
0.51,2.12588E-13
0.52,2.1897E-13
0.53,2.11529E-13
0.54,2.11654E-13
0.55,2.13093E-13
0.56,2.16366E-13
0.57,2.12455E-13
0.58,2.17485E-13
0.59,2.12325E-13
0.6,2.10494E-13
0.61,2.19883E-13
0.62,2.10516E-13
0.63,2.14896E-13
0.64,2.15497E-13
0.65,2.1069E-13
0.66,2.19244E-13
0.67,2.17479E-13
0.68,2.23453E-13
0.69,2.17432E-13
0.7,2.08303E-13
0.71,2.16629E-13
0.72,2.13378E-13
0.73,2.15873E-13
0.74,2.16587E-13
0.75,2.19794E-13
0.76,2.09799E-13
0.77,2.15836E-13
0.78,2.16588E-13
0.79,2.18498E-13
0.8,2.16543E-13
0.81,2.07082E-13
0.82,2.21233E-13
0.83,2.19805E-13
0.84,2.11487E-13
0.85,2.1941E-13
0.86,2.1371E-13
0.87,2.11062E-13
0.88,2.15594E-13
0.89,2.18474E-13
0.9,2.1241E-13
0.91,2.13002E-13
0.92,2.1351E-13
0.93,2.0509E-13
0.94,2.11167E-13
0.95,2.26399E-13
0.96,2.21967E-13
0.97,2.11075E-13
0.98,2.17739E-13
0.99,2.11556E-13
1,2.16319E-13
1.01,2.16351E-13
1.02,2.15104E-13
1.03,2.20141E-13
1.04,2.10788E-13
1.05,2.14696E-13
1.06,2.14115E-13
1.07,2.14519E-13
1.08,2.14767E-13
1.09,2.18353E-13
1.1,2.13776E-13
1.11,2.16556E-13
1.12,2.15679E-13
1.13,2.15057E-13
1.14,2.08129E-13
1.15,2.08315E-13
1.16,2.11518E-13
1.17,2.08891E-13
1.18,2.10064E-13
1.19,2.10698E-13
1.2,2.1945E-13
1.21,2.2232E-13
1.22,2.11985E-13
1.23,2.16932E-13
1.24,2.0359E-13
1.25,2.1363E-13
1.26,2.16249E-13
1.27,2.18524E-13
1.28,2.13978E-13
1.29,2.1649E-13
1.3,2.08669E-13
1.31,2.04982E-13
1.32,2.12926E-13
1.33,2.15835E-13
1.34,2.10965E-13
1.35,2.17678E-13
1.36,2.09669E-13
1.37,2.06563E-13
1.38,2.15154E-13
1.39,2.177E-13
1.4,2.14763E-13
1.41,2.12713E-13
1.42,2.12043E-13
1.43,2.21761E-13
1.44,2.09185E-13
1.45,2.09766E-13
1.46,2.08336E-13
1.47,2.16458E-13
1.48,2.16897E-13
1.49,2.15917E-13
1.5,2.15771E-13
1.51,2.12938E-13
1.52,2.22735E-13
1.53,2.19E-13
1.54,2.13058E-13
1.55,2.13152E-13
1.56,2.20613E-13
1.57,2.03347E-13
1.58,2.13946E-13
1.59,2.09988E-13
1.6,2.08881E-13
1.61,2.15101E-13
1.62,2.16037E-13
1.63,2.10538E-13
1.64,2.07369E-13
1.65,2.17406E-13
1.66,2.14209E-13
1.67,2.17352E-13
1.68,2.17553E-13
1.69,2.14861E-13
1.7,2.08416E-13
1.71,2.18683E-13
1.72,2.12584E-13
1.73,2.08812E-13
1.74,2.16403E-13
1.75,2.13998E-13
1.76,2.12106E-13
1.77,2.17321E-13
1.78,2.13326E-13
1.79,2.1166E-13
1.8,2.05368E-13
1.81,2.21729E-13
1.82,2.11792E-13
1.83,2.06234E-13
1.84,2.08233E-13
1.85,2.20638E-13
1.86,2.19658E-13
1.87,2.14914E-13
1.88,2.16107E-13
1.89,2.13617E-13
1.9,2.11151E-13
1.91,2.03916E-13
1.92,2.23851E-13
1.93,2.12176E-13
1.94,2.08153E-13
1.95,2.14455E-13
1.96,2.1382E-13
1.97,2.13699E-13
1.98,2.10291E-13
1.99,2.10063E-13
2,2.12045E-13
2.01,2.15002E-13
2.02,2.11748E-13
2.03,2.16713E-13
2.04,2.09642E-13
2.05,2.04384E-13
2.06,2.2035E-13
2.07,2.06566E-13
2.08,2.17962E-13
2.09,2.12979E-13
2.1,2.12071E-13
2.11,2.17962E-13
2.12,2.20044E-13
2.13,2.11117E-13
2.14,2.18282E-13
2.15,2.16365E-13
2.16,2.11296E-13
2.17,2.19218E-13
2.18,2.11704E-13
2.19,2.09874E-13
2.2,2.05385E-13
2.21,2.19793E-13
2.22,2.09132E-13
2.23,2.13102E-13
2.24,2.16649E-13
2.25,2.11586E-13
2.26,2.11947E-13
2.27,2.12315E-13
2.28,2.16626E-13
2.29,2.20065E-13
2.3,2.20191E-13
2.31,2.19135E-13
2.32,2.24476E-13
2.33,2.10104E-13
2.34,2.05591E-13
2.35,2.23847E-13
2.36,2.09038E-13
2.37,2.13835E-13
2.38,2.18092E-13
2.39,2.10646E-13
2.4,2.13328E-13
2.41,2.09708E-13
2.42,2.17064E-13
2.43,2.13227E-13
2.44,2.08529E-13
2.45,2.1494E-13
2.46,2.12614E-13
2.47,2.18441E-13
2.48,2.24641E-13
2.49,2.1972E-13
2.5,2.12183E-13
2.51,2.20888E-13
2.52,2.07136E-13
2.53,2.08369E-13
2.54,2.15478E-13
2.55,2.05557E-13
2.56,2.12518E-13
2.57,2.07597E-13
2.58,2.11971E-13
2.59,2.17625E-13
2.6,2.08995E-13
2.61,2.20948E-13
2.62,2.16916E-13
2.63,2.12467E-13
2.64,2.05668E-13
2.65,2.05906E-13
2.66,2.13252E-13
2.67,2.0675E-13
2.68,2.16317E-13
2.69,2.10887E-13
2.7,2.16458E-13
2.71,2.06734E-13
2.72,2.13512E-13
2.73,2.17227E-13
2.74,2.15541E-13
2.75,2.06247E-13
2.76,2.11399E-13
2.77,2.14984E-13
2.78,2.12792E-13
2.79,2.09681E-13
2.8,2.16692E-13
2.81,2.15394E-13
2.82,2.0748E-13
2.83,2.19519E-13
2.84,2.1216E-13
2.85,2.14254E-13
2.86,2.11341E-13
2.87,2.17602E-13
2.88,2.05917E-13
2.89,2.064E-13
2.9,2.13712E-13
2.91,2.17991E-13
2.92,2.12647E-13
2.93,2.09073E-13
2.94,2.13831E-13
2.95,2.26152E-13
2.96,2.12936E-13
2.97,2.08631E-13
2.98,2.18452E-13
2.99,2.17966E-13
3,2.20934E-13
