Setup title,"I/V Sweep_0_-2_Dark[2]"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,16:24:28
Device ID,
Count,6
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-2
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,1.3627E-09
-0.01,-4.85001E-07
-0.02,-9.82702E-07
-0.03,-1.48668E-06
-0.04,-2.02118E-06
-0.05,-2.54724E-06
-0.06,-3.125E-06
-0.07,-3.65427E-06
-0.08,-4.25465E-06
-0.09,-4.87755E-06
-0.1,-5.52596E-06
-0.11,-6.16857E-06
-0.12,-6.81364E-06
-0.13,-7.51539E-06
-0.14,-8.28535E-06
-0.15,-9.00657E-06
-0.16,-9.76468E-06
-0.17,-1.066129E-05
-0.18,-1.14734E-05
-0.19,-1.23423E-05
-0.2,-1.31437E-05
-0.21,-1.41042E-05
-0.22,-1.51311E-05
-0.23,-1.60508E-05
-0.24,-1.69222E-05
-0.25,-1.79938E-05
-0.26,-1.89676E-05
-0.27,-2.00263E-05
-0.28,-2.11178E-05
-0.29,-2.20263E-05
-0.3,-2.32813E-05
-0.31,-2.45404E-05
-0.32,-2.56051E-05
-0.33,-2.67629E-05
-0.34,-2.79743E-05
-0.35,-2.92769E-05
-0.36,-3.05507E-05
-0.37,-3.1888E-05
-0.38,-3.2853E-05
-0.39,-3.42273E-05
-0.4,-3.55644E-05
-0.41,-3.71675E-05
-0.42,-3.86656E-05
-0.43,-3.98688E-05
-0.44,-4.11685E-05
-0.45,-4.23289E-05
-0.46,-4.39687E-05
-0.47,-4.56761E-05
-0.48,-4.66969E-05
-0.49,-4.83098E-05
-0.5,-4.96486E-05
-0.51,-5.11109E-05
-0.52,-5.32262E-05
-0.53,-5.44448E-05
-0.54,-5.70824E-05
-0.55,-5.85003E-05
-0.56,-6.03577E-05
-0.57,-6.19682E-05
-0.58,-6.33833E-05
-0.59,-6.51305E-05
-0.6,-6.71016E-05
-0.61,-6.91876E-05
-0.62,-7.12142E-05
-0.63,-7.30795E-05
-0.64,-7.5194E-05
-0.65,-7.6646E-05
-0.66,-7.8478E-05
-0.67,-7.98409E-05
-0.68,-8.19247E-05
-0.69,-8.38256E-05
-0.7,-8.58476E-05
-0.71,-8.76488E-05
-0.72,-8.91648E-05
-0.73,-9.1544E-05
-0.74,-9.39443E-05
-0.75,-9.5437E-05
-0.76,-9.82318E-05
-0.77,-0.0001016628
-0.78,-0.0001040768
-0.79,-0.0001063782
-0.8,-0.0001079572
-0.81,-0.0001073241
-0.82,-0.000113582
-0.83,-0.000116168
-0.84,-0.000118972
-0.85,-0.000121247
-0.86,-0.000122102
-0.87,-0.000121306
-0.88,-0.000124234
-0.89,-0.000126352
-0.9,-0.000130268
-0.91,-0.000136977
-0.92,-0.000138208
-0.93,-0.00014298
-0.94,-0.000145573
-0.95,-0.000150168
-0.96,-0.000152999
-0.97,-0.000154233
-0.98,-0.000171071
-0.99,-0.000179211
-1,-0.000190254
-1.01,-0.000194162
-1.02,-0.000199373
-1.03,-0.000197322
-1.04,-0.00019675
-1.05,-0.00019934
-1.06,-0.000200041
-1.07,-0.00020004
-1.08,-0.00020004
-1.09,-0.000200039
-1.1,-0.00020004
-1.11,-0.00020004
-1.12,-0.00020004
-1.13,-0.00020004
-1.14,-0.000200039
-1.15,-0.00020004
-1.16,-0.00020004
-1.17,-0.00020004
-1.18,-0.00020004
-1.19,-0.000200039
-1.2,-0.000200039
-1.21,-0.00020004
-1.22,-0.000200039
-1.23,-0.000200039
-1.24,-0.00020004
-1.25,-0.00020004
-1.26,-0.00020004
-1.27,-0.000200039
-1.28,-0.00020004
-1.29,-0.00020004
-1.3,-0.00020004
-1.31,-0.00020004
-1.32,-0.00020004
-1.33,-0.000200039
-1.34,-0.00020004
-1.35,-0.000200039
-1.36,-0.000200039
-1.37,-0.000200039
-1.38,-0.00020004
-1.39,-0.000200041
-1.4,-0.000200039
-1.41,-0.000200041
-1.42,-0.00020004
-1.43,-0.000200039
-1.44,-0.000200039
-1.45,-0.000200039
-1.46,-0.000200039
-1.47,-0.00020004
-1.48,-0.000200039
-1.49,-0.00020004
-1.5,-0.000200039
-1.51,-0.00020004
-1.52,-0.00020004
-1.53,-0.000200039
-1.54,-0.000200039
-1.55,-0.000200039
-1.56,-0.000200039
-1.57,-0.000200039
-1.58,-0.000200039
-1.59,-0.000200039
-1.6,-0.000200039
-1.61,-0.000200039
-1.62,-0.000200039
-1.63,-0.000200039
-1.64,-0.00020004
-1.65,-0.000200039
-1.66,-0.00020004
-1.67,-0.000200039
-1.68,-0.000200039
-1.69,-0.000200039
-1.7,-0.000200039
-1.71,-0.00020004
-1.72,-0.000200039
-1.73,-0.000200041
-1.74,-0.000200039
-1.75,-0.000200039
-1.76,-0.000200039
-1.77,-0.000200039
-1.78,-0.00020004
-1.79,-0.000200039
-1.8,-0.000200039
-1.81,-0.000200039
-1.82,-0.00020004
-1.83,-0.000200039
-1.84,-0.000200039
-1.85,-0.000200039
-1.86,-0.000200039
-1.87,-0.00020004
-1.88,-0.000200039
-1.89,-0.00020004
-1.9,-0.00020004
-1.91,-0.00020004
-1.92,-0.000200039
-1.93,-0.00020004
-1.94,-0.000200039
-1.95,-0.000200039
-1.96,-0.00020004
-1.97,-0.00020004
-1.98,-0.00020004
-1.99,-0.00020004
-2,-0.00020004
-2,-0.00020004
-1.99,-0.000200039
-1.98,-0.000200039
-1.97,-0.000200039
-1.96,-0.000200039
-1.95,-0.00020004
-1.94,-0.000200039
-1.93,-0.000200039
-1.92,-0.000200039
-1.91,-0.000200039
-1.9,-0.00020004
-1.89,-0.000200039
-1.88,-0.000200039
-1.87,-0.000200039
-1.86,-0.000200039
-1.85,-0.000200039
-1.84,-0.000200039
-1.83,-0.000200039
-1.82,-0.00020004
-1.81,-0.00020004
-1.8,-0.000200039
-1.79,-0.000200039
-1.78,-0.000200039
-1.77,-0.000200039
-1.76,-0.00020004
-1.75,-0.00020004
-1.74,-0.000200039
-1.73,-0.00020004
-1.72,-0.00020004
-1.71,-0.000200039
-1.7,-0.00020004
-1.69,-0.00020004
-1.68,-0.00020004
-1.67,-0.000200039
-1.66,-0.000200039
-1.65,-0.000200039
-1.64,-0.000200039
-1.63,-0.000200039
-1.62,-0.000200039
-1.61,-0.000200039
-1.6,-0.00020004
-1.59,-0.000200039
-1.58,-0.000200039
-1.57,-0.000200039
-1.56,-0.00020004
-1.55,-0.000200039
-1.54,-0.000200039
-1.53,-0.000200039
-1.52,-0.000200041
-1.51,-0.000200039
-1.5,-0.00020004
-1.49,-0.000200039
-1.48,-0.000200039
-1.47,-0.000200039
-1.46,-0.000200039
-1.45,-0.000200039
-1.44,-0.000200039
-1.43,-0.00020004
-1.42,-0.000200039
-1.41,-0.000200039
-1.4,-0.000200039
-1.39,-0.00020004
-1.38,-0.00020004
-1.37,-0.00020004
-1.36,-0.00020004
-1.35,-0.00020004
-1.34,-0.00020004
-1.33,-0.00020004
-1.32,-0.00020004
-1.31,-0.00020004
-1.3,-0.00020004
-1.29,-0.000200039
-1.28,-0.00020004
-1.27,-0.00020004
-1.26,-0.00020004
-1.25,-0.00020004
-1.24,-0.000200041
-1.23,-0.00020004
-1.22,-0.000200041
-1.21,-0.00020004
-1.2,-0.00020004
-1.19,-0.00020004
-1.18,-0.000200039
-1.17,-0.00020004
-1.16,-0.00020004
-1.15,-0.00020004
-1.14,-0.00020004
-1.13,-0.000200039
-1.12,-0.000200039
-1.11,-0.00020004
-1.1,-0.00020004
-1.09,-0.00020004
-1.08,-0.000200041
-1.07,-0.00020004
-1.06,-0.000200039
-1.05,-0.000200039
-1.04,-0.00020004
-1.03,-0.000200039
-1.02,-0.000200039
-1.01,-0.000199033
-1,-0.000195425
-0.99,-0.000191878
-0.98,-0.000188221
-0.97,-0.000184827
-0.96,-0.000180957
-0.95,-0.000178552
-0.94,-0.000175538
-0.93,-0.000172129
-0.92,-0.000168448
-0.91,-0.000165257
-0.9,-0.000162168
