Setup title,"C-V Sweep_-3_3_dark_1k_100k_1M"
-2.42,
-2.4,
-2.38,
-2.36,
-2.34,
-2.32,
-2.3,
-2.28,
-2.26,
-2.24,
-2.22,
-2.2,
-2.18,
-2.16,
-2.14,
-2.12,
-2.1,
-2.08,
-2.06,
-2.04,
-2.02,
-2,
-1.98,
-1.96,
-1.94,
-1.92,
-1.9,
-1.88,
-1.86,
-1.84,
-1.82,7.49233E-13
-1.8,-5.53965E-13
-1.78,3.2356E-13
-1.76,-8.60593E-14
-1.74,-5.0397E-15
-1.72,1.94189E-13
-1.7,4.69472E-13
-1.68,2.25416E-13
-1.66,1.4328E-13
-1.64,4.38524E-13
-1.62,2.71843E-13
-1.6,2.35517E-13
-1.58,3.20823E-13
-1.56,2.75133E-13
-1.54,5.33728E-13
-1.52,4.89484E-13
-1.5,5.00119E-13
-1.48,2.75477E-13
-1.46,4.14862E-13
-1.44,6.95557E-13
-1.42,2.14283E-13
-1.4,3.09878E-13
-1.38,4.58049E-13
-1.36,3.63189E-13
-1.34,6.6725E-13
-1.32,4.16055E-13
-1.3,5.46362E-13
-1.28,3.84524E-13
-1.26,3.36609E-13
-1.24,4.79228E-13
-1.22,2.1456E-13
-1.2,4.04823E-13
-1.18,6.70404E-13
-1.16,5.37019E-13
-1.14,3.18581E-13
-1.12,3.7171E-13
-1.1,1.94528E-13
-1.08,6.77667E-13
-1.06,5.42772E-13
-1.04,4.66063E-13
-1.02,4.18971E-14
-1,2.4196E-13
-0.98,3.25092E-13
-0.96,3.53197E-13
-0.94,2.09101E-13
-0.92,2.6032E-13
-0.9,1.30828E-13
-0.88,2.87705E-13
-0.86,2.17479E-13
-0.84,1.95213E-13
-0.82,3.68938E-13
-0.8,1.16595E-13
-0.78,4.37964E-13
-0.76,3.36178E-13
-0.74,1.62005E-13
-0.72,2.12883E-13
-0.7,2.96357E-13
-0.68,3.93629E-13
-0.66,2.10382E-13
-0.64,3.63049E-13
-0.62,3.66462E-13
-0.6,4.67651E-13
-0.58,5.68399E-13
-0.56,5.88544E-13
-0.54,2.95472E-13
-0.52,4.18161E-13
-0.5,4.42134E-13
-0.48,6.81288E-13
-0.46,4.65915E-13
-0.44,3.59409E-13
-0.42,6.48715E-13
-0.4,5.6552E-13
-0.38,5.82346E-13
-0.36,3.61789E-13
-0.34,7.01358E-13
-0.32,6.04636E-13
-0.3,5.97708E-13
-0.28,4.33506E-13
-0.26,3.05594E-13
-0.24,4.70398E-13
-0.22,5.19036E-13
-0.2,4.05266E-13
-0.18,2.58794E-13
-0.16,1.74427E-13
-0.14,3.54507E-13
-0.12,5.46455E-13
-0.1,2.72392E-13
-0.08,3.0458E-13
-0.06,3.05935E-13
-0.04,2.91991E-13
-0.02,4.07192E-13
0,1.37839E-13
0.02,1.75213E-13
0.04,2.16225E-13
0.06,4.56451E-13
0.08,2.73465E-13
0.1,-3.88444E-15
0.12,1.19244E-13
0.14,2.09202E-13
0.16,5.91412E-13
0.18,2.37826E-13
0.2,1.76983E-13
0.22,3.5403E-13
0.24,3.90049E-13
0.26,5.84616E-13
0.28,5.05215E-13
0.3,3.20514E-13
0.32,4.54839E-13
0.34,4.84119E-13
0.36,6.25884E-13
0.38,5.58723E-13
0.4,3.44072E-13
0.42,5.44394E-13
0.44,5.22798E-13
0.46,4.49536E-13
0.48,4.14815E-13
0.5,4.52095E-13
0.52,5.1224E-13
0.54,6.73321E-13
0.56,4.7816E-13
0.58,3.25524E-13
0.6,5.21539E-13
0.62,6.5473E-13
0.64,6.5682E-13
0.66,3.91048E-13
0.68,3.27616E-13
0.7,3.1057E-13
0.72,5.77769E-13
0.74,5.23447E-13
0.76,2.45118E-13
0.78,3.16993E-13
0.8,2.90743E-13
0.82,5.01913E-13
0.84,3.28125E-13
0.86,1.53861E-13
0.88,2.98623E-13
0.9,3.45134E-13
0.92,4.8693E-13
0.94,3.14404E-13
0.96,3.55448E-13
0.98,4.66657E-14
1,1.80705E-13
1.02,3.84352E-13
1.04,2.58055E-13
1.06,1.97466E-13
1.08,2.39614E-13
1.1,3.48298E-13
1.12,4.12424E-13
1.14,2.75543E-13
1.16,2.12042E-13
1.18,2.66146E-13
1.2,5.06814E-13
1.22,4.4114E-13
1.24,1.10827E-13
1.26,3.16585E-13
1.28,3.41915E-13
1.3,5.3288E-13
1.32,5.46316E-13
1.34,2.41931E-13
1.36,3.619E-13
1.38,4.65331E-13
1.4,5.24376E-13
1.42,3.65648E-13
1.44,3.43831E-13
1.46,4.68184E-13
1.48,5.71876E-13
1.5,4.0062E-13
1.52,4.02078E-13
1.54,2.8928E-13
1.56,3.60193E-13
1.58,3.99788E-13
1.6,5.58309E-13
1.62,6.36323E-13
1.64,4.79325E-13
1.66,4.15385E-13
1.68,5.37994E-13
1.7,6.13338E-13
1.72,3.88546E-13
1.74,6.9965E-14
1.76,3.79376E-13
1.78,5.99944E-13
1.8,3.84547E-13
1.82,4.98794E-13
1.84,1.04269E-13
1.86,4.53248E-13
1.88,5.97268E-13
1.9,5.98484E-13
1.92,4.97619E-13
1.94,3.82155E-13
1.96,4.35379E-13
1.98,5.20347E-13
2,4.83952E-13
2.02,3.99941E-13
2.04,2.19211E-13
2.06,3.77097E-14
2.08,5.00641E-13
2.1,5.54918E-13
2.12,5.81938E-13
2.14,4.10577E-13
2.16,7.01935E-13
2.18,9.00965E-13
2.2,1.09554E-13
2.22,1.55581E-13
2.24,-8.63035E-13
2.26,-1.70597E-12
2.28,3.2637E-13
2.3,-2.01529E-12
2.32,-1.51923E-12
2.34,7.48777E-15
2.36,1.0683E-12
2.38,-2.53674E-12
2.4,5.64485E-13
2.42,3.52635E-12
2.44,-2.17372E-12
2.46,3.64914E-12
2.48,3.22287E-12
2.5,8.73574E-13
2.52,-4.60014E-13
2.54,5.24187E-13
2.56,3.78125E-13
2.58,2.46218E-14
2.6,5.2419E-13
2.62,1.00448E-12
2.64,2.69314E-12
2.66,-2.86465E-13
2.68,1.65015E-12
2.7,-1.25328E-12
2.72,-1.37117E-13
2.74,4.56605E-13
2.76,4.86657E-13
2.78,-1.27558E-12
2.8,8.13594E-13
2.82,3.45514E-13
2.84,3.46095E-13
2.86,2.51802E-12
2.88,2.13773E-13
2.9,5.76774E-13
2.92,1.61403E-12
2.94,-4.34464E-12
2.96,-2.72499E-12
2.98,1.27071E-14
3,-1.58448E-11
-3,-3.76808E-09
-2.98,-3.90677E-09
-2.96,-4.46058E-09
-2.94,-4.86365E-09
-2.92,-3.27156E-09
-2.9,-3.15936E-09
-2.88,-3.53389E-09
-2.86,-4.04163E-09
-2.84,-4.02308E-09
-2.82,-4.44782E-09
-2.8,-4.20224E-09
-2.78,-4.51645E-09
-2.76,-4.40136E-09
-2.74,
-2.72,
-2.7,
-2.68,
-2.66,
-2.64,
-2.62,
-2.6,
-2.58,
-2.56,-2.24011E-09
-2.54,
-2.52,
-2.5,-3.30794E-09
-2.48,
-2.46,
-2.44,
-2.42,
-2.4,
-2.38,
-2.36,
-2.34,
-2.32,-3.39134E-09
-2.3,
-2.28,-4.21656E-09
-2.26,-4.49254E-09
-2.24,
-2.22,
-2.2,
-2.18,
-2.16,-5.18298E-09
-2.14,-5.1403E-09
-2.12,-5.1796E-09
-2.1,
-2.08,-4.80498E-09
-2.06,-5.14347E-09
-2.04,-4.41642E-09
-2.02,-4.02013E-09
-2,-2.64288E-09
-1.98,
-1.96,
-1.94,
-1.92,
-1.9,
-1.88,
-1.86,
-1.84,
-1.82,
-1.8,-3.171E-09
-1.78,2.89693E-13
-1.76,2.72438E-13
-1.74,2.65313E-13
-1.72,3.09276E-13
-1.7,2.62982E-13
-1.68,2.77473E-13
-1.66,2.77458E-13
-1.64,2.96535E-13
-1.62,2.91888E-13
-1.6,2.52834E-13
-1.58,2.76096E-13
-1.56,2.82557E-13
-1.54,2.83787E-13
-1.52,2.85328E-13
-1.5,2.7654E-13
-1.48,3.32169E-13
-1.46,2.44496E-13
-1.44,2.61252E-13
-1.42,2.7778E-13
-1.4,2.632E-13
-1.38,2.67725E-13
-1.36,2.6505E-13
-1.34,3.15862E-13
-1.32,2.67135E-13
-1.3,3.01936E-13
-1.28,2.80379E-13
-1.26,2.93092E-13
-1.24,2.53581E-13
-1.22,2.82288E-13
-1.2,3.26044E-13
-1.18,2.62272E-13
-1.16,2.62003E-13
-1.14,2.32455E-13
-1.12,2.7972E-13
-1.1,2.4312E-13
-1.08,2.62808E-13
-1.06,2.37182E-13
-1.04,3.00971E-13
-1.02,2.9283E-13
-1,2.81663E-13
-0.98,2.81101E-13
-0.96,2.97414E-13
-0.94,2.58331E-13
-0.92,2.66189E-13
-0.9,2.85275E-13
-0.88,2.6119E-13
-0.86,2.92909E-13
-0.84,3.12299E-13
-0.82,2.42767E-13
-0.8,3.12643E-13
-0.78,2.61272E-13
-0.76,2.55969E-13
-0.74,2.86376E-13
-0.72,3.13327E-13
-0.7,2.54572E-13
-0.68,2.85797E-13
-0.66,2.79378E-13
-0.64,2.42685E-13
-0.62,2.82329E-13
-0.6,2.95391E-13
-0.58,2.56405E-13
-0.56,2.71008E-13
-0.54,2.50449E-13
-0.52,2.85632E-13
-0.5,2.70966E-13
-0.48,2.68046E-13
-0.46,3.00204E-13
-0.44,2.79311E-13
-0.42,2.75815E-13
-0.4,2.711E-13
-0.38,3.00833E-13
-0.36,2.68754E-13
-0.34,2.60624E-13
-0.32,2.93757E-13
-0.3,2.7652E-13
-0.28,2.81373E-13
-0.26,2.8778E-13
-0.24,2.83669E-13
-0.22,2.86816E-13
-0.2,2.58145E-13
-0.18,2.60551E-13
-0.16,2.77273E-13
-0.14,2.39011E-13
-0.12,2.94136E-13
-0.1,2.84343E-13
-0.08,3.23851E-13
-0.06,2.40409E-13
-0.04,2.3847E-13
-0.02,2.53959E-13
0,2.80454E-13
0.02,2.66904E-13
0.04,2.80251E-13
0.06,2.83183E-13
0.08,2.4974E-13
0.1,2.5467E-13
0.12,2.53225E-13
0.14,2.55336E-13
0.16,2.75132E-13
0.18,2.63399E-13
0.2,2.20901E-13
0.22,2.59419E-13
0.24,2.57784E-13
0.26,2.6729E-13
0.28,2.89437E-13
0.3,2.76984E-13
0.32,2.60829E-13
0.34,3.03104E-13
0.36,2.49139E-13
0.38,2.8691E-13
0.4,2.52861E-13
0.42,2.61775E-13
0.44,2.54155E-13
0.46,2.70746E-13
0.48,2.79315E-13
0.5,2.48315E-13
0.52,2.64637E-13
0.54,3.00967E-13
0.56,2.71236E-13
0.58,3.01671E-13
0.6,2.87859E-13
0.62,2.69101E-13
0.64,2.67887E-13
0.66,2.94385E-13
0.68,2.51862E-13
0.7,3.08309E-13
0.72,2.56683E-13
0.74,2.69641E-13
0.76,2.85584E-13
0.78,2.61238E-13
0.8,2.80143E-13
0.82,2.72197E-13
0.84,3.07186E-13
0.86,2.7856E-13
0.88,2.65237E-13
0.9,2.63716E-13
0.92,2.54076E-13
0.94,3.25352E-13
0.96,2.81339E-13
0.98,2.78876E-13
1,2.88238E-13
1.02,2.63483E-13
1.04,2.54407E-13
1.06,3.00938E-13
1.08,2.6595E-13
1.1,2.81845E-13
1.12,2.30651E-13
1.14,2.81949E-13
1.16,3.00071E-13
1.18,2.69724E-13
1.2,2.9031E-13
1.22,2.65971E-13
1.24,2.86806E-13
1.26,2.79478E-13
1.28,2.74945E-13
1.3,2.60061E-13
1.32,2.84621E-13
1.34,2.55568E-13
1.36,2.62131E-13
1.38,2.87464E-13
1.4,2.85436E-13
1.42,2.922E-13
1.44,2.73044E-13
1.46,2.37404E-13
1.48,2.44551E-13
1.5,2.60795E-13
1.52,3.31778E-13
1.54,2.75087E-13
1.56,2.48282E-13
1.58,2.75334E-13
1.6,2.85484E-13
1.62,3.06674E-13
1.64,2.92046E-13
1.66,2.41926E-13
1.68,2.49111E-13
1.7,2.46182E-13
1.72,2.94394E-13
1.74,3.00296E-13
1.76,2.8145E-13
1.78,2.81714E-13
1.8,2.44222E-13
1.82,2.55353E-13
1.84,2.69924E-13
1.86,2.56038E-13
1.88,2.81895E-13
1.9,2.75151E-13
1.92,2.77209E-13
1.94,2.69035E-13
1.96,2.50808E-13
1.98,2.48023E-13
2,2.86081E-13
2.02,2.76627E-13
2.04,2.89123E-13
2.06,2.95814E-13
2.08,2.42314E-13
2.1,2.4689E-13
2.12,2.37442E-13
2.14,2.02529E-13
2.16,2.77385E-13
2.18,2.5964E-13
2.2,2.78521E-13
2.22,2.67518E-13
2.24,2.59712E-13
2.26,2.75648E-13
2.28,2.60205E-13
2.3,2.62206E-13
2.32,2.78695E-13
2.34,2.77682E-13
2.36,2.8189E-13
2.38,2.67828E-13
2.4,2.51787E-13
2.42,2.45296E-13
2.44,2.80448E-13
2.46,2.69739E-13
2.48,2.38233E-13
2.5,2.42448E-13
2.52,2.64282E-13
2.54,3.31114E-13
2.56,2.5634E-13
2.58,2.61063E-13
2.6,2.6542E-13
2.62,3.05231E-13
2.64,3.07808E-13
2.66,3.1777E-13
2.68,3.00894E-13
2.7,2.89447E-13
2.72,2.89941E-13
2.74,2.62504E-13
2.76,2.76441E-13
2.78,2.80101E-13
2.8,3.17526E-13
2.82,2.7398E-13
2.84,2.9576E-13
2.86,2.60336E-13
2.88,2.31184E-13
2.9,1.10233E-13
2.92,2.52429E-13
2.94,2.67396E-13
2.96,3.15366E-13
2.98,2.81244E-13
3,2.75995E-13
-3,
-2.98,
-2.96,
-2.94,
-2.92,-1.02432E-09
-2.9,-9.64547E-10
-2.88,-9.97933E-10
-2.86,-1.05944E-09
-2.84,-1.05421E-09
-2.82,-1.08683E-09
-2.8,-1.07658E-09
-2.78,-1.08315E-09
-2.76,-1.07191E-09
-2.74,-1.02971E-09
-2.72,-9.14703E-10
-2.7,-6.23908E-10
-2.68,
-2.66,
-2.64,
-2.62,
-2.6,
-2.58,
-2.56,
-2.54,-7.98557E-10
-2.52,-8.67658E-10
-2.5,-7.58517E-10
-2.48,-9.59011E-10
-2.46,-9.56216E-10
-2.44,-9.79487E-10
-2.42,-1.03669E-09
-2.4,-1.01649E-09
-2.38,-9.42612E-10
-2.36,-8.82161E-10
-2.34,-7.10539E-10
-2.32,
-2.3,-7.99479E-10
-2.28,-7.06565E-10
-2.26,-8.97834E-10
-2.24,-8.61875E-10
-2.22,-8.75885E-10
-2.2,-8.13012E-10
-2.18,-8.03317E-10
-2.16,-8.14108E-10
-2.14,-8.37101E-10
-2.12,-8.47917E-10
-2.1,
-2.08,-6.56832E-10
-2.06,
-2.04,-7.42781E-10
-2.02,-7.82528E-10
-2,
-1.98,-7.96805E-10
-1.96,-7.8203E-10
-1.94,-7.53926E-10
-1.92,-7.85051E-10
-1.9,-7.95382E-10
-1.88,-7.82514E-10
-1.86,-8.02761E-10
-1.84,-8.40952E-10
-1.82,-8.54891E-10
-1.8,-8.59986E-10
-1.78,-8.10061E-10
-1.76,-8.50681E-10
-1.74,-8.76363E-10
-1.72,-4.52496E-10
-1.7,2.16373E-13
-1.68,2.14722E-13
-1.66,2.1608E-13
-1.64,2.1082E-13
-1.62,2.16493E-13
-1.6,2.126E-13
-1.58,2.08888E-13
-1.56,2.16446E-13
-1.54,2.18036E-13
-1.52,2.10922E-13
-1.5,2.16408E-13
-1.48,2.14187E-13
-1.46,2.16018E-13
-1.44,2.15672E-13
-1.42,2.21538E-13
-1.4,2.15152E-13
-1.38,2.11382E-13
-1.36,2.07607E-13
-1.34,2.17413E-13
-1.32,2.10984E-13
-1.3,2.08008E-13
-1.28,2.16683E-13
-1.26,2.20035E-13
-1.24,2.04999E-13
-1.22,2.11583E-13
-1.2,2.09314E-13
-1.18,2.17913E-13
-1.16,2.1704E-13
-1.14,2.16135E-13
-1.12,2.17621E-13
-1.1,2.14864E-13
-1.08,2.10238E-13
-1.06,2.05625E-13
-1.04,2.10725E-13
-1.02,2.05881E-13
-1,2.14147E-13
-0.98,2.14093E-13
-0.96,2.1501E-13
-0.94,2.15848E-13
-0.92,2.07508E-13
-0.9,2.11393E-13
-0.88,2.12157E-13
-0.86,2.08063E-13
-0.84,2.08664E-13
-0.82,2.13562E-13
-0.8,2.20873E-13
-0.78,2.2056E-13
-0.76,2.16106E-13
-0.74,2.12752E-13
-0.72,2.14188E-13
-0.7,2.1292E-13
-0.68,2.07771E-13
-0.66,2.11766E-13
-0.64,2.13039E-13
-0.62,2.08809E-13
-0.6,2.15948E-13
-0.58,2.0583E-13
-0.56,2.11978E-13
-0.54,2.08281E-13
-0.52,2.11174E-13
-0.5,2.07465E-13
-0.48,2.07683E-13
-0.46,2.10196E-13
-0.44,2.07901E-13
-0.42,2.04094E-13
-0.4,2.19083E-13
-0.38,2.1525E-13
-0.36,2.14511E-13
-0.34,2.1383E-13
-0.32,2.07354E-13
-0.3,2.14033E-13
-0.28,2.17208E-13
-0.26,2.16095E-13
-0.24,2.12992E-13
-0.22,2.12714E-13
-0.2,2.15617E-13
-0.18,2.11164E-13
-0.16,2.06292E-13
-0.14,2.06253E-13
-0.12,2.13722E-13
-0.1,2.179E-13
-0.08,2.1918E-13
-0.06,2.11756E-13
-0.04,2.22419E-13
-0.02,2.20117E-13
0,2.10856E-13
0.02,2.14198E-13
0.04,2.10444E-13
0.06,2.14943E-13
0.08,2.13031E-13
0.1,2.12151E-13
0.12,2.12344E-13
0.14,2.13476E-13
0.16,2.1469E-13
0.18,2.1168E-13
0.2,2.10966E-13
0.22,2.03917E-13
0.24,2.08917E-13
0.26,2.17733E-13
0.28,2.01637E-13
0.3,2.22423E-13
0.32,2.04806E-13
0.34,2.17451E-13
0.36,2.17995E-13
0.38,2.16484E-13
0.4,2.11329E-13
0.42,2.11825E-13
0.44,2.05578E-13
0.46,2.10077E-13
0.48,2.1365E-13
0.5,2.08939E-13
0.52,2.16041E-13
0.54,2.12524E-13
0.56,2.1009E-13
0.58,2.17167E-13
0.6,2.09347E-13
0.62,2.19467E-13
0.64,2.17561E-13
0.66,2.10061E-13
0.68,2.09485E-13
0.7,2.13122E-13
0.72,2.15994E-13
0.74,2.16222E-13
0.76,2.07438E-13
0.78,2.08629E-13
0.8,2.11804E-13
0.82,2.16845E-13
0.84,2.17565E-13
0.86,2.14749E-13
0.88,2.12752E-13
0.9,2.11415E-13
0.92,2.0568E-13
0.94,2.0767E-13
0.96,2.11806E-13
0.98,2.13232E-13
1,2.11348E-13
1.02,2.10142E-13
1.04,2.16882E-13
1.06,2.12012E-13
1.08,2.19665E-13
1.1,2.11873E-13
1.12,2.22712E-13
1.14,2.18687E-13
1.16,2.10681E-13
1.18,2.13498E-13
1.2,2.20844E-13
1.22,2.14345E-13
1.24,2.09283E-13
1.26,2.07569E-13
1.28,2.15469E-13
1.3,2.27767E-13
1.32,2.13758E-13
1.34,2.12765E-13
1.36,2.13238E-13
1.38,2.13698E-13
1.4,2.18223E-13
1.42,2.11507E-13
1.44,2.13996E-13
1.46,2.10182E-13
1.48,2.18386E-13
1.5,2.12439E-13
1.52,2.18542E-13
1.54,2.19041E-13
1.56,2.11459E-13
1.58,2.14051E-13
1.6,2.17612E-13
1.62,2.11945E-13
1.64,2.17005E-13
1.66,2.2125E-13
1.68,2.15658E-13
1.7,2.11712E-13
1.72,2.09716E-13
1.74,2.15306E-13
1.76,2.041E-13
1.78,2.02344E-13
1.8,2.20737E-13
1.82,2.1655E-13
1.84,2.09392E-13
1.86,2.17217E-13
1.88,2.20173E-13
1.9,2.15118E-13
1.92,2.08362E-13
1.94,2.08347E-13
1.96,2.13242E-13
1.98,2.07022E-13
2,2.17185E-13
2.02,2.14979E-13
2.04,2.16522E-13
2.06,2.14858E-13
2.08,2.12692E-13
2.1,2.08853E-13
2.12,2.12572E-13
2.14,2.12067E-13
2.16,2.0717E-13
2.18,2.10599E-13
2.2,2.15902E-13
2.22,2.08479E-13
2.24,2.11623E-13
2.26,2.10599E-13
2.28,2.13944E-13
2.3,2.0917E-13
2.32,2.09467E-13
2.34,2.13027E-13
2.36,2.12243E-13
2.38,2.12398E-13
2.4,2.18766E-13
2.42,2.09236E-13
2.44,1.99864E-13
2.46,2.10297E-13
2.48,2.20719E-13
2.5,2.17135E-13
2.52,2.09294E-13
2.54,2.10358E-13
2.56,2.16255E-13
2.58,2.138E-13
2.6,2.06569E-13
2.62,2.10106E-13
2.64,2.09801E-13
2.66,2.08837E-13
2.68,2.11239E-13
2.7,2.06513E-13
2.72,2.11367E-13
2.74,2.21754E-13
2.76,2.13638E-13
2.78,2.11614E-13
2.8,2.08081E-13
2.82,2.16971E-13
2.84,2.10555E-13
2.86,2.09168E-13
2.88,2.16316E-13
2.9,2.12366E-13
2.92,2.18622E-13
2.94,2.18228E-13
2.96,2.12057E-13
2.98,2.15873E-13
3,2.17387E-13
