Setup title,"I/V Sweep_0_-1_Dark"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,16:08:06
Device ID,
Count,2
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-1
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,6
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,6
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-3.1E-13
-0.01,-3.8E-13
-0.02,-2.1E-13
-0.03,-2.4E-13
-0.04,-2.2E-13
-0.05,-5.2E-13
-0.06,-4.2E-13
-0.07,-4.2E-13
-0.08,-4.3E-13
-0.09,-4.1E-13
-0.1,-4.7E-13
-0.11,-3.4E-13
-0.12,-4.2E-13
-0.13,-4.1E-13
-0.14,-5.6E-13
-0.15,-6.9E-13
-0.16,-6E-13
-0.17,-8.4E-13
-0.18,-5.8E-13
-0.19,-3.9E-13
-0.2,-4E-13
-0.21,-6.6E-13
-0.22,-1.04E-12
-0.23,-9.5E-13
-0.24,-9.3E-13
-0.25,-7.6E-13
-0.26,-7.2E-13
-0.27,-9E-13
-0.28,-1.11E-12
-0.29,-9.5E-13
-0.3,-9.5E-13
-0.31,-7.8E-13
-0.32,-1.09E-12
-0.33,-1.1E-12
-0.34,-1.15E-12
-0.35,-1.26E-12
-0.36,-1.2E-12
-0.37,-1.11E-12
-0.38,-1.17E-12
-0.39,-1.38E-12
-0.4,-1.53E-12
-0.41,-1.53E-12
-0.42,-1.47E-12
-0.43,-1.44E-12
-0.44,-1.55E-12
-0.45,-1.52E-12
-0.46,-1.57E-12
-0.47,-1.72E-12
-0.48,-1.58E-12
-0.49,-1.67E-12
-0.5,-1.83E-12
-0.51,-1.91E-12
-0.52,-2.17E-12
-0.53,-2E-12
-0.54,-1.94E-12
-0.55,-1.91E-12
-0.56,-2.09E-12
-0.57,-2.36E-12
-0.58,-2.63E-12
-0.59,-2.7E-12
-0.6,-2.62E-12
-0.61,-2.79E-12
-0.62,-2.79E-12
-0.63,-3.12E-12
-0.64,-3.2E-12
-0.65,-3.11E-12
-0.66,-3E-12
-0.67,-3.13E-12
-0.68,-3.34E-12
-0.69,-3.48E-12
-0.7,-3.48E-12
-0.71,-3.96E-12
-0.72,-4.04E-12
-0.73,-4.22E-12
-0.74,-4.25E-12
-0.75,-4.19E-12
-0.76,-4.47E-12
-0.77,-4.57E-12
-0.78,-7.23E-12
-0.79,-9.7E-12
-0.8,-9.95E-12
-0.81,-1.01E-11
-0.82,-9.17E-12
-0.83,-1.007E-11
-0.84,-1.025E-11
-0.85,-1.025E-11
-0.86,-9.7E-12
-0.87,-9.76E-12
-0.88,-1.022E-11
-0.89,-9.84E-12
-0.9,-8.95E-12
-0.91,-1.682E-11
-0.92,-1.35E-11
-0.93,-1.415E-11
-0.94,-1.293E-11
-0.95,-1.353E-11
-0.96,-1.15E-11
-0.97,-1.592E-11
-0.98,-1.633E-11
-0.99,-1.549E-11
-1,-1.779E-11
-1,-1.761E-11
-0.99,-1.67E-11
-0.98,-1.25E-11
-0.97,-1.317E-11
-0.96,-1.251E-11
-0.95,-1.443E-11
-0.94,-1.651E-11
-0.93,-1.612E-11
-0.92,-1.599E-11
-0.91,-1.579E-11
-0.9,-1.525E-11
-0.89,-1.497E-11
-0.88,-1.46E-11
-0.87,-1.416E-11
-0.86,-1.38E-11
-0.85,-1.346E-11
-0.84,-1.265E-11
-0.83,-1.255E-11
-0.82,-1.229E-11
-0.81,-1.195E-11
-0.8,-1.176E-11
-0.79,-1.16E-11
-0.78,-1.077E-11
-0.77,-9.49E-12
-0.76,-9.37E-12
-0.75,-9.25E-12
-0.74,-9.14E-12
-0.73,-9.26E-12
-0.72,-9.21E-12
-0.71,-8.32E-12
-0.7,-8.22E-12
-0.69,-7.87E-12
-0.68,-7.53E-12
-0.67,-7.36E-12
-0.66,-6.77E-12
-0.65,-6.13E-12
-0.64,-5.88E-12
-0.63,-5.56E-12
-0.62,-5.5E-12
-0.61,-5.01E-12
-0.6,-4.7E-12
-0.59,-4.4E-12
-0.58,-4.36E-12
-0.57,-3.82E-12
-0.56,-3.69E-12
-0.55,-4.2E-12
-0.54,-3.78E-12
-0.53,-3.74E-12
-0.52,-3.34E-12
-0.51,-3.24E-12
-0.5,-3.03E-12
-0.49,-3.04E-12
-0.48,-2.86E-12
-0.47,-2.59E-12
-0.46,-2.39E-12
-0.45,-1.57E-12
-0.44,-1.52E-12
-0.43,-1.54E-12
-0.42,-1.72E-12
-0.41,-1.57E-12
-0.4,-1.44E-12
-0.39,-1.25E-12
-0.38,-1.31E-12
-0.37,-1.16E-12
-0.36,-1.25E-12
-0.35,-1.3E-12
-0.34,-1.08E-12
-0.33,-8E-13
-0.32,-9.3E-13
-0.31,-1.01E-12
-0.3,-7.3E-13
-0.29,-7.8E-13
-0.28,-8.4E-13
-0.27,-8.7E-13
-0.26,-6.3E-13
-0.25,-1.01E-12
-0.24,-9.4E-13
-0.23,-6.6E-13
-0.22,-5.5E-13
-0.21,-5E-13
-0.2,-7.5E-13
-0.19,-5.5E-13
-0.18,-6.3E-13
-0.17,-3.2E-13
-0.16,-3.1E-13
-0.15,-3.7E-13
-0.14,-4.5E-13
-0.13,-5.8E-13
-0.12,-5.9E-13
-0.11,-3.6E-13
-0.1,-2.9E-13
-0.09,-2.3E-13
-0.08,-2.9E-13
-0.07,-4.5E-13
-0.06,-3.8E-13
-0.05,-2.3E-13
-0.04,-2.2E-13
-0.03,-1.7E-13
-0.02,-3.7E-13
-0.01,-1.9E-13
0,-1.6E-13
