Setup title,"I/V Sweep_0_-2_Dark[4]"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,16:33:00
Device ID,
Count,10
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-2
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,1.67261E-09
-0.01,-5.22263E-07
-0.02,-1.062586E-06
-0.03,-1.61165E-06
-0.04,-2.1625E-06
-0.05,-2.7186E-06
-0.06,-3.33566E-06
-0.07,-3.96957E-06
-0.08,-4.60891E-06
-0.09,-5.27756E-06
-0.1,-5.98559E-06
-0.11,-6.70004E-06
-0.12,-7.437E-06
-0.13,-8.24176E-06
-0.14,-8.99734E-06
-0.15,-9.83017E-06
-0.16,-1.07958E-05
-0.17,-1.17212E-05
-0.18,-1.26342E-05
-0.19,-1.35097E-05
-0.2,-1.44876E-05
-0.21,-1.55759E-05
-0.22,-1.66715E-05
-0.23,-1.77096E-05
-0.24,-1.87402E-05
-0.25,-1.9881E-05
-0.26,-2.11288E-05
-0.27,-2.25681E-05
-0.28,-2.38102E-05
-0.29,-2.50381E-05
-0.3,-2.64155E-05
-0.31,-2.7767E-05
-0.32,-2.92223E-05
-0.33,-3.05544E-05
-0.34,-3.20244E-05
-0.35,-3.35092E-05
-0.36,-3.50154E-05
-0.37,-3.65902E-05
-0.38,-3.81427E-05
-0.39,-3.96862E-05
-0.4,-4.11665E-05
-0.41,-4.29102E-05
-0.42,-4.43939E-05
-0.43,-4.60328E-05
-0.44,-4.78171E-05
-0.45,-4.94756E-05
-0.46,-5.14744E-05
-0.47,-5.30401E-05
-0.48,-5.50005E-05
-0.49,-5.69917E-05
-0.5,-5.90559E-05
-0.51,-6.07708E-05
-0.52,-6.25265E-05
-0.53,-6.44709E-05
-0.54,-6.64655E-05
-0.55,-6.85018E-05
-0.56,-7.06237E-05
-0.57,-7.26245E-05
-0.58,-7.45136E-05
-0.59,-7.65442E-05
-0.6,-7.85872E-05
-0.61,-8.05846E-05
-0.62,-8.27101E-05
-0.63,-8.50782E-05
-0.64,-8.74658E-05
-0.65,-8.96435E-05
-0.66,-9.22093E-05
-0.67,-9.47618E-05
-0.68,-9.71157E-05
-0.69,-9.92335E-05
-0.7,-0.0001026046
-0.71,-0.0001058458
-0.72,-0.0001081201
-0.73,-0.0001106489
-0.74,-0.0001129486
-0.75,-0.000115732
-0.76,-0.000118351
-0.77,-0.000119758
-0.78,-0.000121945
-0.79,-0.000124539
-0.8,-0.000127407
-0.81,-0.000130108
-0.82,-0.000134191
-0.83,-2.4027E-05
-0.84,-2.44879E-09
-0.85,-9.6432E-09
-0.86,-9.7155E-09
-0.87,-5.8827E-09
-0.88,-2.34603E-08
-0.89,-1.73453E-08
-0.9,-1.8448E-08
-0.91,-1.22171E-08
-0.92,-9.9222E-09
-0.93,-8.908E-09
-0.94,-1.28762E-08
-0.95,-8.4705E-09
-0.96,-1.04437E-08
-0.97,-1.19537E-08
-0.98,-1.21851E-08
-0.99,-1.44026E-08
-1,-1.66265E-08
-1.01,-1.48244E-08
-1.02,-2.72083E-08
-1.03,-2.53327E-08
-1.04,-1.62911E-08
-1.05,-1.19663E-08
-1.06,-1.46512E-08
-1.07,-1.86455E-08
-1.08,-2.03788E-08
-1.09,-1.74321E-08
-1.1,-1.69553E-08
-1.11,-1.34931E-08
-1.12,-1.52009E-08
-1.13,-1.38487E-08
-1.14,-1.94187E-08
-1.15,-1.66317E-08
-1.16,-1.74109E-08
-1.17,-1.89979E-08
-1.18,-2.3117E-08
-1.19,-2.65478E-08
-1.2,-2.93015E-08
-1.21,-3.1753E-08
-1.22,-1.88116E-07
-1.23,-1.39606E-07
-1.24,-8.6982E-08
-1.25,-8.9917E-08
-1.26,-1.13845E-07
-1.27,-2.2232E-07
-1.28,-9.9653E-08
-1.29,-2.27773E-07
-1.3,-2.3767E-07
-1.31,-2.21377E-07
-1.32,-2.31886E-07
-1.33,-2.22906E-07
-1.34,-1.91345E-07
-1.35,-2.10453E-07
-1.36,-2.28446E-07
-1.37,-2.27434E-07
-1.38,-1.78726E-07
-1.39,-2.11486E-07
-1.4,-1.91191E-07
-1.41,-1.96298E-07
-1.42,-2.03345E-07
-1.43,-2.11023E-07
-1.44,-2.33203E-07
-1.45,-2.31432E-07
-1.46,-2.2311E-07
-1.47,-2.37082E-07
-1.48,-2.2091E-07
-1.49,-2.45873E-07
-1.5,-2.01911E-07
-1.51,-2.05987E-07
-1.52,-2.12777E-07
-1.53,-3.06196E-07
-1.54,-3.54656E-07
-1.55,-3.67227E-07
-1.56,-3.3258E-07
-1.57,-3.67448E-07
-1.58,-4.06539E-07
-1.59,-3.95397E-07
-1.6,-4.23347E-07
-1.61,-0.000200044
-1.62,-0.000200041
-1.63,-0.000200041
-1.64,-0.00020004
-1.65,-0.00020004
-1.66,-0.00020004
-1.67,-0.000200041
-1.68,-0.000200041
-1.69,-0.00020004
-1.7,-0.00020004
-1.71,-0.00020004
-1.72,-0.00020004
-1.73,-0.00020004
-1.74,-0.000200039
-1.75,-0.00020004
-1.76,-0.00020004
-1.77,-0.00020004
-1.78,-0.00020004
-1.79,-0.00020004
-1.8,-0.000200041
-1.81,-0.000200039
-1.82,-0.00020004
-1.83,-0.00020004
-1.84,-0.00020004
-1.85,-0.00020004
-1.86,-0.000200039
-1.87,-0.00020004
-1.88,-0.00020004
-1.89,-0.00020004
-1.9,-0.00020004
-1.91,-0.000200039
-1.92,-0.00020004
-1.93,-0.00020004
-1.94,-0.00020004
-1.95,-0.000200039
-1.96,-0.000200039
-1.97,-0.00020004
-1.98,-0.00020004
-1.99,-0.00020004
-2,-0.00020004
-2,-0.00020004
-1.99,-0.00020004
-1.98,-0.000200039
-1.97,-0.00020004
-1.96,-0.000200039
-1.95,-0.000200039
-1.94,-0.00020004
-1.93,-0.000200039
-1.92,-0.00020004
-1.91,-0.000200039
-1.9,-0.00020004
-1.89,-0.000200041
-1.88,-0.00020004
-1.87,-0.000200039
-1.86,-0.00020004
-1.85,-0.00020004
-1.84,-0.00020004
-1.83,-0.00020004
-1.82,-0.00020004
-1.81,-0.00020004
-1.8,-0.00020004
-1.79,-0.000200039
-1.78,-0.000200039
-1.77,-0.000200039
-1.76,-0.000200039
-1.75,-0.00020004
-1.74,-0.000200039
-1.73,-0.000200039
-1.72,-0.00020004
-1.71,-0.000200039
-1.7,-0.00020004
-1.69,-0.00020004
-1.68,-0.000200039
-1.67,-0.000200039
-1.66,-0.00020004
-1.65,-0.00020004
-1.64,-0.00020004
-1.63,-0.000200039
-1.62,-0.000200039
-1.61,-0.000200039
-1.6,-0.000200039
-1.59,-0.00020004
-1.58,-0.00020004
-1.57,-0.000200039
-1.56,-0.00020004
-1.55,-0.000200039
-1.54,-0.000200039
-1.53,-0.000200039
-1.52,-0.000200039
-1.51,-0.00020004
-1.5,-0.000200039
-1.49,-0.000200039
-1.48,-0.000200039
-1.47,-0.000200039
-1.46,-0.00020004
-1.45,-0.000200039
-1.44,-0.000200039
-1.43,-0.000200039
-1.42,-0.000200039
-1.41,-0.000200039
-1.4,-0.000200039
-1.39,-0.00020004
-1.38,-0.000200039
-1.37,-0.000200039
-1.36,-0.000200039
-1.35,-0.000200039
-1.34,-0.00020004
-1.33,-0.00020004
-1.32,-0.000200039
-1.31,-0.000200039
-1.3,-0.000200039
-1.29,-0.000200039
-1.28,-0.000200039
-1.27,-0.000200039
-1.26,-0.000200039
-1.25,-0.000200039
-1.24,-0.00020004
-1.23,-0.000200039
-1.22,-0.000200039
-1.21,-0.00020004
-1.2,-0.000200039
-1.19,-0.00020004
-1.18,-6.2283E-05
-1.17,-0.000199921
-1.16,-0.000200034
-1.15,-0.00020004
-1.14,-0.000200039
-1.13,-0.000200035
-1.12,-0.000197296
-1.11,-0.000196757
-1.1,-0.000199296
-1.09,-0.000199969
-1.08,-0.000197923
-1.07,-0.000194207
-1.06,-0.000187955
-1.05,-0.000183788
-1.04,-0.000181135
-1.03,-0.000178064
-1.02,-0.000174972
