Setup title,"I/V Sweep_0_2v_dark"
Classic test name,"I/V Sweep"
Test date,3/29/2023
Test time,16:06:02
Device ID,1
Count,3
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,2
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,4.8196E-10
0.01,7.145E-08
0.02,1.41547E-07
0.03,2.10456E-07
0.04,2.77845E-07
0.05,3.44745E-07
0.06,4.1074E-07
0.07,4.76182E-07
0.08,5.40678E-07
0.09,6.04941E-07
0.1,6.6865E-07
0.11,7.32387E-07
0.12,7.99235E-07
0.13,8.62055E-07
0.14,9.24068E-07
0.15,9.87038E-07
0.16,1.051064E-06
0.17,1.111659E-06
0.18,1.1735E-06
0.19,1.23779E-06
0.2,1.29862E-06
0.21,1.35968E-06
0.22,1.42212E-06
0.23,1.48436E-06
0.24,1.5502E-06
0.25,1.61218E-06
0.26,1.67207E-06
0.27,1.73562E-06
0.28,1.79806E-06
0.29,1.85951E-06
0.3,1.91411E-06
0.31,1.97286E-06
0.32,2.03599E-06
0.33,2.09556E-06
0.34,2.15766E-06
0.35,2.21953E-06
0.36,2.28284E-06
0.37,2.35901E-06
0.38,2.42194E-06
0.39,2.4785E-06
0.4,2.54438E-06
0.41,2.60913E-06
0.42,2.67234E-06
0.43,2.73754E-06
0.44,2.78918E-06
0.45,2.8485E-06
0.46,2.9121E-06
0.47,2.98704E-06
0.48,3.05401E-06
0.49,3.11416E-06
0.5,3.17709E-06
0.51,3.24162E-06
0.52,3.30165E-06
0.53,3.36599E-06
0.54,3.43011E-06
0.55,3.4912E-06
0.56,3.55153E-06
0.57,3.61361E-06
0.58,3.68072E-06
0.59,3.74306E-06
0.6,3.80306E-06
0.61,3.86985E-06
0.62,3.93609E-06
0.63,3.99873E-06
0.64,4.06589E-06
0.65,4.13362E-06
0.66,4.19972E-06
0.67,4.27022E-06
0.68,4.33266E-06
0.69,4.39263E-06
0.7,4.45811E-06
0.71,4.52003E-06
0.72,4.58145E-06
0.73,4.64582E-06
0.74,4.71236E-06
0.75,4.78102E-06
0.76,4.84368E-06
0.77,4.90101E-06
0.78,4.9693E-06
0.79,5.03491E-06
0.8,5.09224E-06
0.81,5.15684E-06
0.82,5.2102E-06
0.83,5.26351E-06
0.84,5.34124E-06
0.85,5.41235E-06
0.86,5.48016E-06
0.87,5.53673E-06
0.88,5.59993E-06
0.89,5.66827E-06
0.9,5.74622E-06
0.91,5.78624E-06
0.92,5.85204E-06
0.93,5.92802E-06
0.94,5.99806E-06
0.95,6.06532E-06
0.96,6.12461E-06
0.97,6.19912E-06
0.98,6.22572E-06
0.99,6.30023E-06
1,6.3552E-06
1.01,6.42882E-06
1.02,6.48325E-06
1.03,6.54706E-06
1.04,6.61824E-06
1.05,6.65705E-06
1.06,6.74763E-06
1.07,6.79514E-06
1.08,6.88444E-06
1.09,6.9424E-06
1.1,6.99438E-06
1.11,7.06677E-06
1.12,7.13515E-06
1.13,7.21169E-06
1.14,7.26489E-06
1.15,7.34515E-06
1.16,7.40909E-06
1.17,7.47826E-06
1.18,7.52009E-06
1.19,7.59052E-06
1.2,7.6569E-06
1.21,7.72986E-06
1.22,7.7895E-06
1.23,7.85499E-06
1.24,7.9381E-06
1.25,8.00636E-06
1.26,8.05867E-06
1.27,8.15466E-06
1.28,8.2228E-06
1.29,8.28034E-06
1.3,8.33721E-06
1.31,8.43637E-06
1.32,8.49276E-06
1.33,8.56541E-06
1.34,8.6143E-06
1.35,8.68206E-06
1.36,8.72579E-06
1.37,8.82291E-06
1.38,8.84771E-06
1.39,8.93328E-06
1.4,9.02597E-06
1.41,9.06165E-06
1.42,9.1849E-06
1.43,9.20357E-06
1.44,9.24893E-06
1.45,9.3459E-06
1.46,9.41534E-06
1.47,9.48238E-06
1.48,9.52307E-06
1.49,9.58165E-06
1.5,9.66113E-06
1.51,9.73019E-06
1.52,9.79705E-06
1.53,9.84763E-06
1.54,9.91731E-06
1.55,1.005426E-05
1.56,1.011903E-05
1.57,1.019472E-05
1.58,1.027718E-05
1.59,1.027339E-05
1.6,1.035623E-05
1.61,1.041321E-05
1.62,1.048928E-05
1.63,1.054757E-05
1.64,1.058284E-05
1.65,1.063601E-05
1.66,1.078825E-05
1.67,1.085801E-05
1.68,1.091409E-05
1.69,1.093332E-05
1.7,1.098241E-05
1.71,1.106632E-05
1.72,1.11851E-05
1.73,1.123443E-05
1.74,1.133113E-05
1.75,1.140062E-05
1.76,1.141439E-05
1.77,1.14904E-05
1.78,1.15842E-05
1.79,1.16412E-05
