Setup title,"I/V Sweep_light_0-1"
Classic test name,"I/V Sweep"
Test date,3/29/2023
Test time,16:20:51
Device ID,1
Count,1
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,1
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,0.001
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.001,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,1.08867E-08
0.01,8.66641E-08
0.02,1.61753E-07
0.03,2.35011E-07
0.04,3.06789E-07
0.05,3.77447E-07
0.06,4.47367E-07
0.07,5.16542E-07
0.08,5.8662E-07
0.09,6.53877E-07
0.1,7.21602E-07
0.11,7.92023E-07
0.12,8.6223E-07
0.13,9.33714E-07
0.14,1.002636E-06
0.15,1.068581E-06
0.16,1.140395E-06
0.17,1.2156E-06
0.18,1.27639E-06
0.19,1.34091E-06
0.2,1.40427E-06
0.21,1.47424E-06
0.22,1.54657E-06
0.23,1.61522E-06
0.24,1.6801E-06
0.25,1.74677E-06
0.26,1.81331E-06
0.27,1.87581E-06
0.28,1.94888E-06
0.29,2.01497E-06
0.3,2.10327E-06
0.31,2.17254E-06
0.32,2.24201E-06
0.33,2.32169E-06
0.34,2.40589E-06
0.35,2.50616E-06
0.36,2.59024E-06
0.37,2.67953E-06
0.38,2.74988E-06
0.39,2.80307E-06
0.4,2.8611E-06
0.41,2.93E-06
0.42,3.0139E-06
0.43,3.08975E-06
0.44,3.13155E-06
0.45,3.19345E-06
0.46,3.26646E-06
0.47,3.34086E-06
0.48,3.40158E-06
0.49,3.47387E-06
0.5,3.54971E-06
0.51,3.61812E-06
0.52,3.67461E-06
0.53,3.72709E-06
0.54,3.81159E-06
0.55,3.90415E-06
0.56,3.94808E-06
0.57,4.01239E-06
0.58,4.0894E-06
0.59,4.14232E-06
0.6,4.19565E-06
0.61,4.26109E-06
0.62,4.3212E-06
0.63,4.38559E-06
0.64,4.46094E-06
0.65,4.52892E-06
0.66,4.58549E-06
0.67,4.64817E-06
0.68,4.72236E-06
0.69,4.78156E-06
0.7,4.82943E-06
0.71,4.89253E-06
0.72,4.97582E-06
0.73,5.04245E-06
0.74,5.10214E-06
0.75,5.15248E-06
0.76,5.21578E-06
0.77,5.32496E-06
0.78,5.35523E-06
0.79,5.43982E-06
0.8,5.48907E-06
0.81,5.55443E-06
0.82,5.65261E-06
0.83,5.71725E-06
0.84,5.81466E-06
0.85,5.87376E-06
0.86,5.94446E-06
0.87,6.00286E-06
0.88,6.05272E-06
0.89,6.14011E-06
0.9,6.19592E-06
0.91,6.22081E-06
0.92,6.29916E-06
0.93,6.33325E-06
0.94,6.40692E-06
0.95,6.46605E-06
0.96,6.52462E-06
0.97,6.56498E-06
0.98,6.64423E-06
0.99,6.73023E-06
1,6.79037E-06
1,6.79017E-06
0.99,6.71069E-06
0.98,6.6698E-06
0.97,6.59076E-06
0.96,6.51372E-06
0.95,6.46301E-06
0.94,6.38202E-06
0.93,6.30212E-06
0.92,6.24869E-06
0.91,6.14363E-06
0.9,6.072E-06
0.89,6.01048E-06
0.88,5.92164E-06
0.87,5.84542E-06
0.86,5.77069E-06
0.85,5.72322E-06
0.84,5.6657E-06
0.83,5.59307E-06
0.82,5.52382E-06
0.81,5.48139E-06
0.8,5.40719E-06
0.79,5.33163E-06
0.78,5.27809E-06
0.77,5.22849E-06
0.76,5.15288E-06
0.75,5.07977E-06
0.74,4.99447E-06
0.73,4.90663E-06
0.72,4.85736E-06
0.71,4.7973E-06
0.7,4.7296E-06
0.69,4.6453E-06
0.68,4.58716E-06
0.67,4.50668E-06
0.66,4.40567E-06
0.65,4.34395E-06
0.64,4.27811E-06
0.63,4.20989E-06
0.62,4.1518E-06
0.61,4.09436E-06
0.6,4.02331E-06
0.59,3.94843E-06
0.58,3.89044E-06
0.57,3.81778E-06
0.56,3.76441E-06
0.55,3.69756E-06
0.54,3.6339E-06
0.53,3.56362E-06
0.52,3.50627E-06
0.51,3.44453E-06
0.5,3.35345E-06
0.49,3.27691E-06
0.48,3.2197E-06
0.47,3.17172E-06
0.46,3.08845E-06
0.45,3.02472E-06
0.44,2.95418E-06
0.43,2.89267E-06
0.42,2.81843E-06
0.41,2.76217E-06
0.4,2.70736E-06
0.39,2.64368E-06
0.38,2.58543E-06
0.37,2.50971E-06
0.36,2.43266E-06
0.35,2.371E-06
0.34,2.30398E-06
0.33,2.23914E-06
0.32,2.18233E-06
0.31,2.12205E-06
0.3,2.05582E-06
0.29,1.98458E-06
0.28,1.91743E-06
0.27,1.85115E-06
0.26,1.77808E-06
0.25,1.71046E-06
0.24,1.64476E-06
0.23,1.57698E-06
0.22,1.51269E-06
0.21,1.44597E-06
