Setup title,"C-V Sweep_check"
Classic test name,"C-V Sweep"
Test date,3/29/2023
Test time,15:30:35
Device ID,
Count,2
Flags,
Remarks,
Channel.UnitTyp,CMU
Channel.Unit,CMU1:MF/SC
Channel.IName,
Channel.VName,VBias
Channel.Mode,
Channel.Func,VAR1
Channel.Index,
Channel.Time,
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,-3
Measurement.Primary.Stop,3
Measurement.Primary.Step,0.01
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Secondary.ACLevel,0.03
Measurement.Secondary.FName,Freq
Measurement.Secondary.Frequency,10000
Measurement.Bias.Source,0
Measurement.ImpedanceMode.Model,Cp-G
Measurement.ImpedanceMode.CName,C
Measurement.ImpedanceMode.LName,L
Measurement.ImpedanceMode.GName,G
Measurement.ImpedanceMode.RName,R
Measurement.ImpedanceMode.QName,Q
Measurement.ImpedanceMode.DName,D
Measurement.ImpedanceMode.YName,Y
Measurement.ImpedanceMode.ZName,Z
Measurement.ImpedanceMode.ThName,Theta
Measurement.ImpedanceMode.BName,B
Measurement.ImpedanceMode.XName,X
Measurement.Monitor.Unit,CMU1:MF/SC
Measurement.Monitor.RangingMode,AUTO
Measurement.Monitor.RangeBoundary,50
Measurement.Monitor.AcMonitorSymbol,
Measurement.Monitor.DcMonitorSymbol,
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.UnitType,Cmu,Smu
Measurement.Adc.HighResolution.Mode,AUTO,AUTO
Measurement.Adc.HighResolution.Coeff,2,10
Measurement.Adc.HighSpeed.Mode,AUTO
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,VBias
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-3
Output.Graph.XAxis.Right,3
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,C
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,0
Output.Graph.YAxis.Top,1E-10
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
VBias,C
-3,4.60817E-13
-2.99,4.40282E-13
-2.98,4.95569E-13
-2.97,4.9203E-13
-2.96,4.71457E-13
-2.95,4.84647E-13
-2.94,4.48506E-13
-2.93,4.51371E-13
-2.92,4.2054E-13
-2.91,4.62736E-13
-2.9,4.48665E-13
-2.89,4.46486E-13
-2.88,3.95654E-13
-2.87,3.90724E-13
-2.86,4.5861E-13
-2.85,4.98842E-13
-2.84,4.49281E-13
-2.83,4.46559E-13
-2.82,4.26941E-13
-2.81,4.60178E-13
-2.8,4.50325E-13
-2.79,4.41404E-13
-2.78,5.19408E-13
-2.77,4.8532E-13
-2.76,4.49414E-13
-2.75,4.31099E-13
-2.74,4.46132E-13
-2.73,4.27956E-13
-2.72,4.5073E-13
-2.71,4.40475E-13
-2.7,4.38403E-13
-2.69,4.55153E-13
-2.68,4.39159E-13
-2.67,4.20616E-13
-2.66,4.51454E-13
-2.65,4.5128E-13
-2.64,4.37559E-13
-2.63,4.67887E-13
-2.62,4.49537E-13
-2.61,4.70256E-13
-2.6,4.31345E-13
-2.59,4.47267E-13
-2.58,5.25613E-13
-2.57,4.48057E-13
-2.56,4.69415E-13
-2.55,4.40196E-13
-2.54,4.05615E-13
-2.53,4.31048E-13
-2.52,4.31456E-13
-2.51,4.29148E-13
-2.5,4.45161E-13
-2.49,4.68827E-13
-2.48,4.63985E-13
-2.47,3.88666E-13
-2.46,4.1956E-13
-2.45,4.05261E-13
-2.44,4.45487E-13
-2.43,4.37872E-13
-2.42,4.6956E-13
-2.41,4.42176E-13
-2.4,3.96973E-13
-2.39,4.56532E-13
-2.38,4.49322E-13
-2.37,4.59375E-13
-2.36,4.75334E-13
-2.35,4.26618E-13
-2.34,4.22959E-13
-2.33,4.00302E-13
-2.32,4.16866E-13
-2.31,4.13296E-13
-2.3,4.83897E-13
-2.29,4.44769E-13
-2.28,4.59153E-13
-2.27,4.60788E-13
-2.26,4.3391E-13
-2.25,4.47567E-13
-2.24,4.51479E-13
-2.23,4.20502E-13
-2.22,3.35905E-13
-2.21,4.50028E-13
-2.2,4.48029E-13
-2.19,4.58967E-13
-2.18,4.09116E-13
-2.17,4.08758E-13
-2.16,4.36655E-13
-2.15,4.41524E-13
-2.14,4.91474E-13
-2.13,4.28364E-13
-2.12,4.18751E-13
-2.11,4.36832E-13
-2.1,4.47068E-13
-2.09,4.56693E-13
-2.08,4.43864E-13
-2.07,4.37572E-13
-2.06,4.2351E-13
-2.05,4.57158E-13
-2.04,4.00341E-13
-2.03,4.44623E-13
-2.02,4.91809E-13
-2.01,4.32667E-13
-2,4.54091E-13
-1.99,4.54208E-13
-1.98,4.32345E-13
-1.97,4.58986E-13
-1.96,4.09359E-13
-1.95,4.49076E-13
-1.94,4.54024E-13
-1.93,4.31535E-13
-1.92,4.45667E-13
-1.91,4.18747E-13
-1.9,4.27956E-13
-1.89,4.15712E-13
-1.88,4.21647E-13
-1.87,4.20901E-13
-1.86,4.67113E-13
-1.85,4.7997E-13
-1.84,3.54752E-13
-1.83,4.4297E-13
-1.82,4.63622E-13
-1.81,4.42736E-13
-1.8,4.01223E-13
-1.79,3.72321E-13
-1.78,4.99784E-13
-1.77,4.57468E-13
-1.76,4.64785E-13
-1.75,4.3053E-13
-1.74,4.33717E-13
-1.73,4.36048E-13
-1.72,4.59375E-13
-1.71,4.3175E-13
-1.7,4.7302E-13
-1.69,4.11617E-13
-1.68,5.47997E-13
-1.67,4.974E-13
-1.66,4.24322E-13
-1.65,5.14001E-13
-1.64,4.43605E-13
-1.63,4.24607E-13
-1.62,4.29768E-13
-1.61,4.16468E-13
-1.6,4.44867E-13
-1.59,4.6814E-13
-1.58,4.48586E-13
-1.57,4.3705E-13
-1.56,4.03341E-13
-1.55,4.33123E-13
-1.54,4.29075E-13
-1.53,4.42925E-13
-1.52,4.48282E-13
-1.51,4.59055E-13
-1.5,3.91262E-13
-1.49,4.80748E-13
-1.48,5.05941E-13
-1.47,4.45047E-13
-1.46,4.01254E-13
-1.45,4.33654E-13
-1.44,4.575E-13
-1.43,4.71394E-13
-1.42,4.1673E-13
-1.41,4.31308E-13
-1.4,4.2117E-13
-1.39,4.21419E-13
-1.38,4.59808E-13
-1.37,4.36829E-13
-1.36,4.43801E-13
-1.35,4.28775E-13
-1.34,4.20702E-13
-1.33,4.2751E-13
-1.32,4.4911E-13
-1.31,5.87901E-13
-1.3,4.71593E-13
-1.29,4.21818E-13
-1.28,4.49016E-13
-1.27,4.43068E-13
-1.26,4.61607E-13
-1.25,4.32313E-13
-1.24,4.19905E-13
-1.23,4.33945E-13
-1.22,4.59043E-13
-1.21,4.48506E-13
-1.2,4.18798E-13
-1.19,4.55571E-13
-1.18,4.14033E-13
-1.17,4.44181E-13
-1.16,4.27013E-13
-1.15,4.36614E-13
-1.14,4.26824E-13
-1.13,4.26798E-13
-1.12,4.08682E-13
-1.11,4.31197E-13
-1.1,4.30074E-13
-1.09,4.38969E-13
-1.08,4.49623E-13
-1.07,4.35478E-13
-1.06,4.72567E-13
-1.05,4.50246E-13
-1.04,4.39207E-13
-1.03,4.80634E-13
-1.02,4.47868E-13
-1.01,4.48219E-13
-1,4.12426E-13
-0.99,4.62436E-13
-0.98,4.48386E-13
-0.97,4.28383E-13
-0.96,4.22077E-13
-0.95,4.45012E-13
-0.94,5.25081E-13
-0.93,4.71597E-13
-0.92,4.6637E-13
-0.91,4.44655E-13
-0.9,4.28496E-13
-0.89,4.3471E-13
-0.88,4.56678E-13
-0.87,4.22267E-13
-0.86,4.18463E-13
-0.85,4.83863E-13
-0.84,4.3379E-13
-0.83,4.22008E-13
-0.82,4.43156E-13
-0.81,4.56646E-13
-0.8,4.28414E-13
-0.79,4.54831E-13
-0.78,4.47782E-13
-0.77,4.13552E-13
-0.76,4.44832E-13
-0.75,4.17745E-13
-0.74,4.39273E-13
-0.73,4.41901E-13
-0.72,4.38467E-13
-0.71,4.46407E-13
-0.7,4.43779E-13
-0.69,4.4172E-13
-0.68,4.39978E-13
-0.67,3.94149E-13
-0.66,5.21176E-13
-0.65,4.17245E-13
-0.64,4.43162E-13
-0.63,4.34011E-13
-0.62,4.09359E-13
-0.61,4.64962E-13
-0.6,4.58385E-13
-0.59,4.24101E-13
-0.58,4.48971E-13
-0.57,4.71777E-13
-0.56,4.56402E-13
-0.55,4.59732E-13
-0.54,4.22529E-13
-0.53,4.20711E-13
-0.52,4.34647E-13
-0.51,3.98611E-13
-0.5,3.90449E-13
-0.49,4.25211E-13
-0.48,3.50214E-13
-0.47,4.49695E-13
-0.46,4.3181E-13
-0.45,4.35096E-13
-0.44,4.33746E-13
-0.43,4.51526E-13
-0.42,4.39039E-13
-0.41,4.35399E-13
-0.4,4.68738E-13
-0.39,4.81674E-13
-0.38,4.22678E-13
-0.37,4.1974E-13
-0.36,4.59384E-13
-0.35,4.46688E-13
-0.34,4.71435E-13
-0.33,4.42758E-13
-0.32,4.63277E-13
-0.31,4.47159E-13
-0.3,5.19285E-13
-0.29,4.05748E-13
-0.28,4.2646E-13
-0.27,4.2608E-13
-0.26,4.40623E-13
-0.25,4.44759E-13
-0.24,4.50834E-13
-0.23,4.48807E-13
-0.22,4.58043E-13
-0.21,4.59865E-13
-0.2,4.49616E-13
-0.19,4.37372E-13
-0.18,4.55738E-13
-0.17,4.60867E-13
-0.16,4.46935E-13
-0.15,4.76985E-13
-0.14,4.23203E-13
-0.13,4.86949E-13
-0.12,4.33344E-13
-0.11,4.36939E-13
-0.1,4.55251E-13
-0.09,4.39504E-13
-0.08,4.63834E-13
-0.07,4.27788E-13
-0.06,3.60504E-13
-0.05,4.43162E-13
-0.04,4.55691E-13
-0.03,4.64191E-13
-0.02,4.62863E-13
-0.01,4.38764E-13
0,4.40573E-13
0.01,4.3384E-13
0.02,4.58575E-13
0.03,4.29005E-13
0.04,4.09353E-13
0.05,4.32528E-13
0.06,4.00306E-13
0.07,5.41572E-13
0.08,4.64747E-13
0.09,4.48548E-13
0.1,4.57519E-13
0.11,4.4038E-13
0.12,4.75995E-13
0.13,4.53816E-13
0.14,4.19086E-13
0.15,4.91977E-13
0.16,4.52307E-13
0.17,4.28303E-13
0.18,4.43649E-13
0.19,4.25508E-13
0.2,4.71733E-13
0.21,4.437E-13
0.22,4.89279E-13
0.23,4.09666E-13
0.24,4.0182E-13
0.25,4.02598E-13
0.26,4.56383E-13
0.27,4.51068E-13
0.28,4.31984E-13
0.29,4.51356E-13
0.3,4.19794E-13
0.31,4.46239E-13
0.32,4.11149E-13
0.33,4.66853E-13
0.34,4.1101E-13
0.35,4.38694E-13
0.36,4.70085E-13
0.37,4.27946E-13
0.38,4.24591E-13
0.39,4.39741E-13
0.4,3.96888E-13
0.41,4.72371E-13
0.42,3.38106E-13
0.43,4.34473E-13
0.44,4.1316E-13
0.45,4.41575E-13
0.46,4.20914E-13
0.47,4.11003E-13
0.48,3.93662E-13
0.49,4.72969E-13
0.5,4.35535E-13
0.51,4.9537E-13
0.52,4.50657E-13
0.53,4.27431E-13
0.54,4.67558E-13
0.55,4.31617E-13
0.56,4.33891E-13
0.57,4.34141E-13
0.58,4.6254E-13
0.59,4.94329E-13
0.6,2.98241E-13
0.61,4.36943E-13
