Setup title,"C-V Sweep_check"
Classic test name,"C-V Sweep"
Test date,3/29/2023
Test time,15:32:35
Device ID,
Count,4
Flags,
Remarks,
Channel.UnitTyp,CMU
Channel.Unit,CMU1:MF/SC
Channel.IName,
Channel.VName,VBias
Channel.Mode,
Channel.Func,VAR1
Channel.Index,
Channel.Time,
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,-3
Measurement.Primary.Stop,3
Measurement.Primary.Step,0.01
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Secondary.ACLevel,0.03
Measurement.Secondary.FName,Freq
Measurement.Secondary.Frequency,1000000
Measurement.Bias.Source,0
Measurement.ImpedanceMode.Model,Cp-G
Measurement.ImpedanceMode.CName,C
Measurement.ImpedanceMode.LName,L
Measurement.ImpedanceMode.GName,G
Measurement.ImpedanceMode.RName,R
Measurement.ImpedanceMode.QName,Q
Measurement.ImpedanceMode.DName,D
Measurement.ImpedanceMode.YName,Y
Measurement.ImpedanceMode.ZName,Z
Measurement.ImpedanceMode.ThName,Theta
Measurement.ImpedanceMode.BName,B
Measurement.ImpedanceMode.XName,X
Measurement.Monitor.Unit,CMU1:MF/SC
Measurement.Monitor.RangingMode,AUTO
Measurement.Monitor.RangeBoundary,50
Measurement.Monitor.AcMonitorSymbol,
Measurement.Monitor.DcMonitorSymbol,
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.UnitType,Cmu,Smu
Measurement.Adc.HighResolution.Mode,AUTO,AUTO
Measurement.Adc.HighResolution.Coeff,2,10
Measurement.Adc.HighSpeed.Mode,AUTO
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,VBias
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-3
Output.Graph.XAxis.Right,3
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,C
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,0
Output.Graph.YAxis.Top,1E-10
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
VBias,C
-3,3.53329E-13
-2.99,3.52683E-13
-2.98,3.55112E-13
-2.97,3.52566E-13
-2.96,3.53063E-13
-2.95,3.54283E-13
-2.94,3.56682E-13
-2.93,3.5357E-13
-2.92,3.55596E-13
-2.91,3.52345E-13
-2.9,3.50292E-13
-2.89,3.51356E-13
-2.88,3.52925E-13
-2.87,3.54445E-13
-2.86,3.54171E-13
-2.85,3.52685E-13
-2.84,3.54289E-13
-2.83,3.54163E-13
-2.82,3.51942E-13
-2.81,3.5021E-13
-2.8,3.56217E-13
-2.79,3.51277E-13
-2.78,3.53133E-13
-2.77,3.53585E-13
-2.76,3.51367E-13
-2.75,3.55253E-13
-2.74,3.53058E-13
-2.73,3.54682E-13
-2.72,3.52369E-13
-2.71,3.55444E-13
-2.7,3.52036E-13
-2.69,3.54146E-13
-2.68,3.48272E-13
-2.67,3.55517E-13
-2.66,3.55403E-13
-2.65,3.5113E-13
-2.64,3.53261E-13
-2.63,3.54482E-13
-2.62,3.54213E-13
-2.61,3.56938E-13
-2.6,3.563E-13
-2.59,3.52036E-13
-2.58,3.52605E-13
-2.57,3.5405E-13
-2.56,3.5146E-13
-2.55,3.52926E-13
-2.54,3.54256E-13
-2.53,3.5233E-13
-2.52,3.56171E-13
-2.51,3.54341E-13
-2.5,3.51575E-13
-2.49,3.54257E-13
-2.48,3.51832E-13
-2.47,3.52937E-13
-2.46,3.57785E-13
-2.45,3.53687E-13
-2.44,3.49082E-13
-2.43,3.58173E-13
-2.42,3.58559E-13
-2.41,3.495E-13
-2.4,3.50728E-13
-2.39,3.5219E-13
-2.38,3.50766E-13
-2.37,3.53247E-13
-2.36,3.51637E-13
-2.35,3.5185E-13
-2.34,3.52465E-13
-2.33,3.52905E-13
-2.32,3.48069E-13
-2.31,3.54183E-13
-2.3,3.53132E-13
-2.29,3.55137E-13
-2.28,3.5119E-13
-2.27,3.55178E-13
-2.26,3.52763E-13
-2.25,3.53573E-13
-2.24,3.55557E-13
-2.23,3.50681E-13
-2.22,3.53995E-13
-2.21,3.5148E-13
-2.2,3.5283E-13
-2.19,3.50425E-13
-2.18,3.52815E-13
-2.17,3.53155E-13
-2.16,3.50695E-13
-2.15,3.56294E-13
-2.14,3.54352E-13
-2.13,3.50298E-13
-2.12,3.51482E-13
-2.11,3.53541E-13
-2.1,3.53132E-13
-2.09,3.53821E-13
-2.08,3.52332E-13
-2.07,3.51331E-13
-2.06,3.54236E-13
-2.05,3.52735E-13
-2.04,3.52179E-13
-2.03,3.56481E-13
-2.02,3.53342E-13
-2.01,3.52752E-13
-2,3.52817E-13
-1.99,3.5306E-13
-1.98,3.53421E-13
-1.97,3.5207E-13
-1.96,3.53711E-13
-1.95,3.55119E-13
-1.94,3.53196E-13
-1.93,3.51304E-13
-1.92,3.50432E-13
-1.91,3.53406E-13
-1.9,3.53099E-13
-1.89,3.51082E-13
-1.88,3.54512E-13
-1.87,3.53141E-13
-1.86,3.53817E-13
-1.85,3.51392E-13
-1.84,3.54953E-13
-1.83,3.50145E-13
-1.82,3.50422E-13
-1.81,3.46554E-13
-1.8,3.54462E-13
-1.79,3.54799E-13
-1.78,3.54659E-13
-1.77,3.51756E-13
-1.76,3.49725E-13
-1.75,3.53852E-13
-1.74,3.52205E-13
-1.73,3.5062E-13
-1.72,3.5262E-13
-1.71,3.53714E-13
-1.7,3.52161E-13
-1.69,3.52064E-13
-1.68,3.5231E-13
-1.67,3.50664E-13
-1.66,3.51569E-13
-1.65,3.49891E-13
-1.64,3.5318E-13
-1.63,3.51395E-13
-1.62,3.52936E-13
-1.61,3.55028E-13
-1.6,3.54334E-13
-1.59,3.54702E-13
-1.58,3.54752E-13
-1.57,3.49903E-13
-1.56,3.54264E-13
-1.55,3.51822E-13
-1.54,3.53945E-13
-1.53,3.53662E-13
-1.52,3.56591E-13
-1.51,3.53403E-13
-1.5,3.53422E-13
-1.49,3.5062E-13
-1.48,3.58174E-13
-1.47,3.53154E-13
-1.46,3.5535E-13
-1.45,3.55271E-13
-1.44,3.5227E-13
-1.43,3.54208E-13
-1.42,3.48367E-13
-1.41,3.53854E-13
-1.4,3.49228E-13
-1.39,3.54399E-13
-1.38,3.51939E-13
-1.37,3.51991E-13
-1.36,3.50257E-13
-1.35,3.51728E-13
-1.34,3.49251E-13
-1.33,3.53886E-13
-1.32,3.54725E-13
-1.31,3.52433E-13
-1.3,3.50611E-13
-1.29,3.50396E-13
-1.28,3.51215E-13
-1.27,3.54071E-13
-1.26,3.53678E-13
-1.25,3.55809E-13
-1.24,3.49582E-13
-1.23,3.51467E-13
-1.22,3.52622E-13
-1.21,3.50738E-13
-1.2,3.5187E-13
-1.19,3.55057E-13
-1.18,3.51117E-13
-1.17,3.51616E-13
-1.16,3.53206E-13
-1.15,3.53187E-13
-1.14,3.54058E-13
-1.13,3.51352E-13
-1.12,3.57735E-13
-1.11,3.53962E-13
-1.1,3.56218E-13
-1.09,3.46439E-13
-1.08,3.52347E-13
-1.07,3.5372E-13
-1.06,3.50857E-13
-1.05,3.51577E-13
-1.04,3.53731E-13
-1.03,3.50505E-13
-1.02,3.50661E-13
-1.01,3.52754E-13
-1,3.51387E-13
-0.99,3.52996E-13
-0.98,3.52106E-13
-0.97,3.50573E-13
-0.96,3.55554E-13
-0.95,3.5361E-13
-0.94,3.53728E-13
-0.93,3.5368E-13
-0.92,3.54754E-13
-0.91,3.49653E-13
-0.9,3.51026E-13
-0.89,3.52021E-13
-0.88,3.55951E-13
-0.87,3.51538E-13
-0.86,3.53006E-13
-0.85,3.50715E-13
-0.84,3.52682E-13
-0.83,3.51001E-13
-0.82,3.52456E-13
-0.81,3.51336E-13
-0.8,3.54508E-13
-0.79,3.61241E-13
-0.78,3.53432E-13
-0.77,3.56352E-13
-0.76,3.51363E-13
-0.75,3.54834E-13
-0.74,3.54715E-13
-0.73,3.52399E-13
-0.72,3.50806E-13
-0.71,3.51072E-13
-0.7,3.53969E-13
-0.69,3.51798E-13
-0.68,3.56118E-13
-0.67,3.519E-13
-0.66,3.52451E-13
-0.65,3.51699E-13
-0.64,3.53725E-13
-0.63,3.52249E-13
-0.62,3.56543E-13
-0.61,3.55319E-13
-0.6,3.52213E-13
-0.59,3.56528E-13
-0.58,3.5261E-13
-0.57,3.53936E-13
-0.56,3.51785E-13
-0.55,3.5282E-13
-0.54,3.50421E-13
-0.53,3.51853E-13
-0.52,3.50171E-13
-0.51,3.50058E-13
-0.5,3.49445E-13
-0.49,3.53458E-13
-0.48,3.50159E-13
-0.47,3.54478E-13
-0.46,3.53261E-13
-0.45,3.5388E-13
-0.44,3.49195E-13
-0.43,3.55099E-13
-0.42,3.5775E-13
-0.41,3.55448E-13
-0.4,3.53273E-13
-0.39,3.52328E-13
-0.38,3.53776E-13
-0.37,3.52623E-13
-0.36,3.50582E-13
-0.35,3.55489E-13
-0.34,3.54356E-13
-0.33,3.55504E-13
-0.32,3.53822E-13
-0.31,3.5352E-13
-0.3,3.54756E-13
-0.29,3.5108E-13
-0.28,3.51875E-13
-0.27,3.58847E-13
-0.26,3.5421E-13
-0.25,3.52182E-13
-0.24,3.51998E-13
-0.23,3.51789E-13
-0.22,3.50539E-13
-0.21,3.50567E-13
-0.2,3.49365E-13
-0.19,3.52274E-13
-0.18,3.55673E-13
-0.17,3.52691E-13
-0.16,3.51789E-13
-0.15,3.54943E-13
-0.14,3.50143E-13
-0.13,3.55367E-13
-0.12,3.50125E-13
-0.11,3.51771E-13
-0.1,3.55788E-13
-0.09,3.49172E-13
-0.08,3.49215E-13
-0.07,3.57092E-13
-0.06,3.52433E-13
-0.05,3.54811E-13
-0.04,3.53744E-13
-0.03,3.53012E-13
-0.02,3.55708E-13
-0.01,3.49067E-13
0,3.54922E-13
0.01,3.54667E-13
0.02,3.53261E-13
0.03,3.50878E-13
0.04,3.52912E-13
0.05,3.53293E-13
0.06,3.53959E-13
0.07,3.54702E-13
0.08,3.55858E-13
0.09,3.55404E-13
0.1,3.51855E-13
0.11,3.52837E-13
0.12,3.50453E-13
0.13,3.53365E-13
0.14,3.51154E-13
0.15,3.5204E-13
0.16,3.50935E-13
0.17,3.5251E-13
0.18,3.54261E-13
0.19,3.54112E-13
0.2,3.53293E-13
0.21,3.55619E-13
0.22,3.57287E-13
0.23,3.51787E-13
0.24,3.5041E-13
0.25,3.52858E-13
0.26,3.53681E-13
0.27,3.5017E-13
0.28,3.54263E-13
0.29,3.52274E-13
0.3,3.51956E-13
0.31,3.52569E-13
0.32,3.51866E-13
0.33,3.54627E-13
0.34,3.53504E-13
0.35,3.51888E-13
0.36,3.50932E-13
0.37,3.56314E-13
0.38,3.53762E-13
0.39,3.51931E-13
0.4,3.51562E-13
0.41,3.55713E-13
0.42,3.55402E-13
0.43,3.53387E-13
0.44,3.51705E-13
0.45,3.52444E-13
0.46,3.52316E-13
0.47,3.59887E-13
0.48,3.52893E-13
0.49,3.48646E-13
0.5,3.52431E-13
0.51,3.56082E-13
0.52,3.56856E-13
0.53,3.536E-13
0.54,3.57386E-13
0.55,3.51172E-13
0.56,3.51181E-13
0.57,3.55407E-13
0.58,3.59237E-13
0.59,3.53306E-13
0.6,3.48345E-13
0.61,3.54222E-13
