Setup title,"I/V Sweep_light_0-(-1)"
Classic test name,"I/V Sweep"
Test date,3/29/2023
Test time,16:22:02
Device ID,1
Count,2
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-1
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,0.001
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.001,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,1.09605E-08
-0.01,-6.74441E-08
-0.02,-1.4872E-07
-0.03,-2.32917E-07
-0.04,-3.19631E-07
-0.05,-4.10842E-07
-0.06,-5.07683E-07
-0.07,-6.10764E-07
-0.08,-7.1772E-07
-0.09,-8.36666E-07
-0.1,-9.62912E-07
-0.11,-1.101131E-06
-0.12,-1.25243E-06
-0.13,-1.41052E-06
-0.14,-1.59058E-06
-0.15,-1.78505E-06
-0.16,-1.99343E-06
-0.17,-2.23129E-06
-0.18,-2.48224E-06
-0.19,-2.73449E-06
-0.2,-3.0634E-06
-0.21,-3.37925E-06
-0.22,-3.7298E-06
-0.23,-4.11569E-06
-0.24,-4.50736E-06
-0.25,-4.99587E-06
-0.26,-5.47066E-06
-0.27,-5.99532E-06
-0.28,-6.53357E-06
-0.29,-7.11435E-06
-0.3,-7.73459E-06
-0.31,-8.37984E-06
-0.32,-9.05245E-06
-0.33,-9.74361E-06
-0.34,-1.048577E-05
-0.35,-1.126494E-05
-0.36,-1.20511E-05
-0.37,-1.25309E-05
-0.38,-1.344E-05
-0.39,-1.43582E-05
-0.4,-1.52971E-05
-0.41,-1.62113E-05
-0.42,-1.71947E-05
-0.43,-1.81883E-05
-0.44,-1.92096E-05
-0.45,-2.02442E-05
-0.46,-2.13104E-05
-0.47,-2.23703E-05
-0.48,-2.35217E-05
-0.49,-2.47728E-05
-0.5,-2.59346E-05
-0.51,-2.69584E-05
-0.52,-2.80563E-05
-0.53,-2.9255E-05
-0.54,-3.04682E-05
-0.55,-3.15469E-05
-0.56,-3.28931E-05
-0.57,-3.41984E-05
-0.58,-3.56239E-05
-0.59,-3.70802E-05
-0.6,-3.84376E-05
-0.61,-3.96952E-05
-0.62,-4.1127E-05
-0.63,-4.2533E-05
-0.64,-4.395E-05
-0.65,-4.52544E-05
-0.66,-4.64375E-05
-0.67,-4.80311E-05
-0.68,-4.98906E-05
-0.69,-5.09311E-05
-0.7,-5.24639E-05
-0.71,-5.40057E-05
-0.72,-5.54842E-05
-0.73,-5.68539E-05
-0.74,-5.83311E-05
-0.75,-6.02273E-05
-0.76,-6.21561E-05
-0.77,-6.39051E-05
-0.78,-6.5676E-05
-0.79,-6.7065E-05
-0.8,-6.85981E-05
-0.81,-7.02873E-05
-0.82,-7.21805E-05
-0.83,-7.40238E-05
-0.84,-7.51443E-05
-0.85,-7.68001E-05
-0.86,-7.86505E-05
-0.87,-8.02774E-05
-0.88,-8.19054E-05
-0.89,-8.3549E-05
-0.9,-8.52567E-05
-0.91,-8.6983E-05
-0.92,-8.90223E-05
-0.93,-9.07655E-05
-0.94,-9.24148E-05
-0.95,-9.42412E-05
-0.96,-9.6324E-05
-0.97,-9.76817E-05
-0.98,-9.92014E-05
-0.99,-0.0001006444
-1,-0.0001025641
-1,-0.0001025729
-0.99,-0.000100685
-0.98,-9.87434E-05
-0.97,-9.71682E-05
-0.96,-9.53814E-05
-0.95,-9.3547E-05
-0.94,-9.16863E-05
-0.93,-8.9988E-05
-0.92,-8.82786E-05
-0.91,-8.6622E-05
-0.9,-8.46553E-05
-0.89,-8.28367E-05
-0.88,-8.13502E-05
-0.87,-7.96532E-05
-0.86,-7.79554E-05
-0.85,-7.6391E-05
-0.84,-7.48726E-05
-0.83,-7.3181E-05
-0.82,-7.15974E-05
-0.81,-7.00074E-05
-0.8,-6.8518E-05
-0.79,-6.62733E-05
-0.78,-6.45488E-05
-0.77,-6.34557E-05
-0.76,-6.18175E-05
-0.75,-5.99901E-05
-0.74,-5.82714E-05
-0.73,-5.66923E-05
-0.72,-5.52256E-05
-0.71,-5.36575E-05
-0.7,-5.21376E-05
-0.69,-5.06597E-05
-0.68,-4.922E-05
-0.67,-4.76821E-05
-0.66,-4.60913E-05
-0.65,-4.46485E-05
-0.64,-4.32536E-05
-0.63,-4.18654E-05
-0.62,-4.04664E-05
-0.61,-3.9072E-05
-0.6,-3.7693E-05
-0.59,-3.63776E-05
-0.58,-3.50233E-05
-0.57,-3.3713E-05
-0.56,-3.24062E-05
-0.55,-3.11386E-05
-0.54,-2.98343E-05
-0.53,-2.86848E-05
-0.52,-2.75554E-05
-0.51,-2.64462E-05
-0.5,-2.53059E-05
-0.49,-2.404E-05
-0.48,-2.2906E-05
-0.47,-2.16625E-05
