Setup title,"I/V Sweep_light_0-3"
Classic test name,"I/V Sweep"
Test date,3/29/2023
Test time,16:32:41
Device ID,1
Count,5
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,3
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,0.001
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.001,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,1.44493E-08
0.01,8.27109E-08
0.02,1.47057E-07
0.03,2.12452E-07
0.04,2.76825E-07
0.05,3.39056E-07
0.06,3.95101E-07
0.07,4.56359E-07
0.08,5.30177E-07
0.09,5.94187E-07
0.1,6.56457E-07
0.11,6.99325E-07
0.12,7.56372E-07
0.13,8.15391E-07
0.14,8.73818E-07
0.15,9.26999E-07
0.16,9.86036E-07
0.17,1.034446E-06
0.18,1.12635E-06
0.19,1.17194E-06
0.2,1.218E-06
0.21,1.28571E-06
0.22,1.34823E-06
0.23,1.41234E-06
0.24,1.5106E-06
0.25,1.56362E-06
0.26,1.59573E-06
0.27,1.65858E-06
0.28,1.71754E-06
0.29,1.77248E-06
0.3,1.85144E-06
0.31,1.88321E-06
0.32,1.98496E-06
0.33,2.0446E-06
0.34,2.09009E-06
0.35,2.15605E-06
0.36,2.21641E-06
0.37,2.28214E-06
0.38,2.39219E-06
0.39,2.44627E-06
0.4,2.50202E-06
0.41,2.56292E-06
0.42,2.67599E-06
0.43,2.73909E-06
0.44,2.79568E-06
0.45,2.7562E-06
0.46,2.88465E-06
0.47,2.98518E-06
0.48,2.99979E-06
0.49,3.01034E-06
0.5,3.04249E-06
0.51,3.103E-06
0.52,3.16295E-06
0.53,3.2255E-06
0.54,3.2841E-06
0.55,3.31703E-06
0.56,3.48262E-06
0.57,3.48892E-06
0.58,3.61214E-06
0.59,3.67832E-06
0.6,3.64206E-06
0.61,3.81566E-06
0.62,3.84755E-06
0.63,3.90909E-06
0.64,3.96624E-06
0.65,4.06406E-06
0.66,4.06377E-06
0.67,4.12075E-06
0.68,4.15164E-06
0.69,4.227E-06
0.7,4.33251E-06
0.71,4.36476E-06
0.72,4.45984E-06
0.73,4.56307E-06
0.74,4.61059E-06
0.75,4.66377E-06
0.76,4.69612E-06
0.77,4.76086E-06
0.78,4.8118E-06
0.79,4.84925E-06
0.8,4.90775E-06
0.81,4.90699E-06
0.82,5.06904E-06
0.83,5.11099E-06
0.84,5.18002E-06
0.85,5.19066E-06
0.86,5.2618E-06
0.87,5.37629E-06
0.88,5.39743E-06
0.89,5.51046E-06
0.9,5.52364E-06
0.91,5.60538E-06
0.92,5.66836E-06
0.93,5.68816E-06
0.94,5.76901E-06
0.95,5.85158E-06
0.96,5.90908E-06
0.97,5.95509E-06
0.98,6.05089E-06
0.99,6.12643E-06
1,6.15795E-06
1.01,6.28894E-06
1.02,6.27564E-06
1.03,6.36655E-06
1.04,6.48608E-06
1.05,6.53021E-06
1.06,6.56946E-06
1.07,6.62664E-06
1.08,6.65461E-06
1.09,6.6797E-06
1.1,6.80427E-06
1.11,6.83746E-06
1.12,6.86213E-06
1.13,6.95415E-06
1.14,6.99435E-06
1.15,6.9425E-06
1.16,7.02229E-06
1.17,7.07236E-06
1.18,7.13076E-06
1.19,7.20328E-06
1.2,7.2636E-06
1.21,7.3297E-06
1.22,7.3973E-06
1.23,7.45307E-06
1.24,7.56134E-06
1.25,7.59731E-06
1.26,7.67309E-06
1.27,7.74009E-06
1.28,7.84978E-06
1.29,7.95763E-06
1.3,8.00251E-06
1.31,8.08879E-06
1.32,8.14703E-06
1.33,8.17558E-06
1.34,8.15274E-06
1.35,8.23181E-06
1.36,8.32884E-06
1.37,8.40184E-06
1.38,8.49688E-06
1.39,8.61924E-06
1.4,8.68936E-06
1.41,8.77571E-06
1.42,8.78285E-06
1.43,8.82324E-06
1.44,8.89161E-06
1.45,8.99309E-06
1.46,9.04222E-06
1.47,9.08376E-06
1.48,9.1316E-06
1.49,9.25472E-06
1.5,9.3982E-06
1.51,9.46059E-06
1.52,9.46511E-06
1.53,9.55227E-06
1.54,9.58922E-06
1.55,9.61675E-06
1.56,9.72756E-06
1.57,9.87614E-06
1.58,9.89622E-06
1.59,9.97553E-06
1.6,1.00186E-05
1.61,1.008702E-05
1.62,1.013709E-05
1.63,1.021762E-05
1.64,1.028028E-05
1.65,1.030202E-05
1.66,1.039621E-05
1.67,1.047163E-05
1.68,1.052249E-05
1.69,1.055585E-05
1.7,1.060918E-05
1.71,1.061539E-05
1.72,1.073607E-05
1.73,1.075399E-05
1.74,1.08044E-05
1.75,1.085755E-05
1.76,1.09895E-05
1.77,1.105951E-05
1.78,1.111414E-05
1.79,1.112948E-05
1.8,1.119734E-05
