Setup title,"I/V Sweep_0_1v_dark"
Classic test name,"I/V Sweep"
Test date,3/29/2023
Test time,16:03:45
Device ID,1
Count,2
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-1
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,5.0904E-10
-0.01,-7.27062E-08
-0.02,-1.4771E-07
-0.03,-2.25002E-07
-0.04,-3.04535E-07
-0.05,-3.87758E-07
-0.06,-4.75097E-07
-0.07,-5.6763E-07
-0.08,-6.63665E-07
-0.09,-7.66619E-07
-0.1,-8.76798E-07
-0.11,-9.94364E-07
-0.12,-1.121205E-06
-0.13,-1.25991E-06
-0.14,-1.41129E-06
-0.15,-1.57273E-06
-0.16,-1.75262E-06
-0.17,-1.94976E-06
-0.18,-2.16598E-06
-0.19,-2.40224E-06
-0.2,-2.66009E-06
-0.21,-2.94308E-06
-0.22,-3.24631E-06
-0.23,-3.58129E-06
-0.24,-3.94189E-06
-0.25,-4.32632E-06
-0.26,-4.73917E-06
-0.27,-5.18373E-06
-0.28,-5.65284E-06
-0.29,-6.15564E-06
-0.3,-6.67978E-06
-0.31,-7.23916E-06
-0.32,-7.82332E-06
-0.33,-8.43567E-06
-0.34,-9.07759E-06
-0.35,-9.75341E-06
-0.36,-1.046113E-05
-0.37,-1.119345E-05
-0.38,-1.19452E-05
-0.39,-1.27384E-05
-0.4,-1.35463E-05
-0.41,-1.43864E-05
-0.42,-1.52595E-05
-0.43,-1.61567E-05
-0.44,-1.70867E-05
-0.45,-1.80297E-05
-0.46,-1.90045E-05
-0.47,-2.00055E-05
-0.48,-2.10098E-05
-0.49,-2.20501E-05
-0.5,-2.30966E-05
-0.51,-2.41688E-05
-0.52,-2.5303E-05
-0.53,-2.64241E-05
-0.54,-2.75697E-05
-0.55,-2.87268E-05
-0.56,-2.99044E-05
-0.57,-3.11291E-05
-0.58,-3.2341E-05
-0.59,-3.35875E-05
-0.6,-3.48552E-05
-0.61,-3.61295E-05
-0.62,-3.73993E-05
-0.63,-3.87413E-05
-0.64,-4.00717E-05
-0.65,-4.14101E-05
-0.66,-4.27939E-05
-0.67,-4.41977E-05
-0.68,-4.55727E-05
-0.69,-4.69604E-05
-0.7,-4.84092E-05
-0.71,-4.98318E-05
-0.72,-5.00063E-05
-0.73,-5.00063E-05
-0.74,-5.00062E-05
-0.75,-5.00063E-05
-0.76,-5.00063E-05
-0.77,-5.00062E-05
-0.78,-5.00062E-05
-0.79,-5.00062E-05
-0.8,-5.00063E-05
-0.81,-5.00062E-05
-0.82,-5.00063E-05
-0.83,-5.00063E-05
-0.84,-5.00062E-05
-0.85,-5.00063E-05
-0.86,-5.00062E-05
-0.87,-5.00063E-05
-0.88,-5.00062E-05
-0.89,-5.00062E-05
-0.9,-5.00062E-05
-0.91,-5.00063E-05
-0.92,-5.00062E-05
-0.93,-5.00062E-05
-0.94,-5.00062E-05
-0.95,-5.00063E-05
-0.96,-5.00063E-05
-0.97,-5.00062E-05
-0.98,-5.00063E-05
-0.99,-5.00063E-05
-1,-5.00062E-05
-1,-5.00062E-05
-0.99,-5.00063E-05
-0.98,-5.00063E-05
-0.97,-5.00064E-05
-0.96,-5.00063E-05
-0.95,-5.00063E-05
-0.94,-5.00063E-05
-0.93,-5.00064E-05
-0.92,-5.00063E-05
-0.91,-5.00063E-05
-0.9,-5.00063E-05
-0.89,-5.00063E-05
-0.88,-5.00063E-05
-0.87,-5.00063E-05
-0.86,-5.00063E-05
-0.85,-5.00063E-05
-0.84,-5.00062E-05
-0.83,-5.00063E-05
-0.82,-5.00063E-05
-0.81,-5.00063E-05
-0.8,-5.00064E-05
-0.79,-5.00063E-05
-0.78,-5.00063E-05
-0.77,-5.00063E-05
-0.76,-5.00063E-05
-0.75,-5.00064E-05
-0.74,-5.00063E-05
-0.73,-5.00062E-05
-0.72,-5.00063E-05
-0.71,-4.98455E-05
-0.7,-4.84107E-05
-0.69,-4.69538E-05
-0.68,-4.55414E-05
-0.67,-4.41784E-05
-0.66,-4.2797E-05
-0.65,-4.14252E-05
-0.64,-4.01037E-05
-0.63,-3.87606E-05
-0.62,-3.7437E-05
-0.61,-3.61285E-05
-0.6,-3.48599E-05
-0.59,-3.35974E-05
-0.58,-3.23554E-05
-0.57,-3.11274E-05
-0.56,-2.98919E-05
-0.55,-2.87047E-05
-0.54,-2.7542E-05
-0.53,-2.64059E-05
-0.52,-2.52845E-05
-0.51,-2.41655E-05
-0.5,-2.30714E-05
-0.49,-2.20081E-05
-0.48,-2.09656E-05
