Setup title,"I/V Sweep_dark_0_-0.8V"
Classic test name,"I/V Sweep"
Test date,4/26/2023
Test time,16:11:07
Device ID,"FTO_Contact check"
Count,12
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-0.8
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,0.0005
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0005,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,2.33219E-09
-0.01,-4.73516E-07
-0.02,-9.55852E-07
-0.03,-1.43091E-06
-0.04,-1.90803E-06
-0.05,-2.40407E-06
-0.06,-2.90329E-06
-0.07,-3.40211E-06
-0.08,-3.88139E-06
-0.09,-4.39931E-06
-0.1,-4.92844E-06
-0.11,-5.62048E-06
-0.12,-6.49799E-06
-0.13,-7.14982E-06
-0.14,-7.79475E-06
-0.15,-8.36672E-06
-0.16,-9.04163E-06
-0.17,-9.724E-06
-0.18,-1.03427E-05
-0.19,-1.093866E-05
-0.2,-1.15198E-05
-0.21,-1.22803E-05
-0.22,-1.28754E-05
-0.23,-1.34253E-05
-0.24,-1.40115E-05
-0.25,-1.47072E-05
-0.26,-1.53518E-05
-0.27,-1.60433E-05
-0.28,-1.67682E-05
-0.29,-1.75787E-05
-0.3,-1.86856E-05
-0.31,-1.95718E-05
-0.32,-2.07062E-05
-0.33,-2.20171E-05
-0.34,-2.30227E-05
-0.35,-2.39582E-05
-0.36,-2.52157E-05
-0.37,-2.55282E-05
-0.38,-2.68348E-05
-0.39,-2.82423E-05
-0.4,-2.49098E-05
-0.41,-2.46622E-05
-0.42,-2.56778E-05
-0.43,-2.75695E-05
-0.44,-2.98378E-05
-0.45,-2.98811E-05
-0.46,-3.10252E-05
-0.47,-3.16615E-05
-0.48,-3.17954E-05
-0.49,-3.26671E-05
-0.5,-3.35095E-05
-0.51,-3.39838E-05
-0.52,-3.44066E-05
-0.53,-3.39815E-05
-0.54,-3.45147E-05
-0.55,-3.7564E-05
-0.56,-4.08714E-05
-0.57,-4.17949E-05
-0.58,-4.28116E-05
-0.59,-4.42486E-05
-0.6,-4.82394E-05
-0.61,-5.0874E-05
-0.62,-5.13885E-05
-0.63,-5.38443E-05
-0.64,-5.30303E-05
-0.65,-5.18145E-05
-0.66,-5.47947E-05
-0.67,-5.84436E-05
-0.68,-5.82336E-05
-0.69,-6.10776E-05
-0.7,-6.38808E-05
-0.71,-5.27451E-05
-0.72,-5.5251E-05
-0.73,-5.51535E-05
-0.74,-6.95775E-05
-0.75,-7.41445E-05
-0.76,-7.49251E-05
-0.77,-7.54321E-05
-0.78,-6.96175E-05
-0.79,-7.07719E-05
-0.8,-7.64031E-05
-0.8,-0.000500085
-0.79,-0.000500083
-0.78,-0.000500083
-0.77,-0.000500083
-0.76,-0.000500083
-0.75,-0.000500083
-0.74,-0.000500084
-0.73,-0.000500083
-0.72,-0.000500083
-0.71,-0.000500083
-0.7,-0.000500083
-0.69,-0.000500083
-0.68,-0.000500082
-0.67,-0.000500082
-0.66,-0.000500082
-0.65,-0.000500083
-0.64,-0.000500083
-0.63,-0.000500083
-0.62,-0.000500083
-0.61,-0.000500082
-0.6,-0.000500083
-0.59,-0.000500083
-0.58,-0.000500082
-0.57,-0.000500083
-0.56,-0.000500082
-0.55,-0.000500083
-0.54,-0.000500082
-0.53,-0.000500083
-0.52,-0.000500083
-0.51,-0.000500082
-0.5,-0.000500083
-0.49,-0.000500082
-0.48,-0.000500083
-0.47,-0.000500082
-0.46,-0.00049526
-0.45,-0.000479493
-0.44,-0.000465486
-0.43,-0.000456388
-0.42,-0.000444054
-0.41,-0.000428918
-0.4,-0.000416577
-0.39,-0.000403213
-0.38,-0.000393019
-0.37,-0.000378611
-0.36,-0.000366703
-0.35,-0.000355449
-0.34,-0.000345537
-0.33,-0.000336304
-0.32,-0.000329072
-0.31,-0.000320526
-0.3,-0.000308809
-0.29,-0.000296837
-0.28,-0.000285647
-0.27,-0.000274716
-0.26,-0.000263822
-0.25,-0.000253078
-0.24,-0.000242158
-0.23,-0.000231609
-0.22,-0.0002211
-0.21,-0.000210622
-0.2,-0.000200032
-0.19,-0.000189514
-0.18,-0.000179194
-0.17,-0.000168849
-0.16,-0.000158569
-0.15,-0.000148311
-0.14,-0.000138338
-0.13,-0.000128228
-0.12,-0.00011809
-0.11,-0.000108031
-0.1,-9.82134E-05
-0.09,-8.82521E-05
-0.08,-7.83506E-05
-0.07,-6.85396E-05
-0.06,-5.86845E-05
-0.05,-4.88624E-05
-0.04,-3.90536E-05
-0.03,-2.93299E-05
-0.02,-1.95321E-05
-0.01,-9.73188E-06
0,5.35429E-08
