Setup title,"I/V Sweep_dark_0_-0.5V"
Classic test name,"I/V Sweep"
Test date,4/26/2023
Test time,16:02:25
Device ID,"FTO_Contact check"
Count,5
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-0.5
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,8.41472E-08
-0.01,-3.33629E-05
-0.02,-6.6989E-05
-0.03,-0.0001005894
-0.04,-0.000134042
-0.05,-0.000168043
-0.06,-0.000200056
-0.07,-0.000200055
-0.08,-0.000200055
-0.09,-0.000200055
-0.1,-0.000200054
-0.11,-0.000200054
-0.12,-0.000200056
-0.13,-0.000200055
-0.14,-0.000200055
-0.15,-0.000200055
-0.16,-0.000200055
-0.17,-0.000200055
-0.18,-0.000200055
-0.19,-0.000200055
-0.2,-0.000200054
-0.21,-0.000200055
-0.22,-0.000200055
-0.23,-0.000200055
-0.24,-0.000200055
-0.25,-0.000200054
-0.26,-0.000200054
-0.27,-0.000200054
-0.28,-0.000200054
-0.29,-0.000200054
-0.3,-0.000200054
-0.31,-0.000200054
-0.32,-0.000200054
-0.33,-0.000200054
-0.34,-0.000200054
-0.35,-0.000200054
-0.36,-0.000200053
-0.37,-0.000200053
-0.38,-0.000200054
-0.39,-0.000200054
-0.4,-0.000200054
-0.41,-0.000200055
-0.42,-0.000200054
-0.43,-0.000200054
-0.44,-0.000200054
-0.45,-0.000200054
-0.46,-0.000200054
-0.47,-0.000200054
-0.48,-0.000200054
-0.49,-0.000200054
-0.5,-0.000200053
-0.5,-0.000200054
-0.49,-0.000200054
-0.48,-0.000200054
-0.47,-0.000200054
-0.46,-0.000200054
-0.45,-0.000200054
-0.44,-0.000200054
-0.43,-0.000200054
-0.42,-0.000200054
-0.41,-0.000200054
-0.4,-0.000200054
-0.39,-0.000200054
-0.38,-0.000200054
-0.37,-0.000200055
-0.36,-0.000200054
-0.35,-0.000200054
-0.34,-0.000200054
-0.33,-0.000200055
-0.32,-0.000200054
-0.31,-0.000200054
-0.3,-0.000200054
-0.29,-0.000200054
-0.28,-0.000200054
-0.27,-0.000200055
-0.26,-0.000200054
-0.25,-0.000200054
-0.24,-0.000200055
-0.23,-0.000200055
-0.22,-0.000200054
-0.21,-0.000200055
-0.2,-0.000200054
-0.19,-0.000200054
-0.18,-0.000200055
-0.17,-0.000200055
-0.16,-0.000200055
-0.15,-0.000200054
-0.14,-0.000200055
-0.13,-0.000200055
-0.12,-0.000200055
-0.11,-0.000200055
-0.1,-0.000200055
-0.09,-0.000200054
-0.08,-0.000200055
-0.07,-0.000200055
-0.06,-0.000200055
-0.05,-0.000169504
-0.04,-0.000135436
-0.03,-0.000101563
-0.02,-6.76625E-05
-0.01,-3.37709E-05
0,8.51053E-08
