Setup title,"I/V Sweep_dark_0_0.75V"
Classic test name,"I/V Sweep"
Test date,4/26/2023
Test time,16:08:11
Device ID,"FTO_Contact check"
Count,9
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,0.75
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,0.0005
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0005,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,1.28952E-09
0.01,2.5845E-07
0.02,5.23603E-07
0.03,7.94672E-07
0.04,1.014864E-06
0.05,1.33175E-06
0.06,1.62761E-06
0.07,1.85016E-06
0.08,2.05824E-06
0.09,2.45471E-06
0.1,2.72041E-06
0.11,3.035E-06
0.12,3.31156E-06
0.13,3.66537E-06
0.14,3.91565E-06
0.15,4.11366E-06
0.16,4.45566E-06
0.17,4.78669E-06
0.18,5.00318E-06
0.19,5.31924E-06
0.2,5.81806E-06
0.21,6.1069E-06
0.22,6.45498E-06
0.23,6.92993E-06
0.24,7.36483E-06
0.25,7.81705E-06
0.26,8.30029E-06
0.27,8.65723E-06
0.28,9.13151E-06
0.29,9.47307E-06
0.3,9.61607E-06
0.31,1.00631E-05
0.32,1.03032E-05
0.33,1.10005E-05
0.34,1.2597E-05
0.35,1.37137E-05
0.36,1.31005E-05
0.37,1.43237E-05
0.38,1.42143E-05
0.39,1.59577E-05
0.4,1.69208E-05
0.41,1.73657E-05
0.42,1.81616E-05
0.43,1.89394E-05
0.44,1.96998E-05
0.45,2.06857E-05
0.46,2.09729E-05
0.47,2.2194E-05
0.48,2.21979E-05
0.49,2.2269E-05
0.5,2.24852E-05
0.51,2.21237E-05
0.52,2.2482E-05
0.53,2.57177E-05
0.54,2.72604E-05
0.55,2.63628E-05
0.56,3.31054E-05
0.57,6.63786E-05
0.58,6.77938E-05
0.59,6.88591E-05
0.6,7.3185E-05
0.61,7.58163E-05
0.62,7.85011E-05
0.63,8.47672E-05
0.64,7.48716E-05
0.65,7.58858E-05
0.66,8.07823E-05
0.67,0.00011433
0.68,0.000118303
0.69,0.000115101
0.7,0.000120164
0.71,0.000117829
0.72,0.0001091
0.73,0.000107396
0.74,0.000106838
0.75,0.000110436
0.75,0.000109318
0.74,0.000107769
0.73,0.000104647
0.72,9.8298E-05
0.71,9.86681E-05
0.7,9.51166E-05
0.69,9.37502E-05
0.68,9.16748E-05
0.67,9.08917E-05
0.66,8.92314E-05
0.65,8.71521E-05
0.64,8.52918E-05
0.63,8.4379E-05
0.62,8.32744E-05
0.61,8.07464E-05
0.6,7.62487E-05
0.59,7.49496E-05
0.58,7.33298E-05
0.57,7.23767E-05
0.56,7.06169E-05
0.55,6.78641E-05
0.54,6.50109E-05
0.53,6.49655E-05
0.52,6.22334E-05
0.51,6.011E-05
0.5,5.87037E-05
0.49,5.59455E-05
0.48,5.49285E-05
0.47,5.65588E-05
0.46,5.39243E-05
0.45,5.29131E-05
0.44,5.06922E-05
0.43,4.95987E-05
0.42,4.87211E-05
0.41,4.68305E-05
0.4,4.52551E-05
0.39,4.41277E-05
0.38,4.20208E-05
0.37,4.05472E-05
0.36,3.91803E-05
0.35,3.78291E-05
0.34,3.65304E-05
0.33,3.51633E-05
0.32,3.38593E-05
0.31,3.17337E-05
0.3,3.06724E-05
0.29,2.94402E-05
0.28,2.83316E-05
0.27,2.7075E-05
0.26,2.57844E-05
0.25,2.47193E-05
0.24,2.37498E-05
0.23,2.25811E-05
0.22,2.14734E-05
0.21,2.03921E-05
0.2,1.92919E-05
0.19,1.82041E-05
0.18,1.71677E-05
0.17,1.60883E-05
0.16,1.50518E-05
0.15,1.40437E-05
0.14,1.30532E-05
0.13,1.19673E-05
0.12,1.09585E-05
0.11,9.88138E-06
0.1,8.92497E-06
0.09,8.05339E-06
0.08,7.10812E-06
0.07,6.20049E-06
0.06,5.25521E-06
0.05,4.34342E-06
0.04,3.46592E-06
0.03,2.58217E-06
0.02,1.71325E-06
0.01,8.50189E-07
0,3.8334E-09
