Setup title,"I/V-t Sampling_-3V_500S__Dark"
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
Measurement.Sampling.StopCondition.Enabled,true
Measurement.Sampling.StopCondition.EnableDelay,0
Measurement.Sampling.StopCondition.Name,Time
Measurement.Sampling.StopCondition.Threshold,500
Measurement.Sampling.StopCondition.Event,"Val > Th"
Measurement.Sampling.StopCondition.EventCount,1
Time,I1
0.0335,-5.157E-11
0.50064,-3.561E-11
1.00069,-3.509E-11
1.50068,-3.493E-11
2.00064,-3.466E-11
2.50064,-3.465E-11
3.00069,-3.445E-11
3.50064,-3.449E-11
4.00064,-3.438E-11
4.50064,-3.423E-11
5.00069,-3.426E-11
5.50069,-3.405E-11
6.00068,-3.411E-11
6.50064,-3.417E-11
7.00068,-3.399E-11
7.50068,-3.396E-11
8.00069,-3.4E-11
8.50225,-3.378E-11
9.00225,-3.385E-11
9.50229,-3.378E-11
10.00225,-3.374E-11
10.50225,-3.382E-11
11.00226,-3.381E-11
11.50365,-3.357E-11
12.00365,-3.355E-11
12.50364,-3.364E-11
13.00361,-3.366E-11
13.5036,-3.346E-11
14.00365,-3.353E-11
14.5036,-3.339E-11
15.00365,-3.343E-11
15.50497,-3.334E-11
16.00501,-3.335E-11
16.50501,-3.342E-11
17.00501,-3.321E-11
17.50501,-3.318E-11
18.00497,-3.303E-11
18.50501,-3.315E-11
19.00501,-3.304E-11
19.50501,-3.298E-11
20.00501,-3.3E-11
20.50497,-3.346E-11
21.00497,-3.285E-11
21.50501,-3.294E-11
22.00501,-3.294E-11
22.50501,-3.267E-11
23.00635,-3.29E-11
23.50635,-3.281E-11
24.00631,-3.267E-11
24.50631,-3.28E-11
25.00635,-3.274E-11
25.50631,-3.254E-11
26.00631,-3.256E-11
26.50631,-3.255E-11
27.00635,-3.286E-11
27.50635,-3.246E-11
28.00635,-3.259E-11
28.50631,-3.248E-11
29.00635,-3.234E-11
29.50635,-3.233E-11
30.00635,-3.228E-11
30.50635,-3.235E-11
31.00635,-3.245E-11
31.50635,-3.225E-11
32.00631,-3.22E-11
32.50771,-3.225E-11
33.00767,-3.21E-11
33.50766,-3.22E-11
34.00064,-3.221E-11
34.50068,-3.2E-11
35.00064,-3.211E-11
35.50069,-3.207E-11
36.00064,-3.193E-11
36.50069,-3.193E-11
37.00069,-3.203E-11
37.50068,-3.196E-11
38.00064,-3.187E-11
38.50068,-3.183E-11
39.00064,-3.183E-11
39.50068,-3.172E-11
40.00069,-3.178E-11
40.50068,-3.18E-11
41.00068,-3.176E-11
41.50064,-3.172E-11
42.00069,-3.16E-11
42.50068,-3.167E-11
43.00064,-3.189E-11
43.50064,-3.156E-11
44.00064,-3.16E-11
44.50064,-3.153E-11
45.00064,-3.145E-11
45.50068,-3.149E-11
46.00068,-3.142E-11
46.50068,-3.133E-11
47.00064,-3.135E-11
47.50068,-3.16E-11
48.00064,-3.122E-11
48.50068,-3.143E-11
49.00064,-3.123E-11
49.50068,-3.123E-11
50.00064,-3.125E-11
50.50068,-3.134E-11
51.00068,-3.11E-11
51.50064,-3.108E-11
52.00064,-3.092E-11
52.50068,-3.109E-11
53.00064,-3.099E-11
53.50068,-3.086E-11
54.00064,-3.086E-11
54.50064,-3.096E-11
55.00064,-3.075E-11
55.50069,-3.09E-11
56.00069,-3.085E-11
56.50068,-3.076E-11
57.00064,-3.072E-11
57.50068,-3.078E-11
58.00069,-3.081E-11
58.50064,-3.065E-11
59.00064,-3.054E-11
59.50068,-3.064E-11
60.00069,-3.065E-11
60.50068,-3.067E-11
61.00064,-3.05E-11
61.50064,-3.046E-11
62.00064,-3.053E-11
62.50068,-3.046E-11
63.00068,-3.037E-11
63.50064,-3.044E-11
64.00064,-3.038E-11
64.50064,-3.044E-11
65.00068,-3.016E-11
65.50064,-3.027E-11
66.00064,-3.033E-11
66.50068,-3.017E-11
67.00064,-3.023E-11
67.5077,-3.01E-11
68.00766,-3.019E-11
68.5077,-2.99E-11
69.00635,-3.002E-11
69.50631,-2.991E-11
70.00631,-3.016E-11
70.50631,-2.978E-11
71.00631,-2.983E-11
71.50635,-2.967E-11
72.00635,-2.968E-11
72.50635,-2.969E-11
73.00635,-2.974E-11
73.50631,-2.967E-11
74.00631,-2.955E-11
74.50635,-2.953E-11
75.00635,-2.999E-11
75.50631,-2.938E-11
76.00631,-2.939E-11
76.50635,-2.94E-11
77.00636,-2.939E-11
77.50636,-2.927E-11
78.00631,-2.937E-11
78.50631,-2.926E-11
79.00631,-2.912E-11
79.50636,-2.915E-11
80.00636,-2.908E-11
80.50636,-2.897E-11
81.00636,-2.901E-11
81.50631,-2.887E-11
82.00501,-2.875E-11
82.50497,-2.877E-11
83.00501,-2.9E-11
83.50501,-2.877E-11
84.00501,-2.849E-11
84.50497,-2.881E-11
85.00501,-2.847E-11
85.50501,-2.839E-11
86.00501,-2.84E-11
86.50501,-2.868E-11
87.00497,-2.822E-11
87.50496,-2.835E-11
88.00501,-2.811E-11
88.50497,-2.809E-11
89.00501,-2.797E-11
89.50497,-2.789E-11
90.00365,-2.774E-11
90.50364,-2.772E-11
91.0036,-2.76E-11
91.50364,-2.739E-11
92.00364,-2.74E-11
92.5036,-2.727E-11
93.00365,-2.712E-11
93.50365,-2.701E-11
94.00365,-2.69E-11
94.5036,-2.673E-11
95.00225,-2.669E-11
95.50225,-2.646E-11
96.0023,-2.62E-11
96.5023,-2.609E-11
97.00226,-2.584E-11
97.5023,-2.543E-11
98.0023,-2.536E-11
98.5023,-2.515E-11
99.0023,-2.49E-11
99.50225,-2.452E-11
100.00095,-2.43E-11
100.50064,-2.418E-11
101.00064,-2.349E-11
101.50064,-2.307E-11
102.00064,-2.262E-11
102.50069,-2.216E-11
103.00069,-2.184E-11
103.50068,-2.131E-11
104.00069,-2.067E-11
104.50064,-2.002E-11
105.00069,-1.937E-11
105.50064,-1.862E-11
106.00069,-1.782E-11
106.50068,-1.71E-11
107.00069,-1.634E-11
107.50068,-1.547E-11
108.00068,-1.441E-11
108.50068,-1.354E-11
109.00064,-1.274E-11
109.50064,-1.17E-11
110.00064,-1.066E-11
110.50064,-9.88E-12
111.00064,-9.13E-12
111.50068,-8.3E-12
112.00069,-7.49E-12
112.5077,-6.54E-12
113.0077,-5.9E-12
113.50635,-5.38E-12
114.00635,-4.72E-12
114.50635,-4.16E-12
115.00631,-3.76E-12
115.50631,-3.23E-12
116.00631,-2.92E-12
116.50635,-2.28E-12
117.00497,-1.99E-12
117.50501,-1.73E-12
118.00497,-1.61E-12
118.50501,-1.99E-12
119.00501,-1.25E-12
119.50497,-1.21E-12
120.00361,-1.18E-12
120.50361,-1.07E-12
121.00423,-1.07E-12
121.50365,-7E-13
122.00365,-7.9E-13
122.5023,-7.7E-13
123.0023,-5.9E-13
123.5023,-5.5E-13
124.0023,-4.4E-13
124.50095,-4.5E-13
125.00069,-3.3E-13
125.50064,-1.16E-12
126.00069,-3.4E-13
126.50069,-1.8E-13
127.00069,-3.1E-13
127.50069,-3.3E-13
128.00064,-2.4E-13
128.50068,-1.4E-13
129.00064,-3.5E-13
129.50068,-2E-13
130.00064,-1.05E-12
130.50064,-1.6E-13
131.00064,-1.8E-13
131.50635,-2.1E-13
132.00631,-2.8E-13
132.50635,-1.9E-13
133.00635,-2.9E-13
133.50501,-2.1E-13
134.00501,-5.5E-13
134.50501,-2.6E-13
135.00497,-2.1E-13
135.50365,6.4E-13
136.0036,-1.6E-13
136.50365,-2.8E-13
137.00226,-2.5E-13
137.5023,-2.2E-13
138.00226,-2.9E-13
138.5023,-3.7E-13
139.00064,-1.5E-13
139.50068,-2.5E-13
140.00068,-3.4E-13
140.50064,-6E-14
141.00068,-1.1E-13
141.50068,1.8E-13
142.00068,-3.2E-13
142.50631,-2.8E-13
143.00632,9E-14
143.50501,-4.1E-13
144.00497,1.8E-13
144.50365,-9E-14
145.00365,1.3E-13
145.5023,-3E-13
146.0023,9E-14
146.50064,-4.2E-13
147.00068,1.8E-13
147.50064,2E-14
148.00064,-1.6E-13
148.50064,-4.9E-13
149.00064,-3.4E-13
149.50636,-1.6E-13
150.00631,-3.5E-13
150.50501,-1.6E-13
151.0036,-1.4E-13
151.50364,-3E-13
152.0023,-3.9E-13
152.50229,-6.7E-13
153.00069,-5E-14
153.50068,-4.3E-13
154.00068,-2.4E-13
154.50064,-4E-14
155.00068,-1.2E-13
155.5077,-2.5E-13
156.00631,-6E-14
156.50497,-1.4E-13
157.00501,-6E-14
157.5036,-1.1E-13
158.0023,-3.5E-13
158.50225,-1E-13
159.00068,-1.8E-13
159.50064,-3E-14
160.00068,-9E-14
160.50069,-3.5E-13
161.00068,-3.5E-13
161.50631,-1.8E-13
162.00636,-5.3E-13
162.50497,-5.2E-13
163.00365,-2.4E-13
163.50226,-1.3E-13
164.0023,-6E-13
164.50069,-2.3E-13
165.00064,-3.8E-13
165.50069,2.3E-13
166.00064,3E-14
166.50635,-4.9E-13
167.00631,1E-13
167.50501,-1E-14
168.00361,-1.2E-13
168.50365,-1.1E-13
169.0023,1.9E-13
169.50064,-1.2E-13
170.00064,-9E-14
170.50069,-4E-14
171.00068,-4.7E-13
171.50631,-2.1E-13
172.00631,-4.7E-13
172.50501,-4E-13
173.00364,-3.9E-13
173.50225,-2.4E-13
174.00225,-5.7E-13
174.50069,-3.4E-13
175.00068,-3E-13
175.50064,0
176.00064,-1E-14
176.50635,1E-13
177.00501,-1.2E-13
177.50497,-2E-14
178.00365,1.7E-13
178.5023,1.7E-13
179.00069,-6E-14
179.50068,1.4E-13
180.00068,-4.1E-13
180.50068,-3.8E-13
181.00635,-2.2E-13
181.50497,-1.4E-13
182.00501,-5.7E-13
182.50364,-3.4E-13
183.00226,-4.3E-13
183.50069,-3.8E-13
184.00069,-3.7E-13
184.50064,-2E-14
185.00069,-1.7E-13
185.50635,-3E-14
186.00501,9E-14
186.50365,-1.1E-13
187.0023,-2.4E-13
187.5023,1.9E-13
188.00069,-3E-14
188.50069,-2E-13
189.00064,-5.8E-13
189.50631,-9E-14
190.00631,-6.5E-13
190.50497,-5.5E-13
191.00365,-5.9E-13
191.5023,-4.7E-13
192.00069,-5.1E-13
192.50069,-3.6E-13
193.00064,-3.3E-13
193.50068,-1.6E-13
194.00635,4E-14
194.50497,-4E-14
195.00365,-1.9E-13
195.5023,-8E-14
196.0023,1.1E-13
196.50068,2E-14
197.00069,-1.8E-13
197.50069,-5.2E-13
198.00766,-4.3E-13
198.50631,-6.5E-13
199.00501,-4.9E-13
199.50364,-4E-13
200.0023,-3.2E-13
200.50068,-2E-13
201.00068,-5.4E-13
201.50069,2E-13
202.00064,-4E-14
202.50631,-1.5E-13
203.00497,-7E-14
203.5036,-3.2E-13
204.0023,-1.8E-13
204.50091,-1.3E-13
205.00069,1E-14
205.50069,-1.2E-13
206.00069,-4.3E-13
206.50636,-5.1E-13
207.00497,-5.9E-13
207.50365,-2.2E-13
208.0023,-4.2E-13
208.50069,-3.1E-13
209.00064,-4.1E-13
209.50064,1.3E-13
210.00766,2.1E-13
210.50635,2E-14
211.00497,3.2E-13
211.50365,2.3E-13
212.00226,2.8E-13
212.50064,1.1E-13
213.00064,-3.7E-13
213.50068,-1.8E-13
214.00631,-6.4E-13
214.50497,-6.5E-13
215.00365,-6.2E-13
215.50095,-2.6E-13
216.00069,-4.9E-13
216.50069,2E-14
217.0077,1.9E-13
217.50497,-1.7E-13
218.00365,-2E-14
218.50225,1E-13
219.00069,-9E-14
219.50068,-1.6E-13
220.00069,-4.9E-13
220.50635,-5.7E-13
221.00501,-6.9E-13
221.50364,-6.2E-13
222.00095,-2.6E-13
222.50064,-4.9E-13
223.00064,1.1E-13
223.50631,-1.3E-13
224.00497,-8E-14
224.50365,2.3E-13
225.00225,1.2E-13
225.50064,7E-14
226.00069,-2.2E-13
226.50069,-3.9E-13
227.00636,-7.1E-13
227.50501,-6E-13
228.00226,-1.1E-13
228.50064,-2.3E-13
229.00064,-4.8E-13
229.50069,2.1E-13
230.00636,5E-14
230.50501,1.6E-13
231.00361,3.6E-13
231.50226,1.8E-13
232.00064,3E-13
232.50069,-5.7E-13
233.00636,-1.5E-13
233.50497,-2.7E-13
234.00361,-3.8E-13
234.5023,-4.9E-13
235.00069,-7.1E-13
235.50068,1.2E-13
236.00069,-3.7E-13
236.50497,-1E-13
237.00365,5E-14
237.5023,2.3E-13
238.00069,2.2E-13
238.50064,-3.9E-13
239.00771,-6.6E-13
239.50497,-3.6E-13
240.0036,-4.6E-13
240.50229,-6.9E-13
241.00068,-6.8E-13
241.50064,1.4E-13
242.00635,2E-14
242.50501,3E-13
243.0036,3.5E-13
243.5009,-1E-13
244.00069,2E-14
244.50068,-5.6E-13
245.00635,-5.2E-13
245.50501,-6.9E-13
246.00225,-1.9E-13
246.50064,-2.4E-13
247.00064,-1.1E-13
247.50068,-3E-13
248.00636,2.5E-13
248.50365,1.7E-13
249.00226,2.1E-13
249.50064,2.8E-13
250.00064,-6.2E-13
250.50636,-4.1E-13
251.00501,-6.9E-13
251.50361,-7E-13
252.00064,-2.5E-13
252.50069,-3.5E-13
253.00069,-7E-14
253.50631,1.7E-13
254.00361,1E-14
254.50226,3.4E-13
255.00069,3.8E-13
255.50068,-7.5E-13
256.00632,-5.9E-13
256.50497,-7.9E-13
257.00226,-3.5E-13
257.50069,-6.3E-13
258.00069,1E-14
258.5077,1.9E-13
259.00497,1.2E-13
259.5036,3.8E-13
260.00068,-1.3E-13
260.50069,-1.5E-13
261.00064,-1.9E-13
261.50501,-3.9E-13
262.00364,-9E-13
262.50095,-3.5E-13
263.00069,-4.5E-13
263.50068,-1.7E-13
264.00501,-2E-14
264.5036,3.3E-13
265.00226,1.6E-13
265.50068,5E-14
266.00069,-2.8E-13
266.50497,-4.1E-13
267.0036,-7.7E-13
267.50095,-3.8E-13
268.00069,-1.9E-13
268.50064,-3.8E-13
269.00501,1.7E-13
269.50365,4E-13
270.00064,5E-14
270.50068,-3.4E-13
271.00636,-2.7E-13
271.50501,-8.8E-13
272.0023,-5.5E-13
272.50068,-7.6E-13
273.00064,2.7E-13
273.50636,1.6E-13
274.00497,1.5E-13
274.5023,9E-14
275.00069,4E-13
275.50069,-5.8E-13
276.00636,-8.1E-13
276.50365,-7.5E-13
277.0023,-9.1E-13
277.50064,-4.9E-13
278.00069,-6E-14
278.50497,-1E-14
279.00365,5E-14
279.50064,-1.8E-13
280.00068,-4.6E-13
280.50766,-6.5E-13
281.00497,-7.9E-13
281.50225,-3.9E-13
282.00068,-7.4E-13
282.50064,3.6E-13
283.00635,4.3E-13
283.5036,-3.6E-13
284.00226,4.5E-13
284.50068,0
285.00064,-3.9E-13
285.50497,-2.5E-13
286.00365,-8.2E-13
286.50095,-5.2E-13
287.00069,-1.5E-13
287.50069,-2.1E-13
288.00501,2.6E-13
288.50365,1.2E-13
289.00069,1.9E-13
289.50064,-4E-13
290.00636,-4.8E-13
290.50501,-7.1E-13
291.00226,-4E-13
291.50064,-6.2E-13
292.00064,1.1E-13
292.50635,3.4E-13
293.00497,1E-14
293.5023,2E-13
294.00069,4.2E-13
294.50069,-8.3E-13
295.00636,-6.8E-13
295.50497,-6.4E-13
296.00226,-6.8E-13
296.50069,-7.6E-13
297.00064,3.4E-13
297.50631,2.5E-13
298.00497,3.4E-13
298.50226,2.9E-13
299.00069,4E-13
299.50064,-7E-13
300.00636,-7.5E-13
300.50501,-7.1E-13
301.00225,-6E-13
301.50064,-7.7E-13
302.00069,3.9E-13
302.50631,1.9E-13
303.00501,1.8E-13
303.50226,1E-13
304.00069,3.6E-13
304.50064,-6.4E-13
305.00635,-4.7E-13
305.50501,-5.9E-13
306.00226,-4.5E-13
306.50068,-8.7E-13
307.00069,3.6E-13
307.50631,4E-14
308.00497,3.6E-13
308.5023,-7E-14
309.00068,2.6E-13
309.50064,-6.1E-13
310.00631,-3.4E-13
310.50501,-7.6E-13
311.0023,-3.8E-13
311.50069,-6.6E-13
312.00069,1.5E-13
312.50631,-7E-14
313.00501,4E-13
313.50361,3E-14
314.00064,-2E-13
314.50068,-3.5E-13
315.00064,-1.6E-13
315.50497,-4.6E-13
316.00365,-9E-13
316.50095,-1.8E-13
317.00069,-4.7E-13
317.50069,-4E-14
318.00636,2.1E-13
318.50365,1.5E-13
319.0023,3.5E-13
319.50064,7E-14
320.00064,-5.3E-13
320.50635,-7.6E-13
321.00361,-3E-13
321.50225,-6.9E-13
322.00064,-7.8E-13
322.50068,1.4E-13
323.00635,3.3E-13
323.50501,2.7E-13
324.00226,-3E-14
324.50068,6.2E-13
325.00069,-5.9E-13
325.50635,-3.2E-13
326.00501,-5.5E-13
326.50364,-5.1E-13
327.00069,-3.6E-13
327.50068,-4E-14
328.00064,-4.6E-13
328.50501,9E-14
329.00361,2.8E-13
329.5009,-3E-14
330.00068,-4E-13
330.50064,-3.4E-13
331.00501,-3.9E-13
331.50364,-7.7E-13
332.00091,-1.6E-13
332.50064,-4.1E-13
333.00069,-1.2E-13
333.50497,-1.2E-13
334.00365,2.6E-13
334.50095,-1.2E-13
335.00064,-1.4E-13
335.50069,-3.2E-13
336.00501,-6.8E-13
336.50361,-8.1E-13
337.00095,-2.6E-13
337.50069,-2.1E-13
338.00064,-1.4E-13
338.50501,1.3E-13
339.00361,-1.9E-13
339.50068,-9E-14
340.00064,-5.2E-13
340.50636,-3.9E-13
341.00501,-8.1E-13
341.5023,-9E-14
342.00064,-6.5E-13
342.50068,1.4E-13
343.00635,2.8E-13
343.50501,3.9E-13
344.00226,3.3E-13
344.50068,4E-13
345.00064,-8.4E-13
345.50635,-6.9E-13
346.00364,-4.3E-13
346.50225,-8E-13
347.00068,-5.9E-13
347.50064,1.4E-13
348.00631,-1.4E-13
348.50365,3.3E-13
349.0023,-2E-14
349.50068,-3.2E-13
350.00069,-1.1E-13
350.50501,-3.1E-13
351.00365,-6.8E-13
351.50064,-2.1E-13
352.00069,-1.9E-13
352.50068,-3.7E-13
353.00496,1.6E-13
353.50365,3.3E-13
354.00064,1.6E-13
354.50064,-1.8E-13
355.00636,-7.8E-13
355.50501,-8E-13
356.00361,-5.9E-13
356.50064,-6.9E-13
357.00064,1.1E-13
357.50636,1E-14
358.00497,3.3E-13
358.50226,-2E-13
359.00069,1.8E-13
359.50069,-5.9E-13
360.00636,-2.1E-13
360.50497,-7.2E-13
361.00226,-2.5E-13
361.50068,-4.7E-13
362.00069,1.2E-13
362.50631,-1.3E-13
363.00501,3.6E-13
363.5023,-5E-14
364.00064,1.2E-13
364.50064,-5.4E-13
365.00636,-3.2E-13
365.50497,-8.8E-13
366.0023,-3E-13
366.50064,-4.5E-13
367.00064,-5.4E-13
367.5077,1.7E-13
368.00501,1.9E-13
368.50365,3.2E-13
369.00095,-4E-14
369.50069,2E-14
370.00064,-7E-13
370.50635,-9.9E-13
371.00365,-5.7E-13
371.50229,-6.2E-13
372.00064,-8.7E-13
372.50068,2.7E-13
373.00635,1.5E-13
373.50501,3.6E-13
374.00365,2.2E-13
374.50064,-8E-14
375.00069,-2.1E-13
375.50068,-3.2E-13
376.00501,-4.5E-13
376.50361,-7.5E-13
377.00226,-1.06E-12
377.50068,-7.5E-13
378.00064,2.6E-13
378.50636,7E-14
379.00497,2.5E-13
379.5023,-3.4E-13
380.00068,9E-14
380.50069,-3.3E-13
381.00064,-5E-14
381.50501,-4.8E-13
382.00361,-6.8E-13
382.5023,-5E-13
383.00069,-5.7E-13
383.50068,8E-14
384.00636,3.4E-13
384.50361,-2.2E-13
385.00226,1E-13
385.50069,2.7E-13
386.00068,-4E-13
386.50631,-5E-13
387.00497,-5.7E-13
387.50364,-5.9E-13
388.00064,-1.1E-13
388.50068,-4.2E-13
389.00069,-1E-13
389.50631,2E-13
390.00361,-8E-14
390.50225,-1.3E-13
391.00068,3.2E-13
391.50069,-8.2E-13
392.00631,-5.9E-13
392.50501,-6.4E-13
393.0023,-3.3E-13
393.50064,-2.9E-13
394.00069,-1E-13
394.50068,-3.7E-13
395.00497,-8E-14
395.50365,1.4E-13
396.0023,3.6E-13
396.50068,3.6E-13
397.00069,-5.5E-13
397.50635,-5.4E-13
398.00497,-1.21E-12
398.5023,-2.2E-13
399.00069,-3.9E-13
399.50069,-7.2E-13
400.00064,-1.1E-13
400.50635,9E-14
401.00365,8E-14
401.50226,4.9E-13
402.00064,4E-13
402.50064,-8.3E-13
403.00636,-3E-13
403.50501,-7.5E-13
404.00361,-8.2E-13
404.50225,-6.7E-13
405.00069,-4.3E-13
405.50064,4.6E-13
406.00635,2.5E-13
406.50497,2.2E-13
407.0023,-1.2E-13
407.50069,-1.1E-13
408.00069,-4.4E-13
408.50064,-3.1E-13
409.00635,-4.5E-13
409.50365,-2.9E-13
410.0023,-5.5E-13
410.50068,-8.4E-13
411.00064,1.1E-13
411.5077,6E-14
412.00497,1E-13
412.50365,2.7E-13
413.00226,2.2E-13
413.50068,7E-14
414.00069,-6.7E-13
414.50631,-4.9E-13
415.00501,-6.2E-13
415.50365,-7.1E-13
416.0009,-3E-13
416.50064,-6E-13
417.00069,6E-14
417.50635,1.9E-13
418.00501,9E-14
418.50365,2.1E-13
419.00091,-2.5E-13
419.50069,6E-14
420.00069,-5.8E-13
420.50636,-5.9E-13
421.00501,-6.9E-13
421.50365,-5.5E-13
422.00091,-2.7E-13
422.50064,-4.8E-13
423.00064,1.7E-13
423.50631,2E-13
424.00501,2.2E-13
424.50365,1.1E-13
425.00091,8E-14
425.50069,2.3E-13
426.00069,-7.6E-13
426.50636,-5.5E-13
427.00501,-6.1E-13
427.50365,-6E-13
428.00091,-4E-14
428.50069,-5.3E-13
429.00069,5E-14
429.50631,-3.5E-13
430.00501,9E-14
430.50365,5E-14
431.0023,1.6E-13
431.50064,2.6E-13
432.00064,-5.6E-13
432.5077,-6.2E-13
433.00497,-2.5E-13
433.5036,-5.7E-13
434.00225,-7.7E-13
434.50068,-5.7E-13
435.00069,9E-14
435.50064,-3.2E-13
436.00635,4E-13
436.50361,-7.3E-13
437.0023,2E-14
437.50069,3.8E-13
438.00069,-1.3E-13
438.50068,-1.7E-13
439.00631,-5.1E-13
439.50497,-7E-13
440.0023,-2.8E-13
440.50069,-4.2E-13
441.00064,-3.6E-13
441.50069,1.5E-13
442.00636,4.8E-13
442.50497,2.9E-13
443.00361,1.6E-13
443.50095,-1.3E-13
444.00065,1.6E-13
444.50064,-4.8E-13
445.00631,-8.8E-13
445.50501,-6E-13
446.00365,-4E-13
446.5023,-7.1E-13
447.00064,-6.2E-13
447.50069,-5E-14
448.00068,-2E-13
448.50636,-1E-14
449.00365,-2.5E-13
449.50226,-2.5E-13
450.00069,-7E-14
450.50064,-1.8E-13
451.00064,-5.7E-13
451.50635,-4.4E-13
452.00501,-6E-13
452.5036,-5.4E-13
453.0023,-8.6E-13
453.50068,-6.2E-13
454.00069,-5E-14
454.50064,-1.8E-13
455.00635,1.2E-13
455.50361,-1E-13
456.00226,-1.8E-13
456.50069,-2.2E-13
457.00068,6E-14
457.50068,-6.2E-13
458.00631,-3.3E-13
458.50501,-3.4E-13
459.0036,-4.5E-13
459.50225,-3.8E-13
460.00069,-3.8E-13
460.50068,-7.6E-13
461.00068,1.1E-13
461.50635,-9E-14
462.00501,8E-14
462.50361,-4.3E-13
463.0023,-2E-14
463.50069,-2E-14
