Setup title,"C-V Sweep_post_0_-3_stress"
-1.92,1.47301E-10
-1.91,1.48601E-10
-1.9,1.49326E-10
-1.89,1.50504E-10
-1.88,1.51272E-10
-1.87,1.51894E-10
-1.86,1.51692E-10
-1.85,1.51451E-10
-1.84,1.51672E-10
-1.83,1.52124E-10
-1.82,1.53041E-10
-1.81,1.54179E-10
-1.8,1.55384E-10
-1.79,1.56083E-10
-1.78,1.56828E-10
-1.77,1.56492E-10
-1.76,1.56983E-10
-1.75,1.57021E-10
-1.74,1.57161E-10
-1.73,1.58709E-10
-1.72,1.59375E-10
-1.71,1.60415E-10
-1.7,1.61486E-10
-1.69,1.62227E-10
-1.68,1.62368E-10
-1.67,1.62393E-10
-1.66,1.63032E-10
-1.65,1.6311E-10
-1.64,1.65825E-10
-1.63,1.65821E-10
-1.62,1.65774E-10
-1.61,1.65973E-10
-1.6,1.66585E-10
-1.59,1.67807E-10
-1.58,1.69116E-10
-1.57,1.70572E-10
-1.56,1.71658E-10
-1.55,1.72116E-10
-1.54,1.71753E-10
-1.53,1.723E-10
-1.52,1.73072E-10
-1.51,1.74315E-10
-1.5,1.75322E-10
-1.49,1.76727E-10
-1.48,1.7814E-10
-1.47,1.7894E-10
-1.46,1.79416E-10
-1.45,1.79659E-10
-1.44,1.80454E-10
-1.43,1.81075E-10
-1.42,1.82465E-10
-1.41,1.83714E-10
-1.4,1.85363E-10
-1.39,1.86364E-10
-1.38,1.86686E-10
-1.37,1.87403E-10
-1.36,1.8744E-10
-1.35,1.87746E-10
-1.34,1.89341E-10
-1.33,1.89628E-10
-1.32,1.9107E-10
-1.31,1.92112E-10
-1.3,1.92331E-10
-1.29,1.92628E-10
-1.28,1.92487E-10
-1.27,1.9221E-10
-1.26,1.92126E-10
-1.25,1.92446E-10
-1.24,1.92898E-10
-1.23,1.93024E-10
-1.22,1.94011E-10
-1.21,1.94209E-10
-1.2,1.93897E-10
-1.19,1.93594E-10
-1.18,1.92877E-10
-1.17,1.92476E-10
-1.16,1.92547E-10
-1.15,1.93801E-10
-1.14,1.93858E-10
-1.13,1.93992E-10
-1.12,1.93485E-10
-1.11,1.92773E-10
-1.1,1.93129E-10
-1.09,1.93996E-10
-1.08,1.92975E-10
-1.07,1.92987E-10
-1.06,1.93569E-10
-1.05,1.94268E-10
-1.04,1.94359E-10
-1.03,1.95077E-10
-1.02,1.93986E-10
-1.01,1.93477E-10
-1,1.93956E-10
-0.99,1.94798E-10
-0.98,1.94274E-10
-0.97,1.95064E-10
-0.96,1.96033E-10
-0.95,1.96523E-10
-0.94,1.96641E-10
-0.93,1.96196E-10
-0.92,1.96461E-10
-0.91,1.96198E-10
-0.9,1.9714E-10
-0.89,1.98298E-10
-0.88,1.9889E-10
-0.87,2.00307E-10
-0.86,2.00967E-10
-0.85,2.02471E-10
-0.84,2.03188E-10
-0.83,2.0368E-10
-0.82,2.04158E-10
-0.81,2.04834E-10
-0.8,2.05077E-10
-0.79,2.06115E-10
-0.78,2.06562E-10
-0.77,2.07706E-10
-0.76,2.0931E-10
-0.75,2.10194E-10
-0.74,2.11836E-10
-0.73,2.13227E-10
-0.72,2.14439E-10
-0.71,2.15301E-10
-0.7,2.16676E-10
-0.69,2.17321E-10
-0.68,2.18267E-10
-0.67,2.18883E-10
-0.66,2.19958E-10
-0.65,2.20742E-10
-0.64,2.22253E-10
-0.63,2.23848E-10
-0.62,2.25223E-10
-0.61,2.27049E-10
-0.6,2.29001E-10
-0.59,2.30677E-10
-0.58,2.32376E-10
-0.57,2.34104E-10
-0.56,2.35501E-10
-0.55,2.36831E-10
-0.54,2.38552E-10
-0.53,2.39924E-10
-0.52,2.41285E-10
-0.51,2.43012E-10
-0.5,2.44844E-10
-0.49,2.47712E-10
-0.48,2.49318E-10
-0.47,2.51558E-10
-0.46,2.53574E-10
-0.45,2.56365E-10
-0.44,2.5861E-10
-0.43,2.61159E-10
-0.42,2.63508E-10
-0.41,2.65804E-10
-0.4,2.68088E-10
-0.39,2.70459E-10
-0.38,2.72415E-10
-0.37,2.75147E-10
-0.36,2.7781E-10
-0.35,2.80883E-10
-0.34,2.831E-10
-0.33,2.86379E-10
-0.32,2.89232E-10
-0.31,2.93416E-10
-0.3,2.96545E-10
-0.29,2.99907E-10
-0.28,3.03822E-10
-0.27,3.07089E-10
-0.26,3.10913E-10
-0.25,3.14637E-10
-0.24,3.17423E-10
-0.23,3.21221E-10
-0.22,3.24973E-10
-0.21,3.28395E-10
-0.2,3.32101E-10
-0.19,3.3531E-10
-0.18,3.39092E-10
-0.17,3.42907E-10
-0.16,3.46943E-10
-0.15,3.50924E-10
-0.14,3.5451E-10
-0.13,3.58429E-10
-0.12,3.62154E-10
-0.11,3.64955E-10
-0.1,3.68171E-10
-0.09,3.71053E-10
-0.08,3.73794E-10
-0.07,3.76096E-10
-0.06,3.78732E-10
-0.05,3.80957E-10
-0.04,3.828E-10
-0.03,3.85401E-10
-0.02,3.87437E-10
-0.01,3.88938E-10
0,3.91241E-10
0.01,3.93046E-10
0.02,3.95091E-10
0.03,3.96687E-10
0.04,3.99094E-10
0.05,3.99666E-10
0.06,4.02224E-10
0.07,4.03556E-10
0.08,4.04621E-10
0.09,4.06334E-10
0.1,4.07501E-10
0.11,4.08789E-10
0.12,4.09322E-10
0.13,4.09786E-10
0.14,4.1116E-10
0.15,4.10666E-10
0.16,4.12255E-10
0.17,4.12732E-10
0.18,4.13209E-10
0.19,4.13202E-10
0.2,4.14405E-10
0.21,4.1467E-10
0.22,4.14842E-10
0.23,4.15823E-10
0.24,4.16344E-10
0.25,4.16521E-10
0.26,4.17299E-10
0.27,4.18039E-10
0.28,4.18738E-10
0.29,4.19745E-10
0.3,4.196E-10
0.31,4.20216E-10
0.32,4.20683E-10
0.33,4.20678E-10
0.34,4.21359E-10
0.35,4.21785E-10
0.36,4.21062E-10
0.37,4.21296E-10
0.38,4.21345E-10
0.39,4.22755E-10
0.4,4.23531E-10
0.41,4.23326E-10
0.42,4.23472E-10
0.43,4.23014E-10
0.44,4.23792E-10
0.45,4.23505E-10
0.46,4.24064E-10
0.47,4.24455E-10
0.48,4.24726E-10
0.49,4.2442E-10
0.5,4.23891E-10
0.51,4.24056E-10
0.52,4.25525E-10
0.53,4.24983E-10
0.54,4.24942E-10
0.55,4.24881E-10
0.56,4.25564E-10
0.57,4.25958E-10
0.58,4.26057E-10
0.59,4.26746E-10
0.6,4.26344E-10
0.61,4.27082E-10
0.62,4.26469E-10
0.63,4.27302E-10
0.64,4.26893E-10
0.65,4.26851E-10
0.66,4.27006E-10
0.67,4.26849E-10
0.68,4.2704E-10
0.69,4.27251E-10
0.7,4.26731E-10
0.71,4.27133E-10
0.72,4.27433E-10
0.73,4.27151E-10
0.74,4.27791E-10
0.75,4.27502E-10
0.76,4.27838E-10
0.77,4.28292E-10
0.78,4.28017E-10
0.79,4.27878E-10
0.8,4.28221E-10
0.81,4.28395E-10
0.82,4.28338E-10
0.83,4.28425E-10
0.84,4.29242E-10
0.85,4.28663E-10
0.86,4.28722E-10
0.87,4.29175E-10
0.88,4.28589E-10
0.89,4.28876E-10
0.9,4.29293E-10
0.91,4.29429E-10
0.92,4.2931E-10
0.93,4.29025E-10
0.94,4.29241E-10
0.95,4.29256E-10
0.96,4.29575E-10
0.97,4.29436E-10
0.98,4.29745E-10
0.99,4.29652E-10
1,4.29937E-10
1.01,4.30481E-10
1.02,4.30356E-10
1.03,4.30521E-10
1.04,4.30891E-10
1.05,4.30361E-10
1.06,4.30965E-10
1.07,4.31572E-10
1.08,4.31122E-10
1.09,4.31503E-10
1.1,4.31864E-10
1.11,4.31211E-10
1.12,4.31502E-10
1.13,4.31594E-10
1.14,4.31328E-10
1.15,4.31409E-10
1.16,4.31378E-10
1.17,4.31021E-10
1.18,4.31296E-10
1.19,4.31418E-10
1.2,4.3079E-10
1.21,4.30716E-10
1.22,4.30495E-10
1.23,4.30754E-10
1.24,4.30817E-10
1.25,4.3104E-10
1.26,4.30911E-10
1.27,4.31046E-10
1.28,4.32208E-10
1.29,4.32348E-10
1.3,4.31953E-10
1.31,4.32218E-10
1.32,4.31892E-10
1.33,4.32895E-10
1.34,4.32021E-10
1.35,4.31579E-10
1.36,4.3217E-10
1.37,4.32114E-10
1.38,4.31638E-10
1.39,4.31911E-10
1.4,4.3134E-10
1.41,4.31412E-10
1.42,4.31385E-10
1.43,4.31473E-10
1.44,4.31712E-10
1.45,4.32993E-10
1.46,4.3229E-10
1.47,4.32982E-10
1.48,4.32268E-10
1.49,4.3202E-10
1.5,4.32031E-10
1.51,4.31415E-10
1.52,4.31957E-10
1.53,4.31208E-10
1.54,4.31843E-10
1.55,4.32119E-10
1.56,4.32508E-10
1.57,4.33111E-10
1.58,4.32652E-10
1.59,4.33136E-10
1.6,4.32989E-10
1.61,4.32296E-10
1.62,4.32083E-10
1.63,4.31957E-10
1.64,4.323E-10
1.65,4.3198E-10
1.66,4.33238E-10
1.67,4.32996E-10
1.68,4.33316E-10
1.69,4.33052E-10
1.7,4.3283E-10
1.71,4.32276E-10
1.72,4.31687E-10
1.73,4.31001E-10
1.74,4.31058E-10
1.75,4.31141E-10
1.76,4.31188E-10
1.77,4.31787E-10
1.78,4.31196E-10
1.79,4.31072E-10
1.8,4.30416E-10
1.81,4.30387E-10
1.82,4.3053E-10
1.83,4.30838E-10
1.84,4.31208E-10
1.85,4.30776E-10
1.86,4.30876E-10
1.87,4.30428E-10
1.88,4.30993E-10
1.89,4.30488E-10
1.9,4.30161E-10
1.91,4.30848E-10
1.92,4.31707E-10
1.93,4.31017E-10
1.94,4.30751E-10
1.95,4.30917E-10
1.96,4.32E-10
1.97,4.31679E-10
1.98,4.31456E-10
1.99,4.3118E-10
2,4.30156E-10
2,4.30975E-10
1.99,4.30773E-10
1.98,4.30593E-10
1.97,4.30935E-10
1.96,4.3177E-10
1.95,4.31886E-10
1.94,4.31398E-10
1.93,4.30725E-10
1.92,4.31902E-10
1.91,4.31219E-10
1.9,4.3069E-10
1.89,4.3046E-10
1.88,4.31156E-10
1.87,4.31492E-10
1.86,4.31747E-10
1.85,4.31403E-10
1.84,4.30825E-10
1.83,4.31399E-10
1.82,4.31105E-10
1.81,4.31656E-10
1.8,4.30525E-10
1.79,4.309E-10
1.78,4.30743E-10
1.77,4.31592E-10
1.76,4.31198E-10
1.75,4.31113E-10
1.74,4.30449E-10
1.73,4.30541E-10
1.72,4.31142E-10
1.71,4.30964E-10
1.7,4.31353E-10
1.69,4.30836E-10
1.68,4.30581E-10
1.67,4.30995E-10
1.66,4.3104E-10
1.65,4.30577E-10
1.64,4.30244E-10
1.63,4.31227E-10
1.62,4.30508E-10
1.61,4.3117E-10
1.6,4.30442E-10
1.59,4.30822E-10
1.58,4.30637E-10
1.57,4.31433E-10
1.56,4.30241E-10
1.55,4.3039E-10
1.54,4.30388E-10
1.53,4.3094E-10
1.52,4.30712E-10
1.51,4.30555E-10
1.5,4.30575E-10
1.49,4.31023E-10
1.48,4.30788E-10
1.47,4.29845E-10
1.46,4.30027E-10
1.45,4.31114E-10
1.44,4.2995E-10
1.43,4.30261E-10
1.42,4.30211E-10
1.41,4.30295E-10
1.4,4.30148E-10
1.39,4.29793E-10
1.38,4.2998E-10
1.37,4.30433E-10
1.36,4.2934E-10
1.35,4.30042E-10
1.34,4.30563E-10
1.33,4.2961E-10
1.32,4.29658E-10
1.31,4.29604E-10
1.3,4.30064E-10
1.29,4.29834E-10
1.28,4.29285E-10
1.27,4.29781E-10
1.26,4.30421E-10
1.25,4.29918E-10
1.24,4.2943E-10
1.23,4.30023E-10
1.22,4.30116E-10
1.21,4.29242E-10
1.2,4.29743E-10
1.19,4.3032E-10
1.18,4.29416E-10
1.17,4.28905E-10
1.16,4.29555E-10
1.15,4.29756E-10
1.14,4.29172E-10
1.13,4.28521E-10
1.12,4.29597E-10
1.11,4.29274E-10
1.1,4.29288E-10
1.09,4.28928E-10
1.08,4.29208E-10
1.07,4.28761E-10
1.06,4.29198E-10
1.05,4.2853E-10
1.04,4.29134E-10
1.03,4.28898E-10
1.02,4.28624E-10
1.01,4.28429E-10
1,4.29236E-10
0.99,4.28458E-10
0.98,4.28433E-10
0.97,4.2867E-10
0.96,4.28556E-10
0.95,4.27822E-10
0.94,4.28511E-10
0.93,4.28797E-10
0.92,4.28324E-10
0.91,4.28307E-10
0.9,4.28604E-10
0.89,4.28081E-10
0.88,4.27809E-10
0.87,4.2854E-10
0.86,4.27949E-10
0.85,4.27857E-10
0.84,4.28535E-10
0.83,4.28226E-10
0.82,4.27654E-10
0.81,4.27715E-10
0.8,4.2692E-10
0.79,4.27536E-10
0.78,4.27318E-10
0.77,4.27128E-10
0.76,4.26903E-10
0.75,4.2716E-10
0.74,4.26976E-10
0.73,4.26305E-10
0.72,4.26924E-10
0.71,4.26322E-10
0.7,4.26368E-10
0.69,4.26351E-10
0.68,4.26482E-10
0.67,4.26663E-10
0.66,4.26153E-10
0.65,4.26325E-10
0.64,4.25735E-10
0.63,4.26052E-10
0.62,4.2547E-10
0.61,4.26043E-10
0.6,4.25931E-10
0.59,4.25963E-10
0.58,4.25292E-10
0.57,4.25635E-10
0.56,4.25257E-10
0.55,4.24873E-10
0.54,4.25144E-10
0.53,4.24798E-10
0.52,4.24669E-10
0.51,4.24443E-10
0.5,4.24351E-10
0.49,4.2437E-10
0.48,4.24082E-10
0.47,4.23912E-10
0.46,4.24045E-10
0.45,4.23185E-10
0.44,4.22248E-10
0.43,4.22723E-10
0.42,4.22685E-10
0.41,4.22355E-10
0.4,4.21703E-10
0.39,4.21084E-10
0.38,4.2163E-10
0.37,4.21532E-10
0.36,4.21013E-10
0.35,4.19547E-10
0.34,4.20833E-10
0.33,4.20667E-10
0.32,4.18933E-10
0.31,4.18981E-10
0.3,4.18991E-10
0.29,4.18895E-10
0.28,4.17873E-10
0.27,4.17265E-10
0.26,4.19833E-10
0.25,4.16858E-10
0.24,4.16343E-10
0.23,4.16093E-10
0.22,4.14363E-10
0.21,4.14096E-10
0.2,4.13826E-10
0.19,4.13023E-10
0.18,4.11792E-10
0.17,4.12165E-10
0.16,4.11194E-10
0.15,4.11212E-10
0.14,4.09869E-10
0.13,4.08717E-10
0.12,4.07601E-10
0.11,4.07497E-10
0.1,4.06574E-10
0.09,4.05389E-10
0.08,4.0278E-10
0.07,4.02155E-10
0.06,4.01087E-10
0.05,4.0008E-10
0.04,3.97947E-10
0.03,3.96396E-10
0.02,3.95712E-10
0.01,3.93232E-10
0,3.91678E-10
-0.01,3.89331E-10
-0.02,3.87813E-10
-0.03,3.85673E-10
-0.04,3.83905E-10
-0.05,3.80691E-10
-0.06,3.7794E-10
-0.07,3.76166E-10
-0.08,3.73357E-10
-0.09,3.70255E-10
-0.1,3.66945E-10
-0.11,3.63066E-10
-0.12,3.60539E-10
-0.13,3.5785E-10
-0.14,3.54157E-10
-0.15,3.5032E-10
-0.16,3.46543E-10
-0.17,3.43061E-10
-0.18,3.39364E-10
-0.19,3.36325E-10
-0.2,3.32828E-10
-0.21,3.28227E-10
-0.22,3.24187E-10
-0.23,3.21044E-10
-0.24,3.16954E-10
-0.25,3.13711E-10
-0.26,3.09393E-10
-0.27,3.05768E-10
-0.28,3.02654E-10
-0.29,2.99234E-10
-0.3,2.96407E-10
-0.31,2.921E-10
-0.32,2.89376E-10
-0.33,2.86588E-10
-0.34,2.84214E-10
-0.35,2.8034E-10
-0.36,2.7755E-10
-0.37,2.74642E-10
-0.38,2.72272E-10
-0.39,2.70034E-10
-0.4,2.67124E-10
-0.41,2.63913E-10
-0.42,2.62003E-10
-0.43,2.60025E-10
-0.44,2.57719E-10
-0.45,2.55026E-10
-0.46,2.53431E-10
-0.47,2.51162E-10
-0.48,2.49912E-10
-0.49,2.47662E-10
-0.5,2.45357E-10
-0.51,2.43452E-10
-0.52,2.4227E-10
-0.53,2.39888E-10
-0.54,2.38024E-10
-0.55,2.35679E-10
-0.56,2.34863E-10
-0.57,2.33072E-10
-0.58,2.31402E-10
-0.59,2.29559E-10
-0.6,2.2813E-10
-0.61,2.2748E-10
-0.62,2.25958E-10
-0.63,2.23743E-10
-0.64,2.22635E-10
-0.65,2.21662E-10
-0.66,2.20457E-10
-0.67,2.19358E-10
-0.68,2.1784E-10
-0.69,2.16819E-10
-0.7,2.16293E-10
-0.71,2.14312E-10
-0.72,2.13895E-10
-0.73,2.12908E-10
-0.74,2.1191E-10
-0.75,2.09991E-10
-0.76,2.09605E-10
-0.77,2.09235E-10
-0.78,2.07912E-10
-0.79,2.07028E-10
-0.8,2.05414E-10
-0.81,2.05065E-10
-0.82,2.0484E-10
-0.83,2.03035E-10
-0.84,2.01891E-10
-0.85,2.01532E-10
-0.86,2.00762E-10
-0.87,1.99926E-10
-0.88,1.98938E-10
-0.89,1.98377E-10
-0.9,1.97984E-10
-0.91,1.97074E-10
-0.92,1.95923E-10
-0.93,1.95567E-10
-0.94,1.95323E-10
-0.95,1.94202E-10
-0.96,1.92995E-10
-0.97,1.93111E-10
-0.98,1.92647E-10
-0.99,1.91663E-10
-1,1.90397E-10
-1.01,1.90677E-10
-1.02,1.90738E-10
-1.03,1.89366E-10
-1.04,1.88373E-10
-1.05,1.89088E-10
-1.06,1.88589E-10
-1.07,1.87866E-10
-1.08,1.86945E-10
-1.09,1.8715E-10
-1.1,1.86246E-10
-1.11,1.85583E-10
-1.12,1.85558E-10
-1.13,1.85372E-10
-1.14,1.84637E-10
-1.15,1.84168E-10
-1.16,1.84476E-10
-1.17,1.83747E-10
-1.18,1.8276E-10
-1.19,1.82478E-10
-1.2,1.82382E-10
-1.21,1.82724E-10
-1.22,1.81499E-10
-1.23,1.80661E-10
-1.24,1.81493E-10
-1.25,1.81435E-10
-1.26,1.80358E-10
-1.27,1.80047E-10
-1.28,1.79744E-10
-1.29,1.79818E-10
-1.3,1.79004E-10
-1.31,1.78999E-10
-1.32,1.7897E-10
-1.33,1.78844E-10
-1.34,1.77926E-10
-1.35,1.77745E-10
-1.36,1.77685E-10
-1.37,1.77254E-10
-1.38,1.7698E-10
-1.39,1.77407E-10
-1.4,1.76459E-10
-1.41,1.76226E-10
-1.42,1.76008E-10
-1.43,1.76316E-10
-1.44,1.75501E-10
-1.45,1.74896E-10
-1.46,1.75101E-10
-1.47,1.75195E-10
-1.48,1.74121E-10
-1.49,1.7365E-10
-1.5,1.73957E-10
-1.51,1.73647E-10
-1.52,1.73452E-10
-1.53,1.72118E-10
-1.54,1.73169E-10
-1.55,1.73109E-10
-1.56,1.72318E-10
-1.57,1.71728E-10
-1.58,1.71634E-10
-1.59,1.71657E-10
-1.6,1.71432E-10
-1.61,1.70508E-10
-1.62,1.71041E-10
-1.63,1.70588E-10
-1.64,1.69884E-10
-1.65,1.69641E-10
-1.66,1.69969E-10
-1.67,1.69731E-10
-1.68,1.69294E-10
-1.69,1.69213E-10
-1.7,1.69304E-10
-1.71,1.6877E-10
-1.72,1.68482E-10
-1.73,1.68062E-10
-1.74,1.68317E-10
-1.75,1.67623E-10
-1.76,1.67336E-10
-1.77,1.67427E-10
-1.78,1.67386E-10
-1.79,1.66289E-10
-1.8,1.66664E-10
-1.81,1.65993E-10
-1.82,1.65789E-10
-1.83,1.65574E-10
-1.84,1.65531E-10
-1.85,1.65119E-10
-1.86,1.65437E-10
-1.87,1.64981E-10
-1.88,1.6425E-10
-1.89,1.64737E-10
-1.9,1.64819E-10
-1.91,1.64022E-10
-1.92,1.63611E-10
-1.93,1.63563E-10
-1.94,1.63744E-10
-1.95,1.63445E-10
-1.96,1.63084E-10
-1.97,1.62929E-10
-1.98,1.62818E-10
-1.99,1.62824E-10
-2,1.62284E-10
-2,1.60827E-10
-1.99,1.61233E-10
-1.98,1.61751E-10
-1.97,1.62038E-10
-1.96,1.62422E-10
-1.95,1.63008E-10
-1.94,1.6341E-10
-1.93,1.63772E-10
-1.92,1.64498E-10
-1.91,1.64853E-10
-1.9,1.65286E-10
-1.89,1.65682E-10
-1.88,1.6636E-10
-1.87,1.66691E-10
-1.86,1.67349E-10
-1.85,1.67582E-10
-1.84,1.68399E-10
-1.83,1.68805E-10
-1.82,1.69262E-10
-1.81,1.69548E-10
-1.8,1.70264E-10
-1.79,1.70808E-10
-1.78,1.7131E-10
-1.77,1.71976E-10
-1.76,1.7261E-10
-1.75,1.73076E-10
-1.74,1.73724E-10
-1.73,1.7411E-10
-1.72,1.74733E-10
-1.71,1.7532E-10
-1.7,1.76006E-10
-1.69,1.76532E-10
-1.68,1.77176E-10
-1.67,1.77958E-10
-1.66,1.78312E-10
-1.65,1.79088E-10
-1.64,1.79684E-10
-1.63,1.80311E-10
-1.62,1.8085E-10
-1.61,1.81372E-10
-1.6,1.82043E-10
-1.59,1.83027E-10
-1.58,1.83596E-10
-1.57,1.84216E-10
-1.56,1.84995E-10
-1.55,1.85613E-10
-1.54,1.8648E-10
-1.53,1.86951E-10
-1.52,1.88061E-10
-1.51,1.88641E-10
-1.5,1.89376E-10
-1.49,1.90079E-10
-1.48,1.90721E-10
-1.47,1.91555E-10
-1.46,1.92266E-10
-1.45,1.93073E-10
-1.44,1.93878E-10
-1.43,1.94578E-10
-1.42,1.95234E-10
-1.41,1.96051E-10
-1.4,1.96641E-10
-1.39,1.97249E-10
-1.38,1.97815E-10
-1.37,1.98496E-10
-1.36,1.98864E-10
-1.35,1.99544E-10
-1.34,1.99664E-10
-1.33,2.00349E-10
-1.32,2.00594E-10
-1.31,2.00591E-10
-1.3,2.0111E-10
-1.29,2.01294E-10
-1.28,2.01479E-10
-1.27,2.01702E-10
-1.26,2.01823E-10
-1.25,2.01961E-10
-1.24,2.01894E-10
-1.23,2.02126E-10
-1.22,2.02075E-10
-1.21,2.02207E-10
-1.2,2.02338E-10
-1.19,2.02136E-10
-1.18,2.02309E-10
-1.17,2.02131E-10
-1.16,2.02163E-10
-1.15,2.02015E-10
-1.14,2.02178E-10
-1.13,2.02272E-10
-1.12,2.02302E-10
-1.11,2.02137E-10
-1.1,2.02231E-10
-1.09,2.02233E-10
-1.08,2.02088E-10
-1.07,2.02095E-10
-1.06,2.02024E-10
-1.05,2.02363E-10
-1.04,2.02377E-10
-1.03,2.02381E-10
-1.02,2.02392E-10
-1.01,2.02158E-10
-1,2.02591E-10
-0.99,2.02388E-10
-0.98,2.0233E-10
-0.97,2.02452E-10
-0.96,2.02437E-10
-0.95,2.02514E-10
-0.94,2.02532E-10
-0.93,2.02608E-10
-0.92,2.02413E-10
-0.91,2.02802E-10
-0.9,2.02613E-10
-0.89,2.02862E-10
-0.88,2.03131E-10
-0.87,2.03179E-10
-0.86,2.033E-10
-0.85,2.03579E-10
-0.84,2.03617E-10
-0.83,2.04071E-10
-0.82,2.04438E-10
-0.81,2.04682E-10
-0.8,2.0529E-10
-0.79,2.05604E-10
