Setup title,"I/V Sweep_0_-3"
Classic test name,"I/V Sweep"
Test date,2/15/2023
Test time,15:36:34
Device ID,
Count,2
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-3
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,6
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,6
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-2.3E-13
-0.01,-3.1E-13
-0.02,-4.9E-13
-0.03,-4.6E-13
-0.04,9.3E-13
-0.05,-1.4E-13
-0.06,-6.8E-13
-0.07,0
-0.08,-1.96E-12
-0.09,6.9E-13
-0.1,-5E-13
-0.11,-3.5E-13
-0.12,1E-14
-0.13,-1.1E-13
-0.14,-5.7E-13
-0.15,-4.1E-13
-0.16,-2.5E-13
-0.17,8E-14
-0.18,-2.2E-13
-0.19,-3.8E-13
-0.2,-4.6E-13
-0.21,-3.6E-13
-0.22,-5E-13
-0.23,-3.8E-13
-0.24,-1E-13
-0.25,-4.8E-13
-0.26,-6.8E-13
-0.27,-1.5E-13
-0.28,-7E-13
-0.29,5E-14
-0.3,-1.9E-13
-0.31,-1.7E-13
-0.32,1.4E-13
-0.33,-6.3E-13
-0.34,1E-14
-0.35,-1.9E-13
-0.36,4E-14
-0.37,-7.4E-13
-0.38,-6.5E-13
-0.39,1.7E-13
-0.4,-7.8E-13
-0.41,-7E-13
-0.42,-4E-13
-0.43,-2.6E-13
-0.44,-6E-13
-0.45,-2.6E-13
-0.46,-3.9E-13
-0.47,-5.7E-13
-0.48,-2.8E-13
-0.49,-3E-13
-0.5,-8.1E-13
-0.51,-5.2E-13
-0.52,-5.3E-13
-0.53,-8E-14
-0.54,-7.1E-13
-0.55,-1.9E-13
-0.56,-6E-14
-0.57,-6.8E-13
-0.58,-5.6E-13
-0.59,-1.14E-12
-0.6,-5.3E-13
-0.61,-1.21E-12
-0.62,-3.2E-13
-0.63,-6E-13
-0.64,-1.3E-12
-0.65,-1.46E-12
-0.66,-1.03E-12
-0.67,-1.99E-12
-0.68,-1.9E-12
-0.69,-2.16E-12
-0.7,-2.32E-12
-0.71,-2.61E-12
-0.72,-2.76E-12
-0.73,-3.14E-12
-0.74,-4.18E-12
-0.75,-3.21E-12
-0.76,-3.84E-12
-0.77,-4.33E-12
-0.78,-4.37E-12
-0.79,-4.49E-12
-0.8,-4.64E-12
-0.81,-4.83E-12
-0.82,-5.23E-12
-0.83,-5.61E-12
-0.84,-6.19E-12
-0.85,-6.02E-12
-0.86,-7.64E-12
-0.87,-7.2E-12
-0.88,-8.2E-12
-0.89,-8.49E-12
-0.9,-8.95E-12
-0.91,-1.011E-11
-0.92,-1.039E-11
-0.93,-1.097E-11
-0.94,-1.238E-11
-0.95,-1.234E-11
-0.96,-1.324E-11
-0.97,-1.432E-11
-0.98,-1.534E-11
-0.99,-1.705E-11
-1,-1.643E-11
-1.01,-1.739E-11
-1.02,-1.817E-11
-1.03,-1.856E-11
-1.04,-1.925E-11
-1.05,-2.026E-11
-1.06,-2.039E-11
-1.07,-2.07E-11
-1.08,-2.13E-11
-1.09,-2.228E-11
-1.1,-2.239E-11
-1.11,-2.275E-11
-1.12,-2.333E-11
-1.13,-2.379E-11
-1.14,-2.381E-11
-1.15,-2.401E-11
-1.16,-2.464E-11
-1.17,-2.491E-11
-1.18,-2.475E-11
-1.19,-2.485E-11
-1.2,-2.545E-11
-1.21,-2.522E-11
-1.22,-2.576E-11
-1.23,-2.606E-11
-1.24,-2.611E-11
-1.25,-2.598E-11
-1.26,-2.649E-11
-1.27,-2.668E-11
-1.28,-2.638E-11
-1.29,-2.672E-11
-1.3,-2.679E-11
-1.31,-2.708E-11
-1.32,-2.72E-11
-1.33,-2.688E-11
-1.34,-2.731E-11
-1.35,-2.728E-11
-1.36,-2.756E-11
-1.37,-2.725E-11
-1.38,-2.751E-11
-1.39,-2.742E-11
-1.4,-2.759E-11
-1.41,-2.793E-11
-1.42,-2.793E-11
-1.43,-2.797E-11
-1.44,-2.787E-11
-1.45,-2.768E-11
-1.46,-2.797E-11
-1.47,-2.832E-11
