Setup title,"C-V Sweep_1k_10k"
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,C
,1.26024E-10
,1.24262E-10
,1.23502E-10
,1.21989E-10
,1.20907E-10
,1.21273E-10
,1.21593E-10
,1.22743E-10
,1.23136E-10
,1.24332E-10
,1.24337E-10
,1.25371E-10
,1.25474E-10
,1.25289E-10
,1.24546E-10
,1.24933E-10
,1.25536E-10
,1.26427E-10
,1.27085E-10
,1.27111E-10
,1.27809E-10
,1.28365E-10
,1.29018E-10
,1.29359E-10
,1.27846E-10
,1.28529E-10
,1.28811E-10
,1.28962E-10
,1.29702E-10
,1.30023E-10
,1.30358E-10
,1.30541E-10
,1.31381E-10
,1.32243E-10
,1.32917E-10
,1.33344E-10
,1.33463E-10
,1.33532E-10
,1.33453E-10
,1.34211E-10
,1.34518E-10
,1.3483E-10
,1.34551E-10
,1.36213E-10
,1.36554E-10
,1.37149E-10
,1.35924E-10
,1.33836E-10
,1.33855E-10
,1.33104E-10
,1.32556E-10
,1.33286E-10
,1.33567E-10
,1.34458E-10
,1.35703E-10
,1.3597E-10
,1.36325E-10
,1.37018E-10
,1.37777E-10
,1.38675E-10
,1.38796E-10
,1.401E-10
,1.41361E-10
,1.42538E-10
,1.42829E-10
,1.4356E-10
,1.43518E-10
,1.44525E-10
,1.45382E-10
,1.45515E-10
,1.43367E-10
,1.41843E-10
,1.41781E-10
,1.41755E-10
,1.42527E-10
,1.42604E-10
,1.43896E-10
,1.43787E-10
,1.44666E-10
,1.44953E-10
,1.45176E-10
,1.44081E-10
,1.45419E-10
,1.46006E-10
,1.47155E-10
,1.47382E-10
,1.49167E-10
,1.50212E-10
,1.50928E-10
,1.51978E-10
,1.53604E-10
,1.53688E-10
,1.54631E-10
,1.55563E-10
,1.55961E-10
,1.56475E-10
,1.57006E-10
,1.57525E-10
,1.58308E-10
,1.59502E-10
,1.5943E-10
,1.60785E-10
,1.6238E-10
,1.63807E-10
,1.64053E-10
,1.65666E-10
,1.66354E-10
,1.67364E-10
,1.67973E-10
,1.68467E-10
,1.68025E-10
,1.68417E-10
,1.69531E-10
,1.7004E-10
,1.70988E-10
,1.71742E-10
,1.72628E-10
,1.7366E-10
,1.74477E-10
,1.7526E-10
,1.76922E-10
,1.78496E-10
,1.78933E-10
,1.80155E-10
,1.80889E-10
,1.81687E-10
,1.82897E-10
,1.83364E-10
,1.84202E-10
,1.7781E-10
,1.84612E-10
,1.84694E-10
,1.85365E-10
,1.85134E-10
,1.85846E-10
,1.86306E-10
,1.86564E-10
,1.86158E-10
,1.86454E-10
,1.87211E-10
,1.86789E-10
,1.87225E-10
,1.86984E-10
,1.87036E-10
,1.88409E-10
,1.88985E-10
,1.88479E-10
,1.88703E-10
,1.88591E-10
,1.88789E-10
,1.8865E-10
,1.88769E-10
,1.88905E-10
,1.88163E-10
,1.88384E-10
,1.88639E-10
,1.88993E-10
,1.89175E-10
,1.89189E-10
,1.89342E-10
,1.89034E-10
,1.89682E-10
,1.89493E-10
,1.88595E-10
,1.88078E-10
,1.89035E-10
,1.89067E-10
,1.89472E-10
,1.89559E-10
,1.89546E-10
,1.89655E-10
,1.89245E-10
,1.89579E-10
,1.89123E-10
,1.89493E-10
,1.89073E-10
,1.88683E-10
,1.89188E-10
,1.8996E-10
,1.90167E-10
,1.8997E-10
,1.9009E-10
,1.89285E-10
,1.89496E-10
,1.89252E-10
,1.88837E-10
,1.88721E-10
,1.89376E-10
,1.89482E-10
,1.90248E-10
,1.90061E-10
,1.9021E-10
,1.89325E-10
,1.89679E-10
,1.89439E-10
,1.88711E-10
,1.88295E-10
,1.89505E-10
,1.90106E-10
,1.89696E-10
,1.89796E-10
,1.89089E-10
,1.88747E-10
,1.88855E-10
,1.88773E-10
,1.89783E-10
,1.89799E-10
,1.90188E-10
,1.88961E-10
,1.88991E-10
,1.89384E-10
,1.90131E-10
,1.90251E-10
,1.90563E-10
,1.91205E-10
,1.90433E-10
,1.89964E-10
,1.90904E-10
,1.9123E-10
,1.90679E-10
,1.90708E-10
,1.90275E-10
,1.9109E-10
,1.91491E-10
,1.92278E-10
,1.93154E-10
,1.93636E-10
,1.94129E-10
,1.94623E-10
,1.96284E-10
,1.97203E-10
,1.9766E-10
,1.98274E-10
,1.98692E-10
,2.00417E-10
,2.02016E-10
,2.03977E-10
,2.0526E-10
,2.05807E-10
,2.07326E-10
,2.09565E-10
,2.10052E-10
,2.11198E-10
,2.11738E-10
,2.1322E-10
,2.14892E-10
,2.16912E-10
,2.18427E-10
,2.19692E-10
,2.20549E-10
,2.21992E-10
,2.23945E-10
,2.25615E-10
,2.27313E-10
,2.28555E-10
,2.31732E-10
,2.3297E-10
,2.35493E-10
,2.37256E-10
,2.38077E-10
,2.40707E-10
,2.42676E-10
,2.44464E-10
,2.46258E-10
,2.50004E-10
,2.51372E-10
,2.54172E-10
,2.55555E-10
,2.5723E-10
,2.5948E-10
,2.62439E-10
,2.65389E-10
,2.67705E-10
,2.70368E-10
,2.72278E-10
,2.75978E-10
,2.77728E-10
,2.80772E-10
,2.82851E-10
,2.87237E-10
,2.90383E-10
,2.9384E-10
,2.96303E-10
,2.98177E-10
,3.01541E-10
,3.05154E-10
,3.09024E-10
,3.12108E-10
,3.14943E-10
,3.17066E-10
,3.20335E-10
,3.23798E-10
,3.27345E-10
,3.29784E-10
,3.33929E-10
,3.36945E-10
,3.3961E-10
,3.42153E-10
,3.44189E-10
,3.48011E-10
,3.4988E-10
,3.52522E-10
