Setup title,"C-V Sweep_1k_10k_100k_1M"
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
VBias,C
-3,1.28041E-10
-2.94,1.26516E-10
-2.88,1.25651E-10
-2.82,1.25649E-10
-2.76,1.26724E-10
-2.7,1.27675E-10
-2.64,1.27701E-10
-2.58,1.28035E-10
-2.52,1.29328E-10
-2.46,1.30992E-10
-2.4,1.32628E-10
-2.34,1.33487E-10
-2.28,1.34508E-10
-2.22,1.3696E-10
-2.16,1.3895E-10
-2.1,1.40308E-10
-2.04,1.41694E-10
-1.98,1.43144E-10
-1.92,1.45644E-10
-1.86,1.47808E-10
-1.8,1.50485E-10
-1.74,1.51909E-10
-1.68,1.53662E-10
-1.62,1.56333E-10
-1.56,1.59456E-10
-1.5,1.62629E-10
-1.44,1.6457E-10
-1.38,1.66694E-10
-1.32,1.70122E-10
-1.26,1.73908E-10
-1.2,1.77066E-10
-1.14,1.81207E-10
-1.08,1.84045E-10
-1.02,1.872E-10
-0.96,1.90221E-10
-0.9,1.90525E-10
-0.84,1.90953E-10
-0.78,1.91922E-10
-0.72,1.92454E-10
-0.66,1.93546E-10
-0.6,1.9435E-10
-0.54,1.95851E-10
-0.48,1.97654E-10
-0.42,2.02578E-10
-0.36,2.07634E-10
-0.3,2.15074E-10
-0.24,2.22519E-10
-0.18,2.31697E-10
-0.12,2.40968E-10
-0.06,2.51679E-10
0,2.62786E-10
0.06,2.76462E-10
0.12,2.91951E-10
0.18,3.08853E-10
0.24,3.24002E-10
0.3,3.39925E-10
0.36,3.52686E-10
0.42,3.6451E-10
0.48,3.7249E-10
0.54,3.79736E-10
0.6,3.85303E-10
0.66,3.89605E-10
0.72,3.93391E-10
0.78,3.96728E-10
0.84,3.99025E-10
0.9,4.02041E-10
0.96,4.03927E-10
1.02,4.05292E-10
1.08,4.07313E-10
1.14,4.08104E-10
1.2,4.09094E-10
1.26,4.09539E-10
1.32,4.10155E-10
1.38,4.1073E-10
1.44,4.11402E-10
1.5,4.11164E-10
1.56,4.11581E-10
1.62,4.12408E-10
1.68,4.13394E-10
1.74,4.14026E-10
1.8,4.1427E-10
1.86,4.14452E-10
1.92,4.14779E-10
1.98,4.15562E-10
2.04,4.15661E-10
2.1,4.16498E-10
2.16,4.15977E-10
2.22,4.1631E-10
2.28,4.16675E-10
2.34,4.15892E-10
2.4,4.15675E-10
2.46,4.16104E-10
2.52,4.15629E-10
2.58,4.15875E-10
2.64,4.15941E-10
2.7,4.164E-10
2.76,4.17264E-10
2.82,4.17565E-10
2.88,4.17549E-10
2.94,4.1796E-10
3,4.17971E-10
3,4.16604E-10
2.94,4.17137E-10
2.88,4.17092E-10
2.82,4.18638E-10
2.76,4.17821E-10
2.7,4.18075E-10
2.64,4.17884E-10
2.58,4.17554E-10
2.52,4.17331E-10
2.46,4.16987E-10
2.4,4.16592E-10
2.34,4.16993E-10
2.28,4.16249E-10
2.22,4.16742E-10
2.16,4.16585E-10
2.1,4.16893E-10
2.04,4.17298E-10
1.98,4.17945E-10
1.92,4.17494E-10
1.86,4.17803E-10
1.8,4.17649E-10
1.74,4.16434E-10
1.68,4.16156E-10
1.62,4.16117E-10
1.56,4.15861E-10
1.5,4.15885E-10
1.44,4.15529E-10
1.38,4.15919E-10
1.32,4.15532E-10
1.26,4.15954E-10
1.2,4.15604E-10
1.14,4.15864E-10
1.08,4.15504E-10
1.02,4.16087E-10
0.96,4.15504E-10
0.9,4.15876E-10
0.84,4.15901E-10
0.78,4.15617E-10
0.72,4.14942E-10
0.66,4.14658E-10
0.6,4.14387E-10
0.54,4.13904E-10
0.48,4.12945E-10
0.42,4.12282E-10
0.36,4.11339E-10
0.3,4.10782E-10
0.24,4.08722E-10
0.18,4.08046E-10
0.12,4.06138E-10
0.06,4.03775E-10
0,4.00294E-10
-0.06,3.95847E-10
-0.12,3.90242E-10
-0.18,3.81509E-10
-0.24,3.69454E-10
-0.3,3.50523E-10
-0.36,3.2492E-10
-0.42,2.98295E-10
-0.48,2.73031E-10
-0.54,2.52833E-10
-0.6,2.37516E-10
-0.66,2.24359E-10
-0.72,2.14415E-10
-0.78,2.07107E-10
-0.84,2.00174E-10
-0.9,1.94144E-10
-0.96,1.89218E-10
-1.02,1.84328E-10
-1.08,1.80581E-10
-1.14,1.76973E-10
-1.2,1.73469E-10
-1.26,1.70484E-10
-1.32,1.66999E-10
-1.38,1.64871E-10
-1.44,1.62179E-10
-1.5,1.59445E-10
-1.56,1.57097E-10
-1.62,1.552E-10
-1.68,1.5357E-10
-1.74,1.5223E-10
-1.8,1.51448E-10
-1.86,1.49662E-10
-1.92,1.48037E-10
-1.98,1.46522E-10
-2.04,1.45352E-10
-2.1,1.43587E-10
-2.16,1.42242E-10
-2.22,1.40651E-10
-2.28,1.39323E-10
-2.34,1.38381E-10
-2.4,1.36958E-10
-2.46,1.35827E-10
-2.52,1.34814E-10
-2.58,1.34135E-10
-2.64,1.3329E-10
-2.7,1.32938E-10
-2.76,1.3154E-10
-2.82,1.31135E-10
-2.88,1.30335E-10
-2.94,1.28978E-10
-3,1.27972E-10
-3,1.27128E-10
-2.94,1.27623E-10
-2.88,1.28533E-10
-2.82,1.29681E-10
-2.76,1.30416E-10
-2.7,1.31582E-10
-2.64,1.32918E-10
-2.58,1.33431E-10
-2.52,1.35164E-10
-2.46,1.36325E-10
-2.4,1.3767E-10
-2.34,1.39039E-10
-2.28,1.40177E-10
-2.22,1.42116E-10
-2.16,1.43103E-10
-2.1,1.44607E-10
-2.04,1.46821E-10
-1.98,1.48083E-10
-1.92,1.49455E-10
-1.86,1.51832E-10
-1.8,1.53439E-10
-1.74,1.55103E-10
-1.68,1.57478E-10
-1.62,1.59791E-10
-1.56,1.6184E-10
-1.5,1.63749E-10
-1.44,1.65775E-10
-1.38,1.68229E-10
-1.32,1.71029E-10
-1.26,1.73474E-10
-1.2,1.76239E-10
-1.14,1.78994E-10
-1.08,1.81639E-10
-1.02,1.84729E-10
-0.96,1.87873E-10
-0.9,1.90411E-10
-0.84,1.92697E-10
-0.78,1.94048E-10
-0.72,1.94266E-10
-0.66,1.94551E-10
-0.6,1.94916E-10
-0.54,1.94726E-10
-0.48,1.94832E-10
-0.42,1.95171E-10
-0.36,1.95366E-10
-0.3,1.95767E-10
-0.24,1.96324E-10
-0.18,1.96901E-10
-0.12,1.97793E-10
-0.06,1.99802E-10
0,2.00631E-10
0.06,2.04735E-10
0.12,2.09506E-10
0.18,2.15425E-10
0.24,2.22188E-10
0.3,2.29803E-10
0.36,2.38534E-10
0.42,2.48421E-10
0.48,2.59889E-10
0.54,2.71607E-10
0.6,2.85297E-10
0.66,3.00177E-10
0.72,3.14585E-10
0.78,3.28351E-10
0.84,3.41027E-10
0.9,3.52043E-10
0.96,3.61095E-10
1.02,3.68648E-10
1.08,3.74898E-10
1.14,3.80494E-10
1.2,3.84742E-10
1.26,3.87373E-10
1.32,3.91474E-10
1.38,3.93259E-10
1.44,3.95487E-10
1.5,3.97343E-10
1.56,3.98942E-10
1.62,4.00341E-10
1.68,4.01471E-10
1.74,4.02256E-10
1.8,4.03178E-10
1.86,4.03707E-10
1.92,4.04662E-10
1.98,4.0534E-10
2.04,4.0599E-10
2.1,4.06419E-10
2.16,4.06876E-10
2.22,4.07388E-10
2.28,4.08043E-10
2.34,4.08877E-10
2.4,4.08845E-10
2.46,4.09081E-10
2.52,4.09605E-10
2.58,4.09936E-10
2.64,4.09899E-10
2.7,4.09928E-10
2.76,4.10282E-10
2.82,4.10309E-10
2.88,4.10202E-10
2.94,4.10656E-10
3,4.10851E-10
3,4.10769E-10
2.94,4.1107E-10
2.88,4.10983E-10
2.82,4.10967E-10
2.76,4.10892E-10
2.7,4.10873E-10
2.64,4.10975E-10
2.58,4.11507E-10
2.52,4.10985E-10
2.46,4.11053E-10
2.4,4.11049E-10
2.34,4.11075E-10
2.28,4.11067E-10
2.22,4.10895E-10
2.16,4.1068E-10
2.1,4.10506E-10
2.04,4.10604E-10
1.98,4.10803E-10
1.92,4.1065E-10
1.86,4.10755E-10
1.8,4.10593E-10
1.74,4.10364E-10
1.68,4.10729E-10
1.62,4.10531E-10
1.56,4.10437E-10
1.5,4.10141E-10
1.44,4.09883E-10
1.38,4.10322E-10
1.32,4.10744E-10
1.26,4.1003E-10
1.2,4.10132E-10
1.14,4.09979E-10
1.08,4.09819E-10
1.02,4.09557E-10
0.96,4.09523E-10
0.9,4.09586E-10
0.84,4.09558E-10
0.78,4.09015E-10
0.72,4.08849E-10
0.66,4.0894E-10
0.6,4.0871E-10
0.54,4.08224E-10
0.48,4.0777E-10
0.42,4.0761E-10
0.36,4.07285E-10
0.3,4.06778E-10
0.24,4.06441E-10
0.18,4.05883E-10
0.12,4.04965E-10
0.06,4.0402E-10
0,4.04317E-10
-0.06,4.03098E-10
-0.12,4.02329E-10
-0.18,4.00929E-10
-0.24,3.99179E-10
-0.3,3.97052E-10
-0.36,3.94129E-10
-0.42,3.89995E-10
-0.48,3.84575E-10
-0.54,3.77278E-10
-0.6,3.65614E-10
-0.66,3.48529E-10
-0.72,3.25737E-10
-0.78,2.98711E-10
-0.84,2.7301E-10
-0.9,2.51846E-10
-0.96,2.3534E-10
-1.02,2.22624E-10
-1.08,2.12647E-10
-1.14,2.04182E-10
-1.2,1.97526E-10
-1.26,1.91266E-10
-1.32,1.86136E-10
-1.38,1.80421E-10
-1.44,1.76531E-10
-1.5,1.72048E-10
-1.56,1.68516E-10
-1.62,1.65089E-10
-1.68,1.62089E-10
-1.74,1.57352E-10
-1.8,1.53756E-10
-1.86,1.51106E-10
-1.92,1.4791E-10
-1.98,1.45504E-10
-2.04,1.43549E-10
-2.1,1.41594E-10
-2.16,1.39275E-10
-2.22,1.38328E-10
-2.28,1.36193E-10
-2.34,1.34723E-10
-2.4,1.33984E-10
-2.46,1.32477E-10
-2.52,1.30898E-10
-2.58,1.30809E-10
-2.64,1.29308E-10
-2.7,1.28794E-10
-2.76,1.27343E-10
-2.82,1.26544E-10
-2.88,1.25535E-10
-2.94,1.25062E-10
-3,1.24109E-10
-3,1.23531E-10
-2.94,1.24325E-10
-2.88,1.25342E-10
-2.82,1.26153E-10
-2.76,1.27009E-10
-2.7,1.2785E-10
-2.64,1.2915E-10
-2.58,1.29769E-10
-2.52,1.30827E-10
-2.46,1.31838E-10
-2.4,1.32606E-10
-2.34,1.3387E-10
-2.28,1.34742E-10
-2.22,1.36122E-10
-2.16,1.37211E-10
-2.1,1.38282E-10
-2.04,1.39447E-10
-1.98,1.40658E-10
-1.92,1.41965E-10
-1.86,1.4328E-10
-1.8,1.44572E-10
-1.74,1.46184E-10
-1.68,1.47631E-10
-1.62,1.49093E-10
-1.56,1.5053E-10
-1.5,1.52006E-10
-1.44,1.53784E-10
-1.38,1.55393E-10
-1.32,1.5728E-10
-1.26,1.58856E-10
-1.2,1.60863E-10
-1.14,1.62929E-10
-1.08,1.64814E-10
-1.02,1.67058E-10
-0.96,1.69233E-10
-0.9,1.71488E-10
-0.84,1.73843E-10
-0.78,1.76643E-10
-0.72,1.7899E-10
-0.66,1.82132E-10
-0.6,1.85218E-10
-0.54,1.87761E-10
-0.48,1.91096E-10
-0.42,1.94134E-10
-0.36,1.97169E-10
-0.3,1.99145E-10
-0.24,2.0061E-10
-0.18,2.01962E-10
-0.12,2.02692E-10
-0.06,2.03914E-10
0,2.05331E-10
0.06,2.07564E-10
0.12,2.11327E-10
0.18,2.14886E-10
0.24,2.20006E-10
0.3,2.25057E-10
0.36,2.30841E-10
0.42,2.37663E-10
0.48,2.44596E-10
0.54,2.53252E-10
0.6,2.61503E-10
0.66,2.72203E-10
0.72,2.83061E-10
0.78,2.93766E-10
0.84,3.0634E-10
0.9,3.17631E-10
0.96,3.28901E-10
1.02,3.38437E-10
1.08,3.47533E-10
1.14,3.55758E-10
1.2,3.61527E-10
1.26,3.67568E-10
1.32,3.72145E-10
1.38,3.76192E-10
1.44,3.79806E-10
1.5,3.82812E-10
1.56,3.85439E-10
1.62,3.8777E-10
1.68,3.89562E-10
1.74,3.91503E-10
1.8,3.92831E-10
1.86,3.94157E-10
1.92,3.95409E-10
1.98,3.96556E-10
2.04,3.97333E-10
2.1,3.98159E-10
2.16,3.99149E-10
2.22,3.99729E-10
2.28,4.00558E-10
2.34,4.01028E-10
2.4,4.01632E-10
2.46,4.02138E-10
2.52,4.02511E-10
2.58,4.03078E-10
2.64,4.03432E-10
2.7,4.03893E-10
2.76,4.04157E-10
2.82,4.04679E-10
2.88,4.04572E-10
2.94,4.05101E-10
3,4.05318E-10
3,4.05666E-10
2.94,4.05724E-10
2.88,4.05447E-10
2.82,4.05557E-10
2.76,4.05449E-10
2.7,4.05234E-10
2.64,4.05286E-10
2.58,4.05282E-10
2.52,4.0526E-10
2.46,4.05123E-10
2.4,4.0529E-10
2.34,4.04976E-10
2.28,4.04991E-10
2.22,4.04718E-10
2.16,4.04713E-10
2.1,4.04736E-10
2.04,4.0437E-10
1.98,4.04314E-10
1.92,4.0427E-10
1.86,4.03936E-10
1.8,4.03675E-10
1.74,4.03606E-10
1.68,4.03466E-10
1.62,4.02994E-10
1.56,4.03106E-10
1.5,4.02873E-10
1.44,4.02479E-10
1.38,4.02491E-10
1.32,4.02121E-10
1.26,4.01945E-10
1.2,4.0144E-10
1.14,4.01048E-10
1.08,4.00976E-10
1.02,4.00437E-10
0.96,4.00271E-10
0.9,3.99664E-10
0.84,3.99316E-10
0.78,3.98942E-10
0.72,3.98324E-10
0.66,3.97907E-10
0.6,3.97288E-10
0.54,3.96626E-10
0.48,3.96067E-10
0.42,3.95153E-10
0.36,3.94264E-10
0.3,3.93311E-10
0.24,3.92476E-10
0.18,3.91248E-10
0.12,3.89696E-10
0.06,3.88611E-10
0,3.86813E-10
-0.06,3.85228E-10
-0.12,3.83148E-10
-0.18,3.80377E-10
-0.24,3.77891E-10
-0.3,3.74703E-10
-0.36,3.70447E-10
-0.42,3.66268E-10
-0.48,3.60555E-10
-0.54,3.54549E-10
-0.6,3.46848E-10
-0.66,3.36013E-10
-0.72,3.25004E-10
-0.78,3.1134E-10
-0.84,2.98501E-10
-0.9,2.84044E-10
-0.96,2.70879E-10
-1.02,2.57893E-10
-1.08,2.44522E-10
-1.14,2.34281E-10
-1.2,2.25245E-10
-1.26,2.17835E-10
-1.32,2.10761E-10
-1.38,2.04517E-10
-1.44,1.98998E-10
-1.5,1.93806E-10
-1.56,1.89253E-10
-1.62,1.84829E-10
-1.68,1.8059E-10
-1.74,1.77105E-10
-1.8,1.73241E-10
-1.86,1.70285E-10
-1.92,1.67037E-10
-1.98,1.64295E-10
-2.04,1.61398E-10
-2.1,1.57987E-10
-2.16,1.5569E-10
-2.22,1.53392E-10
-2.28,1.51088E-10
-2.34,1.48944E-10
-2.4,1.47031E-10
-2.46,1.45052E-10
-2.52,1.43212E-10
-2.58,1.4143E-10
-2.64,1.39759E-10
-2.7,1.38375E-10
-2.76,1.36598E-10
-2.82,1.34897E-10
-2.88,1.33395E-10
-2.94,1.319E-10
-3,1.3077E-10
-3,1.25601E-10
-2.94,1.26484E-10
-2.88,1.27246E-10
-2.82,1.28147E-10
-2.76,1.29005E-10
-2.7,1.29938E-10
-2.64,1.30809E-10
-2.58,1.3176E-10
-2.52,1.32696E-10
-2.46,1.33743E-10
-2.4,1.34696E-10
-2.34,1.35752E-10
-2.28,1.36799E-10
-2.22,1.37898E-10
-2.16,1.38992E-10
-2.1,1.40145E-10
-2.04,1.41359E-10
-1.98,1.42489E-10
-1.92,1.43802E-10
-1.86,1.45013E-10
-1.8,1.46408E-10
-1.74,1.47696E-10
-1.68,1.49155E-10
-1.62,1.50485E-10
-1.56,1.52099E-10
-1.5,1.53454E-10
-1.44,1.55199E-10
-1.38,1.56688E-10
-1.32,1.58525E-10
-1.26,1.60158E-10
-1.2,1.621E-10
-1.14,1.63822E-10
-1.08,1.6592E-10
-1.02,1.68072E-10
-0.96,1.70022E-10
-0.9,1.72313E-10
-0.84,1.74529E-10
-0.78,1.76993E-10
-0.72,1.79448E-10
-0.66,1.82116E-10
-0.6,1.84874E-10
-0.54,1.87816E-10
-0.48,1.90766E-10
-0.42,1.93963E-10
-0.36,1.97349E-10
-0.3,2.00654E-10
-0.24,2.04029E-10
-0.18,2.068E-10
-0.12,2.09188E-10
-0.06,2.10571E-10
0,2.11799E-10
0.06,2.12766E-10
0.12,2.13911E-10
0.18,2.15704E-10
0.24,2.18641E-10
0.3,2.22021E-10
0.36,2.26771E-10
0.42,2.31538E-10
0.48,2.37785E-10
0.54,2.43785E-10
0.6,2.51601E-10
0.66,2.59058E-10
0.72,2.68239E-10
0.78,2.77436E-10
0.84,2.88657E-10
0.9,2.99456E-10
0.96,3.1288E-10
1.02,3.25007E-10
1.08,3.39359E-10
1.14,3.50537E-10
1.2,3.62226E-10
1.26,3.71439E-10
1.32,3.80229E-10
1.38,3.86456E-10
1.44,3.9275E-10
1.5,3.97251E-10
1.56,4.01746E-10
1.62,4.04947E-10
1.68,4.08088E-10
1.74,4.10615E-10
1.8,4.12961E-10
1.86,4.14762E-10
1.92,4.16527E-10
1.98,4.1798E-10
2.04,4.19442E-10
2.1,4.20532E-10
2.16,4.21553E-10
2.22,4.22561E-10
2.28,4.23381E-10
2.34,4.24171E-10
2.4,4.24961E-10
2.46,4.25559E-10
2.52,4.261E-10
2.58,4.26729E-10
2.64,4.27138E-10
2.7,4.27735E-10
2.76,4.2811E-10
2.82,4.28533E-10
2.88,4.28909E-10
2.94,4.29284E-10
3,4.29531E-10
3,4.29754E-10
2.94,4.29648E-10
2.88,4.29801E-10
2.82,4.29622E-10
2.76,4.29714E-10
2.7,4.29483E-10
2.64,4.29566E-10
2.58,4.2941E-10
2.52,4.29409E-10
2.46,4.29229E-10
2.4,4.29224E-10
2.34,4.29055E-10
2.28,4.29026E-10
2.22,4.28771E-10
2.16,4.28674E-10
2.1,4.28535E-10
2.04,4.28416E-10
1.98,4.28153E-10
1.92,4.28068E-10
1.86,4.27804E-10
1.8,4.27629E-10
1.74,4.27374E-10
1.68,4.27168E-10
1.62,4.26877E-10
1.56,4.26705E-10
1.5,4.26448E-10
1.44,4.26129E-10
1.38,4.25851E-10
1.32,4.25451E-10
1.26,4.25126E-10
1.2,4.24828E-10
1.14,4.24396E-10
1.08,4.23944E-10
1.02,4.23537E-10
0.96,4.22984E-10
0.9,4.22482E-10
0.84,4.21932E-10
0.78,4.21323E-10
0.72,4.20565E-10
0.66,4.20003E-10
0.6,4.19113E-10
0.54,4.18278E-10
0.48,4.17277E-10
0.42,4.16341E-10
0.36,4.15071E-10
0.3,4.13854E-10
0.24,4.12343E-10
0.18,4.10923E-10
0.12,4.0888E-10
0.06,4.07022E-10
0,4.04499E-10
-0.06,4.02018E-10
-0.12,3.98749E-10
-0.18,3.95307E-10
-0.24,3.90846E-10
-0.3,3.8612E-10
-0.36,3.79855E-10
-0.42,3.73251E-10
-0.48,3.6458E-10
-0.54,3.55526E-10
-0.6,3.44202E-10
-0.66,3.32858E-10
-0.72,3.19943E-10
-0.78,3.08275E-10
-0.84,2.95069E-10
-0.9,2.8414E-10
-0.96,2.72921E-10
-1.02,2.63465E-10
-1.08,2.54101E-10
-1.14,2.46602E-10
-1.2,2.38692E-10
-1.26,2.32461E-10
-1.32,2.2556E-10
-1.38,2.20205E-10
-1.44,2.14486E-10
-1.5,2.09597E-10
-1.56,2.04701E-10
-1.62,2.00652E-10
-1.68,1.96273E-10
-1.74,1.92635E-10
-1.8,1.8861E-10
-1.86,1.85422E-10
-1.92,1.81952E-10
-1.98,1.78948E-10
-2.04,1.75858E-10
-2.1,1.73223E-10
-2.16,1.70351E-10
-2.22,1.67962E-10
-2.28,1.65354E-10
-2.34,1.63172E-10
-2.4,1.60869E-10
-2.46,1.58313E-10
-2.52,1.56314E-10
-2.58,1.54355E-10
-2.64,1.52505E-10
-2.7,1.50647E-10
-2.76,1.48886E-10
-2.82,1.47199E-10
-2.88,1.45463E-10
-2.94,1.43934E-10
-3,1.42325E-10
