Setup title,"I/V Sweep_device2_light"
Classic test name,"I/V Sweep"
Test date,3/22/2023
Test time,16:51:02
Device ID,2
Count,2
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-1
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,6
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,6
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,1.4811E-10
-0.01,5.9E-12
-0.02,-1.4597E-10
-0.03,-3.5106E-10
-0.04,-6.5799E-10
-0.05,-9.1122E-10
-0.06,-1.25292E-09
-0.07,-1.65184E-09
-0.08,-2.0317E-09
-0.09,-2.5603E-09
-0.1,-2.91541E-09
-0.11,-3.44032E-09
-0.12,-3.85388E-09
-0.13,-4.25741E-09
-0.14,-4.60044E-09
-0.15,-4.93942E-09
-0.16,-5.37525E-09
-0.17,-6.05044E-09
-0.18,-6.56734E-09
-0.19,-6.44369E-09
-0.2,-6.45476E-09
-0.21,-6.89472E-09
-0.22,-6.99961E-09
-0.23,-6.7806E-09
-0.24,-7.3628E-09
-0.25,-8.0328E-09
-0.26,-7.9171E-09
-0.27,-8.63E-09
-0.28,-8.9384E-09
-0.29,-8.7335E-09
-0.3,-9.3883E-09
-0.31,-9.0795E-09
-0.32,-9.475E-09
-0.33,-9.6009E-09
-0.34,-9.8223E-09
-0.35,-1.00305E-08
-0.36,-9.7916E-09
-0.37,-1.00561E-08
-0.38,-1.02661E-08
-0.39,-1.04382E-08
-0.4,-1.09038E-08
-0.41,-1.10194E-08
-0.42,-1.09354E-08
-0.43,-1.10176E-08
-0.44,-1.13025E-08
-0.45,-1.17154E-08
-0.46,-1.20931E-08
-0.47,-1.17136E-08
-0.48,-1.15195E-08
-0.49,-1.16673E-08
-0.5,-1.23222E-08
-0.51,-1.25581E-08
-0.52,-1.26155E-08
-0.53,-1.2568E-08
-0.54,-1.28256E-08
-0.55,-1.3416E-08
-0.56,-1.34403E-08
-0.57,-1.40846E-08
-0.58,-1.40671E-08
-0.59,-1.50755E-08
-0.6,-1.53496E-08
-0.61,-1.55163E-08
-0.62,-1.61213E-08
-0.63,-1.63585E-08
-0.64,-1.61724E-08
-0.65,-1.65805E-08
-0.66,-1.76772E-08
-0.67,-1.72813E-08
-0.68,-1.79482E-08
-0.69,-1.81389E-08
-0.7,-1.87006E-08
-0.71,-1.96615E-08
-0.72,-1.97937E-08
-0.73,-2.02154E-08
-0.74,-2.09568E-08
-0.75,-2.20445E-08
-0.76,-2.2231E-08
-0.77,-2.31878E-08
-0.78,-2.44387E-08
-0.79,-2.44617E-08
-0.8,-2.51395E-08
-0.81,-2.54546E-08
-0.82,-2.63828E-08
-0.83,-2.73544E-08
-0.84,-2.76273E-08
-0.85,-2.93061E-08
-0.86,-2.97795E-08
-0.87,-3.05644E-08
-0.88,-3.08843E-08
-0.89,-3.22095E-08
-0.9,-3.4211E-08
-0.91,-3.37445E-08
-0.92,-3.46595E-08
-0.93,-3.49818E-08
-0.94,-3.44424E-08
-0.95,-3.49574E-08
-0.96,-3.55525E-08
-0.97,-3.68349E-08
