Setup title,"C-V Sweep_19042023"
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
VBias,C
-3,3.02253E-13
-2.99,3.15705E-13
-2.98,3.40929E-13
-2.97,3.15684E-13
-2.96,3.17125E-13
-2.95,3.92871E-13
-2.94,3.34092E-13
-2.93,3.20609E-13
-2.92,3.29308E-13
-2.91,3.58742E-13
-2.9,3.08112E-13
-2.89,3.63962E-13
-2.88,3.56922E-13
-2.87,3.43886E-13
-2.86,3.2775E-13
-2.85,3.01953E-13
-2.84,3.07562E-13
-2.83,3.29219E-13
-2.82,3.41214E-13
-2.81,3.66368E-13
-2.8,2.49898E-13
-2.79,3.06213E-13
-2.78,3.18308E-13
-2.77,3.20802E-13
-2.76,3.24301E-13
-2.75,3.11405E-13
-2.74,3.0834E-13
-2.73,3.30927E-13
-2.72,3.23969E-13
-2.71,2.8218E-13
-2.7,2.88969E-13
-2.69,3.33145E-13
-2.68,3.26314E-13
-2.67,3.18405E-13
-2.66,3.52623E-13
-2.65,3.50539E-13
-2.64,3.01277E-13
-2.63,3.01078E-13
-2.62,2.66113E-13
-2.61,3.36843E-13
-2.6,2.93652E-13
-2.59,3.02683E-13
-2.58,3.11766E-13
-2.57,3.93674E-13
-2.56,3.46062E-13
-2.55,3.38379E-13
-2.54,3.71449E-13
-2.53,2.87401E-13
-2.52,3.48436E-13
-2.51,3.37906E-13
-2.5,3.05318E-13
-2.49,2.94833E-13
-2.48,2.92697E-13
-2.47,3.13694E-13
-2.46,3.25939E-13
-2.45,3.50997E-13
-2.44,3.26513E-13
-2.43,3.24922E-13
-2.42,3.48437E-13
-2.41,3.73753E-13
-2.4,3.62494E-13
-2.39,3.41122E-13
-2.38,3.64003E-13
-2.37,2.87284E-13
-2.36,2.78333E-13
-2.35,3.31945E-13
-2.34,3.44016E-13
-2.33,3.19498E-13
-2.32,2.91866E-13
-2.31,3.90289E-13
-2.3,3.26974E-13
-2.29,3.27873E-13
-2.28,2.81225E-13
-2.27,3.51836E-13
-2.26,2.86999E-13
-2.25,3.21327E-13
-2.24,3.15645E-13
-2.23,3.09217E-13
-2.22,3.34077E-13
-2.21,2.57113E-13
-2.2,4.06859E-13
-2.19,2.74213E-13
-2.18,3.1512E-13
-2.17,2.79005E-13
-2.16,3.3101E-13
-2.15,3.36809E-13
-2.14,3.44016E-13
-2.13,3.13834E-13
-2.12,2.99919E-13
-2.11,2.78572E-13
-2.1,2.89789E-13
-2.09,2.68581E-13
-2.08,3.52566E-13
-2.07,2.52801E-13
-2.06,3.06553E-13
-2.05,2.68802E-13
-2.04,3.03829E-13
-2.03,3.28325E-13
-2.02,3.15319E-13
-2.01,3.53518E-13
-2,2.95989E-13
-1.99,2.86929E-13
-1.98,3.71576E-13
-1.97,3.57562E-13
-1.96,3.07478E-13
-1.95,2.87012E-13
-1.94,3.07382E-13
-1.93,3.49824E-13
-1.92,2.67074E-13
-1.91,3.31143E-13
-1.9,3.78463E-13
-1.89,3.24764E-13
-1.88,3.10511E-13
-1.87,3.2868E-13
-1.86,2.97489E-13
-1.85,3.05147E-13
-1.84,3.81091E-13
-1.83,2.60295E-13
-1.82,3.6928E-13
-1.81,2.82742E-13
-1.8,3.36101E-13
-1.79,2.97317E-13
-1.78,2.97542E-13
-1.77,3.41998E-13
-1.76,3.03882E-13
-1.75,2.94053E-13
-1.74,3.33436E-13
-1.73,3.01491E-13
-1.72,2.67034E-13
-1.71,3.1939E-13
-1.7,3.8421E-13
-1.69,3.16866E-13
-1.68,3.99333E-13
-1.67,3.28585E-13
-1.66,3.24334E-13
-1.65,2.77293E-13
-1.64,3.13156E-13
-1.63,3.20515E-13
-1.62,3.33553E-13
-1.61,3.53951E-13
-1.6,3.2756E-13
-1.59,3.05347E-13
-1.58,3.31793E-13
-1.57,2.9425E-13
-1.56,2.98886E-13
-1.55,3.317E-13
-1.54,3.45736E-13
-1.53,3.21327E-13
-1.52,3.41931E-13
-1.51,3.01005E-13
-1.5,2.94753E-13
-1.49,3.24489E-13
-1.48,3.24578E-13
-1.47,3.12261E-13
-1.46,2.60004E-13
-1.45,3.43301E-13
-1.44,3.18102E-13
-1.43,3.03062E-13
-1.42,3.19294E-13
-1.41,3.12446E-13
-1.4,3.71795E-13
-1.39,3.32726E-13
-1.38,3.02428E-13
-1.37,2.64785E-13
-1.36,3.26901E-13
-1.35,3.03478E-13
-1.34,2.74773E-13
-1.33,3.39168E-13
-1.32,3.23693E-13
-1.31,3.43001E-13
-1.3,3.22384E-13
-1.29,3.25003E-13
-1.28,3.44297E-13
-1.27,2.95392E-13
-1.26,3.36328E-13
-1.25,3.24234E-13
-1.24,3.21453E-13
-1.23,2.7639E-13
-1.22,3.12783E-13
-1.21,3.20628E-13
-1.2,3.76216E-13
-1.19,3.40576E-13
-1.18,2.72353E-13
-1.17,3.28963E-13
-1.16,3.24151E-13
-1.15,3.58024E-13
-1.14,3.39354E-13
-1.13,2.89545E-13
-1.12,3.95409E-13
-1.11,3.14722E-13
-1.1,2.98421E-13
-1.09,3.67076E-13
-1.08,3.14626E-13
-1.07,2.92679E-13
-1.06,2.59122E-13
-1.05,2.49203E-13
-1.04,3.36808E-13
-1.03,2.70705E-13
-1.02,3.02599E-13
-1.01,3.78213E-13
-1,2.24956E-13
-0.99,3.0238E-13
-0.98,2.78649E-13
-0.97,2.97638E-13
-0.96,3.65049E-13
-0.95,3.14947E-13
-0.94,2.92078E-13
-0.93,2.74186E-13
-0.92,3.31487E-13
-0.91,3.18101E-13
-0.9,2.97538E-13
-0.89,3.4467E-13
-0.88,3.21027E-13
-0.87,3.61844E-13
-0.86,3.45792E-13
-0.85,3.04235E-13
-0.84,3.01203E-13
-0.83,3.47819E-13
-0.82,2.72451E-13
-0.81,3.08319E-13
-0.8,3.10155E-13
-0.79,3.44332E-13
-0.78,3.21002E-13
-0.77,3.25915E-13
-0.76,3.17039E-13
-0.75,3.25204E-13
-0.74,3.13438E-13
-0.73,2.86196E-13
-0.72,3.45779E-13
-0.71,3.4141E-13
-0.7,3.21593E-13
-0.69,2.83603E-13
-0.68,3.35943E-13
-0.67,3.31809E-13
-0.66,3.11586E-13
-0.65,3.54491E-13
-0.64,3.24097E-13
-0.63,2.75391E-13
-0.62,3.38599E-13
-0.61,3.72427E-13
-0.6,2.8298E-13
-0.59,3.1525E-13
-0.58,2.98497E-13
-0.57,2.92821E-13
-0.56,3.70336E-13
-0.55,3.31585E-13
-0.54,3.24714E-13
-0.53,3.59857E-13
-0.52,3.44373E-13
-0.51,3.67541E-13
-0.5,2.8213E-13
-0.49,3.44366E-13
-0.48,3.17372E-13
-0.47,3.97174E-13
-0.46,3.69477E-13
-0.45,3.34194E-13
-0.44,3.47753E-13
-0.43,3.38365E-13
-0.42,2.99939E-13
-0.41,3.23399E-13
-0.4,2.69127E-13
-0.39,3.04678E-13
-0.38,2.839E-13
-0.37,4.02461E-13
-0.36,3.24685E-13
-0.35,3.13072E-13
-0.34,2.42626E-13
-0.33,3.53571E-13
-0.32,3.39762E-13
-0.31,3.62802E-13
-0.3,3.31317E-13
-0.29,2.89624E-13
-0.28,3.26463E-13
-0.27,3.69714E-13
-0.26,3.32844E-13
-0.25,3.09005E-13
-0.24,3.1046E-13
-0.23,3.14573E-13
-0.22,3.53328E-13
-0.21,3.1519E-13
-0.2,3.19259E-13
-0.19,2.92036E-13
-0.18,3.37255E-13
-0.17,2.84376E-13
-0.16,3.46071E-13
-0.15,3.03496E-13
-0.14,3.24545E-13
-0.13,2.97053E-13
-0.12,2.79606E-13
-0.11,2.71764E-13
-0.1,2.8139E-13
-0.09,3.08819E-13
-0.08,3.05982E-13
-0.07,2.88457E-13
-0.06,2.97169E-13
-0.05,3.68323E-13
-0.04,2.88257E-13
-0.03,2.81168E-13
-0.02,3.73337E-13
-0.01,3.33204E-13
0,3.68203E-13
0.01,3.07935E-13
0.02,3.05282E-13
0.03,2.83878E-13
0.04,3.29217E-13
0.05,3.23569E-13
0.06,3.18536E-13
0.07,3.30406E-13
0.08,3.4432E-13
0.09,2.9728E-13
0.1,3.39459E-13
0.11,3.42514E-13
0.12,2.74952E-13
0.13,3.51859E-13
0.14,3.52952E-13
0.15,3.10417E-13
0.16,3.35563E-13
0.17,3.14029E-13
0.18,3.3697E-13
0.19,3.20154E-13
0.2,3.70694E-13
0.21,3.44047E-13
0.22,2.67723E-13
0.23,3.19977E-13
0.24,3.21415E-13
0.25,3.28238E-13
0.26,2.62465E-13
0.27,3.31679E-13
0.28,3.08094E-13
0.29,2.74534E-13
0.3,3.28184E-13
0.31,3.35661E-13
0.32,2.78373E-13
0.33,3.13425E-13
0.34,3.09868E-13
0.35,3.33011E-13
0.36,3.39483E-13
0.37,3.47266E-13
0.38,2.86841E-13
0.39,3.67835E-13
0.4,3.13291E-13
0.41,3.62437E-13
0.42,3.04514E-13
0.43,3.26984E-13
0.44,3.11459E-13
0.45,2.65725E-13
0.46,4.05095E-13
0.47,2.96121E-13
0.48,2.95186E-13
0.49,3.03199E-13
0.5,3.20703E-13
0.51,3.39346E-13
0.52,2.89871E-13
0.53,3.21911E-13
0.54,3.02304E-13
0.55,3.22036E-13
0.56,3.33534E-13
0.57,3.31532E-13
0.58,3.0859E-13
0.59,2.45516E-13
0.6,2.90363E-13
0.61,3.30131E-13
0.62,3.49075E-13
0.63,3.31578E-13
0.64,3.26842E-13
0.65,2.95825E-13
0.66,3.5001E-13
0.67,3.52891E-13
0.68,3.22403E-13
0.69,3.66691E-13
0.7,3.19101E-13
0.71,3.73928E-13
0.72,2.91325E-13
0.73,3.30997E-13
0.74,3.38263E-13
0.75,3.46561E-13
0.76,3.01479E-13
0.77,3.08113E-13
0.78,4.07232E-13
0.79,3.06526E-13
0.8,3.18133E-13
0.81,2.88085E-13
0.82,3.06896E-13
0.83,3.40072E-13
0.84,3.2668E-13
0.85,3.26276E-13
0.86,3.02079E-13
0.87,3.00558E-13
0.88,3.10127E-13
0.89,2.90313E-13
0.9,3.46542E-13
0.91,3.91475E-13
0.92,3.167E-13
0.93,3.55665E-13
0.94,3.00392E-13
0.95,3.62915E-13
0.96,3.26358E-13
0.97,3.03669E-13
0.98,3.31509E-13
0.99,3.67191E-13
1,3.19816E-13
1.01,3.10478E-13
1.02,3.34608E-13
1.03,3.36214E-13
1.04,2.99332E-13
1.05,4.53728E-13
1.06,3.30412E-13
1.07,3.02212E-13
1.08,3.33704E-13
1.09,3.75666E-13
1.1,2.96116E-13
1.11,3.26046E-13
1.12,3.29692E-13
1.13,2.89459E-13
1.14,2.94329E-13
1.15,2.9073E-13
1.16,3.11129E-13
1.17,3.17274E-13
1.18,3.95359E-13
1.19,3.4219E-13
1.2,3.88806E-13
1.21,3.41017E-13
1.22,2.79628E-13
1.23,2.96824E-13
1.24,2.83683E-13
1.25,2.8335E-13
1.26,3.10605E-13
1.27,2.94032E-13
1.28,2.81529E-13
1.29,2.91973E-13
1.3,3.20151E-13
1.31,3.09529E-13
1.32,3.27968E-13
1.33,3.36195E-13
1.34,3.02756E-13
1.35,3.74574E-13
1.36,2.99598E-13
1.37,3.09061E-13
1.38,3.34741E-13
1.39,2.93909E-13
1.4,3.45423E-13
1.41,3.09276E-13
1.42,3.30776E-13
1.43,3.51426E-13
1.44,3.22995E-13
1.45,3.1993E-13
1.46,2.73918E-13
1.47,3.76702E-13
1.48,3.18662E-13
1.49,3.05356E-13
1.5,3.70564E-13
1.51,3.11575E-13
1.52,2.55209E-13
1.53,3.25539E-13
1.54,3.13341E-13
1.55,3.1954E-13
1.56,3.24441E-13
1.57,3.12622E-13
1.58,2.76805E-13
1.59,3.56338E-13
1.6,2.78518E-13
1.61,3.64766E-13
1.62,3.84442E-13
1.63,3.11933E-13
1.64,3.395E-13
1.65,3.05014E-13
1.66,3.79833E-13
1.67,3.58659E-13
1.68,2.80033E-13
1.69,3.00085E-13
1.7,3.73872E-13
1.71,3.0244E-13
1.72,3.43434E-13
1.73,3.56028E-13
1.74,3.31872E-13
1.75,3.09948E-13
1.76,2.72609E-13
1.77,3.2755E-13
1.78,3.03527E-13
1.79,3.09384E-13
1.8,3.23079E-13
1.81,3.31785E-13
1.82,3.74075E-13
1.83,3.55965E-13
1.84,3.07537E-13
1.85,3.36464E-13
1.86,3.32026E-13
1.87,3.31851E-13
1.88,3.69413E-13
1.89,3.05201E-13
1.9,2.81658E-13
1.91,2.34865E-13
1.92,2.84243E-13
1.93,3.3378E-13
1.94,3.36768E-13
1.95,2.80859E-13
1.96,2.76008E-13
1.97,2.80707E-13
1.98,3.26279E-13
1.99,2.97272E-13
2,3.18664E-13
2.01,3.32796E-13
2.02,3.29951E-13
2.03,2.92742E-13
2.04,3.49591E-13
2.05,3.46604E-13
2.06,3.40405E-13
2.07,3.65951E-13
2.08,3.12666E-13
2.09,2.39729E-13
2.1,2.69089E-13
2.11,3.43832E-13
2.12,3.32761E-13
2.13,2.93203E-13
2.14,3.23687E-13
2.15,3.10007E-13
2.16,2.97206E-13
2.17,3.40436E-13
2.18,3.44872E-13
2.19,3.4305E-13
2.2,2.46046E-13
2.21,3.35524E-13
2.22,3.72996E-13
2.23,3.19389E-13
2.24,2.72403E-13
2.25,2.96236E-13
2.26,3.63589E-13
2.27,2.51062E-13
2.28,3.24714E-13
2.29,2.91628E-13
2.3,2.87897E-13
2.31,3.01649E-13
2.32,3.04477E-13
2.33,3.44243E-13
2.34,3.57808E-13
2.35,3.4825E-13
2.36,3.28666E-13
2.37,3.527E-13
2.38,2.93845E-13
2.39,3.93951E-13
2.4,3.51889E-13
2.41,3.01435E-13
2.42,3.44309E-13
2.43,3.1056E-13
2.44,3.3568E-13
2.45,3.25115E-13
2.46,3.586E-13
2.47,2.97944E-13
2.48,2.85813E-13
2.49,3.24415E-13
2.5,3.14423E-13
2.51,3.18241E-13
2.52,3.7374E-13
2.53,3.24135E-13
2.54,3.21078E-13
2.55,3.39338E-13
2.56,3.05887E-13
2.57,3.24062E-13
2.58,3.47772E-13
2.59,3.25421E-13
2.6,2.54335E-13
2.61,3.42732E-13
2.62,3.28109E-13
2.63,3.71039E-13
2.64,3.16028E-13
2.65,2.85181E-13
2.66,3.37657E-13
2.67,3.03528E-13
2.68,3.14292E-13
2.69,3.38573E-13
2.7,3.06691E-13
2.71,2.77121E-13
2.72,2.73149E-13
2.73,3.10036E-13
2.74,3.07803E-13
2.75,3.09019E-13
2.76,3.33365E-13
2.77,3.52317E-13
2.78,2.95831E-13
2.79,2.70981E-13
2.8,3.4794E-13
2.81,3.25178E-13
2.82,3.62341E-13
2.83,3.05941E-13
2.84,3.54665E-13
2.85,3.18247E-13
2.86,3.00835E-13
2.87,3.02057E-13
2.88,3.11204E-13
2.89,3.03069E-13
2.9,3.55516E-13
2.91,2.87181E-13
2.92,3.15996E-13
2.93,3.19064E-13
2.94,3.1376E-13
2.95,3.88711E-13
2.96,3.22579E-13
2.97,2.94088E-13
2.98,3.19114E-13
2.99,3.41414E-13
3,3.1434E-13
